symbol,trade_date,price,health_group,health_score,health_rank,rsi14,rsi_slope,rs5,rs10,rs_spread,ema9,ma20,ema9_ma20_slope,ema9_ma20_slope_change,price_vs_ema9_pct,price_vs_ma20_pct,obv_status,volume,vol_ma20,volume_ratio20,dist_from_ema9_pct,near_bottom_20_pct,near_bottom_60_pct,dist_high20,green2,early,pull,group,sector,market_score,market_regime,dryup,obv,volume_ratio,t3_return_pct,t5_return_pct,t10_return_pct,t3_max_gain_pct,t5_max_gain_pct,t10_max_gain_pct,t3_max_drawdown_pct,t5_max_drawdown_pct,t10_max_drawdown_pct,panel_source,obv_green,weekday,is_weekend,indicators_ok,is_trading_session,market_real_hist,market_forecast_hist,xs_median_ret_proxy,xs_median_rs10,xs_median_rsi,xs_median_dd20,xs_pct_nb20_le2,xs_pct_slope_pos,xs_pct_rsi_gt50,xs_pct_obv_green,xs_median_price,sync_bottom,sync_rebound,sess_i,price_lag1,price_lag2,price_lag3,rsi14_lag1,rsi14_lag2,rsi14_lag3,rsi_slope_lag1,rsi_slope_lag2,rsi_slope_lag3,rs5_lag1,rs5_lag2,rs5_lag3,rs10_lag1,rs10_lag2,rs10_lag3,rs_spread_lag1,rs_spread_lag2,rs_spread_lag3,ema9_ma20_slope_lag1,ema9_ma20_slope_lag2,ema9_ma20_slope_lag3,ema9_ma20_slope_change_lag1,ema9_ma20_slope_change_lag2,ema9_ma20_slope_change_lag3,price_vs_ema9_pct_lag1,price_vs_ema9_pct_lag2,price_vs_ema9_pct_lag3,price_vs_ma20_pct_lag1,price_vs_ma20_pct_lag2,price_vs_ma20_pct_lag3,volume_ratio20_lag1,volume_ratio20_lag2,volume_ratio20_lag3,near_bottom_20_pct_lag1,near_bottom_20_pct_lag2,near_bottom_20_pct_lag3,near_bottom_60_pct_lag1,near_bottom_60_pct_lag2,near_bottom_60_pct_lag3,dist_high20_lag1,dist_high20_lag2,dist_high20_lag3,health_score_lag1,health_score_lag2,health_score_lag3,obv_green_lag1,obv_green_lag2,obv_green_lag3,xs_pct_nb20_le2_lag1,xs_pct_nb20_le2_lag2,xs_pct_nb20_le2_lag3,xs_pct_slope_pos_lag1,xs_pct_slope_pos_lag2,xs_pct_slope_pos_lag3,market_real_hist_lag1,market_real_hist_lag2,market_real_hist_lag3,at_nb20_low,at_nb20_low_lag1,at_nb20_low_lag2,at_nb20_low_lag3,was_nb20_low_l3,days_since_nb20_low,rollmin5,at_rollmin5,px_chg1,up1,up1_lag1,up1_lag2,consec_up2,consec_up3,ret_t3,mfe_t3,mae_t3,ret_t5,mfe_t5,mae_t5,ret_t10,mfe_t10,mae_t10,ret_t15,mfe_t15,mae_t15,ret_t20,mfe_t20,mae_t20,xs_median_ret_t3,exret_t3,xs_median_ret_t5,exret_t5,xs_median_ret_t10,exret_t10,episode,in_july_cluster,split
ACB,2026-07-23,22350.0,⚠️ YẾU DẦN,33.9,3.0,46.73,-6.79,-5.89,-1.97,-3.92,22760.09,22755.0,0.02,-1.18,-1.8017942811298204,-1.7798286090969009,🔴,27165000.0,16560290.0,1.6403698244414802,-1.8,0.68,15.27,-6.29,False,False,False,THEO DÕI,,0.7,🔴 Forecast rủi ro,,,,-0.2237136465324418,0.6711409395973256,0.4474272930648837,0.6711409395973256,0.6711409395973256,0.6711409395973256,-0.2237136465324418,-0.2237136465324418,-2.0134228187919434,pattern_lifecycle,False,Thursday,False,True,True,1.1,0.0,-6.98,-10.39,29.270000000000003,-14.045,0.7253521126760564,0.056338028169014086,0.06338028169014084,0.11267605633802817,21725.0,True,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,0.0,,False,,False,,,False,False,0.0,0.6711409395973256,-0.22371364653244186,-1.342281879194629,0.6711409395973256,-1.342281879194629,0.22371364653244186,0.6711409395973256,-2.0134228187919434,-0.6711409395973145,1.7897091722595126,-2.0134228187919434,-1.7897091722595126,1.7897091722595126,-3.1319910514541416,-1.8683510638297873,1.8683510638297873,0.7012045231071795,-2.0434864023018084,1.7849390790958708,-1.561225432563429,E1_JUL_BOTTOM_BOUNCE,False,DISCOVERY
ACB,2026-07-24,22500.0,🟡 TRUNG TÍNH,56.7,1.0,48.78,-4.74,-4.46,-0.22,-4.24,22732.07,22757.5,-0.11,-1.06,-1.020892510008986,-1.1314951115017011,🟢,13447000.0,16693930.0,0.805502359240754,-1.02,1.35,16.04,-5.66,False,False,False,TÍCH LŨY,,1.1,🔴 Forecast rủi ro,,,,-0.666666666666671,-2.0000000000000018,-0.666666666666671,0.0,0.0,0.0,-0.8888888888888835,-2.0000000000000018,-2.6666666666666616,pattern_lifecycle,True,Friday,False,True,True,0.7,0.0,-6.605,-9.49,29.85,-14.760000000000002,0.7464788732394366,0.04225352112676056,0.04929577464788732,0.13380281690140844,21425.0,True,False,1,22350.0,,,46.73,,,-6.79,,,-5.89,,,-1.97,,,-3.92,,,0.02,,,-1.18,,,-1.8017942811298204,,,-1.7798286090969009,,,1.6403698244414802,,,0.68,,,15.27,,,-6.29,,,33.9,,,False,,,0.7253521126760564,,,0.056338028169014086,,,1.1,,,False,True,False,False,True,1.0,,False,0.6711409395973256,True,False,,False,False,0.0,0.0,-0.8888888888888835,-2.6666666666666616,0.0,-2.6666666666666616,0.6666666666666599,0.6666666666666599,-2.6666666666666616,-1.5555555555555545,1.1111111111111072,-2.6666666666666616,1.1111111111111072,1.1111111111111072,-3.77777777777778,0.10309278350515427,-0.10309278350515427,0.7971290650406471,-3.4637957317073087,3.9000760506563537,-3.233409383989694,E1_JUL_BOTTOM_BOUNCE,False,DISCOVERY
ACB,2026-07-27,22300.0,⚠️ YẾU DẦN,42.3,3.0,45.93,-1.44,-2.41,-0.67,-1.7400000000000002,22645.66,22727.5,-0.36,-0.82,-1.5263851881552548,-1.8809811901881024,🔴,18914800.0,16984355.0,1.113660189038677,-1.53,0.45,15.01,-6.5,False,False,False,THEO DÕI,,0.6,🔴 Forecast rủi ro,,,,-1.1210762331838595,-1.7937219730941756,0.4484304932735439,0.8968609865470878,0.8968609865470878,0.8968609865470878,-1.1210762331838595,-1.7937219730941756,-1.7937219730941756,pattern_lifecycle,False,Monday,False,True,True,0.5,0.0,-4.585,-10.04,27.35,-16.045,0.8380281690140845,0.035211267605633804,0.04225352112676056,0.08450704225352113,20850.0,True,False,2,22500.0,22350.0,,48.78,46.73,,-4.74,-6.79,,-4.46,-5.89,,-0.22,-1.97,,-4.24,-3.92,,-0.11,0.02,,-1.06,-1.18,,-1.020892510008986,-1.8017942811298204,,-1.1314951115017011,-1.7798286090969009,,0.805502359240754,1.6403698244414802,,1.35,0.68,,16.04,15.27,,-5.66,-6.29,,56.7,33.9,,True,False,,0.7464788732394366,0.7253521126760564,,0.04225352112676056,0.056338028169014086,,0.7,1.1,,True,False,True,False,True,0.0,22300.0,True,-0.8888888888888835,False,True,False,False,False,-1.1210762331838597,0.8968609865470878,-1.1210762331838597,0.6726457399103047,0.8968609865470878,-1.7937219730941756,1.5695067264573925,1.5695067264573925,-1.7937219730941756,-2.0179372197309364,2.0179372197309364,-2.0179372197309364,,2.0179372197309364,-2.914798206278024,3.385855324723941,-4.506931557907801,5.749075886062194,-5.076430146151889,7.57273109564951,-6.003224369192117,E1_JUL_BOTTOM_BOUNCE,True,DISCOVERY
ACB,2026-07-28,22350.0,🟡 TRUNG TÍNH,60.2,1.0,46.77,-2.01,-2.19,-2.19,0.0,22586.53,22712.5,-0.55,-0.68,-1.0472170802686365,-1.5960374243258135,🟢,15653800.0,17427770.0,0.8982101554014083,-1.05,0.68,15.27,-6.29,False,False,False,MUA EARLY,,0.9,🔴 Forecast rủi ro,,,,-2.0134228187919434,-2.0134228187919434,1.342281879194629,0.6711409395973256,0.6711409395973256,1.342281879194629,-2.0134228187919434,-2.0134228187919434,-2.0134228187919434,pattern_lifecycle,True,Tuesday,False,True,True,1.2,0.0,-3.33,-9.940000000000001,31.005000000000003,-15.54,0.5492957746478874,0.035211267605633804,0.04225352112676056,0.176056338028169,21050.0,True,False,3,22300.0,22500.0,22350.0,45.93,48.78,46.73,-1.44,-4.74,-6.79,-2.41,-4.46,-5.89,-0.67,-0.22,-1.97,-1.7400000000000002,-4.24,-3.92,-0.36,-0.11,0.02,-0.82,-1.06,-1.18,-1.5263851881552548,-1.020892510008986,-1.8017942811298204,-1.8809811901881024,-1.1314951115017011,-1.7798286090969009,1.113660189038677,0.805502359240754,1.6403698244414802,0.45,1.35,0.68,15.01,16.04,15.27,-6.5,-5.66,-6.29,42.3,56.7,33.9,False,True,False,0.8380281690140845,0.7464788732394366,0.7253521126760564,0.035211267605633804,0.04225352112676056,0.056338028169014086,0.5,0.7,1.1,True,True,False,True,True,0.0,22300.0,False,0.22421524663676085,True,False,True,False,False,-2.0134228187919434,0.6711409395973256,-2.0134228187919434,0.0,0.6711409395973256,-2.0134228187919434,1.7897091722595126,1.7897091722595126,-2.0134228187919434,-3.1319910514541416,1.7897091722595126,-3.1319910514541416,,1.7897091722595126,-3.1319910514541416,2.16152177540464,-4.1749445941965835,5.451694195633716,-5.451694195633716,6.068955967875944,-4.279246795616431,E1_JUL_BOTTOM_BOUNCE,True,DISCOVERY
ACB,2026-07-29,22500.0,🟡 TRUNG TÍNH,63.5,1.0,49.13,0.35,0.45,-2.6,3.0500000000000003,22593.22,22712.5,-0.53,-0.41,-0.4126016566031842,-0.935608145294442,🟢,11700900.0,17479225.0,0.6694175514074565,-0.41,1.35,16.04,-5.66,False,False,False,THEO DÕI,,2.7,🔴 Forecast rủi ro,,,,-2.6666666666666616,-0.2222222222222236,-0.4444444444444473,-2.0000000000000018,-0.2222222222222236,0.6666666666666599,-2.6666666666666616,-2.6666666666666616,-2.6666666666666616,pattern_lifecycle,True,Wednesday,False,True,True,2.1,0.0,0.725,-5.58,37.644999999999996,-12.41,0.21830985915492956,0.035211267605633804,0.1267605633802817,0.47183098591549294,21575.0,False,False,4,22350.0,22300.0,22500.0,46.77,45.93,48.78,-2.01,-1.44,-4.74,-2.19,-2.41,-4.46,-2.19,-0.67,-0.22,0.0,-1.7400000000000002,-4.24,-0.55,-0.36,-0.11,-0.68,-0.82,-1.06,-1.0472170802686365,-1.5263851881552548,-1.020892510008986,-1.5960374243258135,-1.8809811901881024,-1.1314951115017011,0.8982101554014083,1.113660189038677,0.805502359240754,0.68,0.45,1.35,15.27,15.01,16.04,-6.29,-6.5,-5.66,60.2,42.3,56.7,True,False,True,0.5492957746478874,0.8380281690140845,0.7464788732394366,0.035211267605633804,0.035211267605633804,0.04225352112676056,1.2,0.5,0.7,False,True,True,False,True,1.0,22300.0,False,0.6711409395973256,True,True,False,True,False,-0.22222222222222365,-0.22222222222222365,-2.6666666666666616,-1.3333333333333308,-0.22222222222222365,-2.6666666666666616,1.1111111111111072,1.1111111111111072,-2.6666666666666616,-3.111111111111109,1.1111111111111072,-3.77777777777778,,1.1111111111111072,-3.77777777777778,2.1839542122703115,-2.406176434492535,1.5686515748031482,-2.901984908136479,3.8113652868554837,-2.7002541757443765,E1_JUL_BOTTOM_BOUNCE,True,DISCOVERY
ACB,2026-07-30,22050.0,⚠️ YẾU DẦN,38.5,3.0,42.74,-3.19,-2.0,-7.16,5.16,22452.58,22672.5,-0.97,-0.61,-1.7930233407474905,-2.7456169368177297,🔴,12071600.0,17572910.0,0.6869437105180645,-1.79,0.0,13.72,-7.55,False,False,False,THEO DÕI,,3.8,🔴 Forecast rủi ro,,,,-0.6802721088435382,1.3605442176870763,2.7210884353741527,-0.6802721088435382,1.8140589569161087,2.7210884353741527,-0.6802721088435382,-0.6802721088435382,-0.6802721088435382,pattern_lifecycle,False,Thursday,False,True,True,4.3,0.0,0.0,-5.55,39.989999999999995,-11.72,0.14084507042253522,0.04929577464788732,0.14788732394366197,0.6619718309859155,21550.0,False,False,5,22500.0,22350.0,22300.0,49.13,46.77,45.93,0.35,-2.01,-1.44,0.45,-2.19,-2.41,-2.6,-2.19,-0.67,3.0500000000000003,0.0,-1.7400000000000002,-0.53,-0.55,-0.36,-0.41,-0.68,-0.82,-0.4126016566031842,-1.0472170802686365,-1.5263851881552548,-0.935608145294442,-1.5960374243258135,-1.8809811901881024,0.6694175514074565,0.8982101554014083,1.113660189038677,1.35,0.68,0.45,16.04,15.27,15.01,-5.66,-6.29,-6.5,63.5,60.2,42.3,True,True,False,0.21830985915492956,0.5492957746478874,0.8380281690140845,0.035211267605633804,0.035211267605633804,0.035211267605633804,2.1,1.2,0.5,True,False,True,True,True,0.0,22050.0,True,-2.0000000000000018,False,True,True,False,False,1.3605442176870763,1.8140589569161092,-0.6802721088435382,1.5873015873015817,1.8140589569161092,-0.6802721088435382,0.6802721088435382,3.1746031746031855,-0.6802721088435382,-0.45351473922902175,3.1746031746031855,-1.814058956916098,,3.1746031746031855,-1.814058956916098,2.5807525807525766,-1.2202083630655003,1.7858767858767943,-0.19857519857521266,2.115308933490756,-1.4350368246472178,E1_JUL_BOTTOM_BOUNCE,True,DISCOVERY
ACB,2026-07-31,21900.0,⚠️ YẾU DẦN,36.9,3.0,40.76,-8.37,-2.67,-7.01,4.34,22390.06,22650.0,-1.15,-0.69,-2.188739110122984,-3.31125827814569,🔴,15165000.0,17797025.0,0.8521087091803264,-2.19,0.0,12.94,-8.18,False,False,False,THEO DÕI,,3.0,🔴 Forecast rủi ro,False,-23197600.0,,2.511415525114158,1.3698630136986356,3.8812785388127935,2.511415525114158,2.511415525114158,3.8812785388127935,0.0,0.0,0.0,pattern_lifecycle,False,Friday,False,True,True,3.8,0.0,0.795,-5.285,39.625,-12.29,0.20422535211267606,0.08450704225352113,0.15492957746478872,0.4225352112676056,21600.0,False,False,6,22050.0,22500.0,22350.0,42.74,49.13,46.77,-3.19,0.35,-2.01,-2.0,0.45,-2.19,-7.16,-2.6,-2.19,5.16,3.0500000000000003,0.0,-0.97,-0.53,-0.55,-0.61,-0.41,-0.68,-1.7930233407474905,-0.4126016566031842,-1.0472170802686365,-2.7456169368177297,-0.935608145294442,-1.5960374243258135,0.6869437105180645,0.6694175514074565,0.8982101554014083,0.0,1.35,0.68,13.72,16.04,15.27,-7.55,-5.66,-6.29,38.5,63.5,60.2,False,True,True,0.14084507042253522,0.21830985915492956,0.5492957746478874,0.04929577464788732,0.035211267605633804,0.035211267605633804,4.3,2.1,1.2,True,True,False,True,True,0.0,21900.0,True,-0.6802721088435382,False,False,True,False,False,1.3698630136986356,2.511415525114158,1.3698630136986356,3.424657534246567,3.424657534246567,1.3698630136986356,1.1415525114155223,3.8812785388127935,1.1415525114155223,3.8812785388127935,3.8812785388127935,-1.1415525114155223,,3.8812785388127935,-1.1415525114155223,1.6730618957091714,-0.3031988820105358,3.3835016835016885,0.041155850744878375,1.7549261083743772,-0.613373596958855,E1_JUL_BOTTOM_BOUNCE,True,DISCOVERY
ACB,2026-08-03,22450.0,🟡 TRUNG TÍNH,63.5,1.0,49.61,3.43,0.67,-1.75,2.42,22402.05,22662.5,-1.15,-0.49,0.2140429112514219,-0.9376723662437914,🟢,9511900.0,17633370.0,0.5394260994920427,0.21,2.51,15.78,-5.87,False,False,False,MUA EARLY,,5.8,🔴 Forecast rủi ro,False,-13685700.0,,-0.222717149220486,-0.222717149220486,-1.3363028953229383,-0.222717149220486,0.8908685968819663,1.3363028953229383,-1.1135857461024523,-1.1135857461024523,-1.3363028953229383,pattern_lifecycle,True,Monday,False,True,True,5.8,1.0,6.575,0.855,45.644999999999996,-10.11,0.056338028169014086,0.11971830985915492,0.29577464788732394,0.8028169014084507,22075.0,False,False,7,21900.0,22050.0,22500.0,40.76,42.74,49.13,-8.37,-3.19,0.35,-2.67,-2.0,0.45,-7.01,-7.16,-2.6,4.34,5.16,3.0500000000000003,-1.15,-0.97,-0.53,-0.69,-0.61,-0.41,-2.188739110122984,-1.7930233407474905,-0.4126016566031842,-3.31125827814569,-2.7456169368177297,-0.935608145294442,0.8521087091803264,0.6869437105180645,0.6694175514074565,0.0,0.0,1.35,12.94,13.72,16.04,-8.18,-7.55,-5.66,36.9,38.5,63.5,False,False,True,0.20422535211267606,0.14084507042253522,0.21830985915492956,0.08450704225352113,0.04929577464788732,0.035211267605633804,3.8,4.3,2.1,False,True,True,False,True,1.0,21900.0,False,2.511415525114158,True,False,False,False,False,-0.22271714922048602,-0.22271714922048602,-1.1135857461024523,0.8908685968819663,0.8908685968819663,-1.1135857461024523,-2.6726057906458767,1.3363028953229383,-2.6726057906458767,,1.3363028953229383,-3.563474387527843,,1.3363028953229383,-3.563474387527843,-0.19985414983147987,-0.022862999389006156,1.8686428363847707,-0.9777742395028044,-0.1547987616099089,-2.5178070290359678,E2_EARLY_AUG_CONTINUATION,False,DISCOVERY
ACB,2026-08-04,22350.0,⚠️ YẾU DẦN,43.2,3.0,48.2,1.16,-0.67,-2.19,1.52,22407.64,22655.0,-1.09,-0.32,-0.2572336935081076,-1.3462811741337457,🔴,10497900.0,17602010.0,0.5964034789208732,-0.26,2.05,15.27,-6.29,False,False,False,THEO DÕI,,6.6,🔴 Forecast rủi ro,False,-24183600.0,,1.342281879194629,1.342281879194629,-2.2371364653243853,1.342281879194629,1.342281879194629,1.7897091722595126,-0.6711409395973145,-0.6711409395973145,-2.2371364653243853,pattern_lifecycle,False,Tuesday,False,True,True,6.5,1.3,5.335,1.67,46.92,-8.935,0.04225352112676056,0.20422535211267606,0.323943661971831,0.7605633802816901,22225.0,False,False,8,22450.0,21900.0,22050.0,49.61,40.76,42.74,3.43,-8.37,-3.19,0.67,-2.67,-2.0,-1.75,-7.01,-7.16,2.42,4.34,5.16,-1.15,-1.15,-0.97,-0.49,-0.69,-0.61,0.2140429112514219,-2.188739110122984,-1.7930233407474905,-0.9376723662437914,-3.31125827814569,-2.7456169368177297,0.5394260994920427,0.8521087091803264,0.6869437105180645,2.51,0.0,0.0,15.78,12.94,13.72,-5.87,-8.18,-7.55,63.5,36.9,38.5,True,False,False,0.056338028169014086,0.20422535211267606,0.14084507042253522,0.11971830985915492,0.08450704225352113,0.04929577464788732,5.8,3.8,4.3,False,False,True,True,True,2.0,21900.0,False,-0.44543429844098315,False,True,False,False,False,1.342281879194629,1.342281879194629,-0.6711409395973145,1.7897091722595126,1.7897091722595126,-0.6711409395973145,-3.1319910514541416,1.7897091722595126,-3.1319910514541416,,1.7897091722595126,-3.1319910514541416,,1.7897091722595126,-3.1319910514541416,-0.06993006993006867,1.4122119491246976,0.6767880007316651,1.1129211715278475,-2.076438290156102,-1.0555527612980398,E2_EARLY_AUG_CONTINUATION,False,DISCOVERY
ACB,2026-08-05,22200.0,🔴 YẾU,44.8,2.0,46.1,5.33,-0.45,-0.89,0.44,22382.11,22635.0,-1.12,0.03,-0.8136408944465101,-1.921802518223992,🔴,11224100.0,17699685.0,0.6341412290670709,-0.81,1.37,13.79,-6.92,False,False,False,THEO DÕI,,4.9,🔴 Forecast rủi ro,False,-35407700.0,,0.9009009009008916,2.477477477477485,-2.4774774774774744,2.027027027027017,2.477477477477485,2.477477477477485,0.9009009009008916,0.9009009009008916,-2.4774774774774744,pattern_lifecycle,False,Wednesday,False,True,True,5.2,0.0,4.01,2.425,44.84,-9.635000000000002,0.1267605633802817,0.2535211267605634,0.23943661971830985,0.5915492957746479,22000.0,False,False,9,22350.0,22450.0,21900.0,48.2,49.61,40.76,1.16,3.43,-8.37,-0.67,0.67,-2.67,-2.19,-1.75,-7.01,1.52,2.42,4.34,-1.09,-1.15,-1.15,-0.32,-0.49,-0.69,-0.2572336935081076,0.2140429112514219,-2.188739110122984,-1.3462811741337457,-0.9376723662437914,-3.31125827814569,0.5964034789208732,0.5394260994920427,0.8521087091803264,2.05,2.51,0.0,15.27,15.78,12.94,-6.29,-5.87,-8.18,43.2,63.5,36.9,False,True,False,0.04225352112676056,0.056338028169014086,0.20422535211267606,0.20422535211267606,0.11971830985915492,0.08450704225352113,6.5,5.8,3.8,False,False,False,True,True,3.0,21900.0,False,-0.6711409395973145,False,False,True,False,False,2.0270270270270174,2.0270270270270174,0.9009009009008917,2.4774774774774855,2.4774774774774855,0.9009009009008917,-1.8018018018018056,2.4774774774774855,-2.4774774774774744,,2.4774774774774855,-2.4774774774774744,,2.4774774774774855,-2.4774774774774744,2.064741658614222,-0.03771463158720456,1.742074471969557,0.7354030055079286,-1.5383478646372128,-0.26345393716459276,E2_EARLY_AUG_CONTINUATION,False,DISCOVERY
