id,name,n,july_share,E1_t5,E1_n,E2_t5,E2_n,E3_t5,E3_n,E4_t5,E4_n,ex_t5,incC_t5
T01,slope_cross_up,1,0.0,,,,,0.0,1.0,,,2.9614167908327382,-2.950851393188847
T02,slope_flatten_from_steep_neg,14,0.21428571428571427,2.4205748865355536,3.0,0.6472583380440933,8.0,-0.9036144578313254,3.0,,,-0.5528727475077849,-2.3769352103430066
T03,slope_accel_from_neg,200,0.425,2.742946708463956,86.0,1.731160896130346,79.0,-0.9967663569810603,30.0,,5.0,0.32404123050978617,-1.8378054021618406
T04,rsi_rising_from_oversold,240,0.6541666666666667,3.8648244958924605,198.0,1.0309278350515427,23.0,-2.7419856831621567,6.0,,13.0,0.42664715873558245,0.416994464643905
T05,rsi_slope_pos_oversold,358,0.61731843575419,3.3175355450236976,307.0,1.4285714285714235,31.0,-2.5210084033613467,13.0,,7.0,0.26259151865200003,0.16542324160105926
T06,rsi_cross_40_up,29,0.4482758620689655,0.6153846153846176,15.0,1.3655888914788084,10.0,1.4084507042253502,1.0,,3.0,-0.6890601337811109,-2.079280616017831
T07,rs5_turn_up_from_neg,309,0.6763754045307443,4.575410439805394,256.0,1.4158819207907625,26.0,-3.3062989997296564,6.0,,21.0,0.44275767363773366,1.2264134677102745
T08,rs_spread_pos,752,0.5292553191489362,3.424657534246567,591.0,1.382488479262678,79.0,-1.0899182561307952,29.0,,53.0,0.19300645628492763,1.4554020365910247
T09,rs_spread_flip_pos,51,0.3137254901960784,4.172876304023854,21.0,0.5830903790087438,3.0,-1.1986301369863006,11.0,,16.0,0.6533804949265865,-0.3988677303139454
T10,rs10_weak_rs5_improving,289,0.7197231833910035,4.718417047184165,251.0,0.5154639175257714,18.0,-3.649635036496346,3.0,,17.0,0.3996233970619767,1.8757631257631298
T11,reclaim_ema9,30,0.5,1.6666666666666607,17.0,2.034949908925321,12.0,,,,1.0,-0.4193674740659237,-1.3605816226784029
T12,reclaim_ma20,2,0.0,,,-0.7220216606498187,1.0,2.336448598130847,1.0,,,1.3536004459644977,-2.153312847048955
T13,approaching_ema9,321,0.6199376947040498,4.172876304023854,247.0,0.30030030030030463,31.0,-2.7419856831621567,6.0,,37.0,0.13759508270831944,0.5819374912002462
T14,obv_flip_green,72,0.6527777777777778,2.4309392265193353,49.0,2.1081349206349187,18.0,,,,5.0,-0.2493820569053895,-0.6346235401578859
T15,vol_dryup,293,0.40273037542662116,2.8037383177569986,187.0,1.1235955056179803,35.0,-0.9967663569810603,18.0,,53.0,0.08179218471467409,-0.649738156132007
T16,vol_expansion,193,0.46632124352331605,3.240740740740744,143.0,1.379310344827589,25.0,1.4084507042253502,9.0,,16.0,0.36294484200765087,-0.3550308513254996
T17,vol_expand_after_dryup,44,0.5454545454545454,3.8461538461538547,25.0,1.7543859649122862,9.0,-1.3559322033898313,3.0,,7.0,0.4834121702502858,-0.3585563533044622
T18,at_20d_low,391,0.4219948849104859,3.896144966952342,314.0,1.6091644204851763,20.0,-1.6144226084131907,16.0,,41.0,0.3052366713502619,1.1533013804126968
T19,leaving_20d_low,75,0.8666666666666667,4.658059098304723,68.0,2.7027027027026973,5.0,-3.649635036496346,1.0,,1.0,0.23563734075442433,1.2091054028773636
T20,health_improve,126,0.6904761904761905,2.446238844028903,96.0,1.6393442622950838,23.0,-1.7857142857142905,1.0,,6.0,-0.3718053146949396,-0.83102551086226
T21,sync_bottom_day,454,0.5066079295154186,3.900251878062355,454.0,,,,,,,0.27562574082320435,2.2584608332862466
T22,sync_bottom_and_rsi_rising,131,0.6641221374045801,5.084745762711873,131.0,,,,,,,0.702537017163607,2.476050110537953
T23,market_real_turn_up,60,1.0,1.6082970971912025,60.0,,,,,,,0.0396455223880543,-1.4451380173126194
T24,consec_up2,68,0.75,1.6666666666666607,51.0,0.0,13.0,-1.1205921661354978,2.0,,2.0,-0.2899378980825762,-1.2314948589046026
T25,consec_up3,17,0.8823529411764706,1.6359918200409052,15.0,-2.166064981949456,1.0,1.4084507042253502,1.0,,,-0.39117664640678784,-1.3188220230473835
T26,dd20_healing,206,0.5485436893203883,2.880184331797231,134.0,1.3788670294152316,32.0,-0.7092198581560294,13.0,,27.0,-0.3441617788847884,-1.109371692437977
T27,green2_flag,0,,,,,,,,,,,
T28,early_flag,0,,,,,,,,,,,
T29,pull_flag,0,,,,,,,,,,,
