market_snapshot_id,trade_date,entity,session_slot,snapshot_version,captured_at,market_real,market_live,market_forecast,market_forecast_confidence,market_regime,market_regime_note,market_forecast_text,market_status,market_action,trading_today,trading_reason,breadth_score,breadth_level,breadth_total,breadth_count_60,breadth_pct_60,breadth_count_50,breadth_pct_50,breadth_count_40,breadth_pct_40,breadth_count_30,breadth_pct_30,breadth_count_20,breadth_pct_20,breadth_count_10,breadth_pct_10,date,time,note,forecast_text,total_symbols,live_ok,safe_data,obv_green_pct,slope_positive_pct,rsi_above_50_pct,dist_near_ema9_pct,avg_total_score,avg_rsi14,avg_slope,avg_dist_ema9_pct,avg_vol_ratio,median_total_score,median_rsi14,median_slope,ga_tang_toc,cp_manh,mua_break,pull_dep,pull_vua,mua_early,tich_luy,theo_doi,green2_count,storm_count,early_dry_green2_count,top_symbols,vnindex_open,vnindex_high,vnindex_low,vnindex_close,vnindex_volume,vnindex_daily_return_pct,vnindex_ema9,vnindex_ma20,vnindex_wma45,vnindex_sma50,vnindex_rsi14,vnindex_macd,vnindex_macd_signal,vnindex_macd_histogram,vnindex_bb_middle,vnindex_bb_upper,vnindex_bb_lower,vnindex_atr14,vnindex_obv,tf_4h_status,tf_daily_status,tf_weekly_status,tf_monthly_status
039f0dc69faa4690,2026-08-13,MARKET,AFTER_CLOSE,1.0.0,2026-08-13T09:15:34Z,7.0,8.6,1.7,61.5,🟡 TRUNG TÍNH,"Market trung tính: ưu tiên Pull/Early, mua nhỏ, stop gần.",🔴 Forecast rủi ro,🟡 TRUNG TÍNH,⚠️ Chỉ nên test nhỏ,True,VNINDEX có giao dịch hôm nay: 2026-08-13,39.0,TRUNG TÍNH,142.0,17.0,12.0,56.0,39.4,124.0,87.3,140.0,98.6,142.0,100.0,142.0,100.0,2026-08-13,16:15:34,,🔴 Forecast rủi ro,142,117,25,51.41,83.8,39.44,89.44,4.021,48.796,1.766,0.47,,3.5,46.96,1.185,12,1,2,0,9,56,15,47,0,0,1,"VGT,GVR,SBT,DGW,OCB,MSR,TCB,NTP,CTR,FRT,DGC,PVB",1793.81,1798.79,1765.63,1765.63,743382208.0,-1.5709579052407885,,,,,,,,,,,,,,,,,
dc9a501eb90b64fc,2026-08-14,MARKET,AFTER_CLOSE,1.0.0,2026-08-14T09:00:12Z,5.6,7.6,1.0,54.1,🔴 MÙA ĐÔNG,"Market yếu: chỉ lập watchlist, chưa giải ngân thật.",🔴 Forecast rủi ro,🔴 THỊ TRƯỜNG YẾU,⛔ Không nên vào tiền,True,VNINDEX có giao dịch hôm nay: 2026-08-14,29.0,YẾU,142.0,12.0,8.5,41.0,28.9,112.0,78.9,139.0,97.9,141.0,99.3,142.0,100.0,2026-08-14,16:00:12,,🔴 Forecast rủi ro,142,117,25,35.92,85.21,28.87,88.73,3.106,46.526,1.827,-0.422,,2.0,45.015,1.29,9,0,0,0,5,53,17,58,0,0,0,"VGT,SBT,TVN,BAF,TCB,OCB,FRT,DXG,VSC,VCI,GMD,DGW",1763.6,1763.6,1717.64,1729.08,737002304.0,-1.957359945565884,,,,,,,,,,,,,,,,,
5a1e86d233b41ffb,2026-08-17,MARKET,AFTER_CLOSE,1.0.0,2026-08-17T08:40:16Z,6.2,7.8,1.4,56.6,🟡 TRUNG TÍNH,"Market trung tính: ưu tiên Pull/Early, mua nhỏ, stop gần.",🔴 Forecast rủi ro,🟡 TRUNG TÍNH,⚠️ Chỉ nên test nhỏ,True,VNINDEX có giao dịch hôm nay: 2026-08-17,32.0,TRUNG TÍNH,142.0,13.0,9.2,45.0,31.7,113.0,79.6,139.0,97.9,141.0,99.3,142.0,100.0,2026-08-17,15:40:16,,🔴 Forecast rủi ro,142,117,25,45.07,80.99,31.69,86.62,3.697,46.837,1.727,-0.212,,3.0,45.925,1.14,10,1,0,0,8,56,25,42,0,0,0,"SBT,MSR,BAF,GMD,CII,NLG,FRT,PVT,BVH,PHR,VTP,CTR",1727.81,1735.2,1715.91,1727.46,519224704.0,-0.0202568569460659,,,,,,,,,,,,,,,,,
8be443efc20c4260,2026-08-18,MARKET,AFTER_CLOSE,1.0.0,2026-08-18T12:07:57Z,5.7,7.6,1.3,56.3,🔴 MÙA ĐÔNG,"Market yếu: chỉ lập watchlist, chưa giải ngân thật.",🔴 Forecast rủi ro,🔴 THỊ TRƯỜNG YẾU,⛔ Không nên vào tiền,True,VNINDEX có giao dịch hôm nay: 2026-08-18,30.0,YẾU,142.0,17.0,12.0,42.0,29.6,106.0,74.6,139.0,97.9,142.0,100.0,142.0,100.0,2026-08-18,19:07:57,,🔴 Forecast rủi ro,142,117,25,45.77,77.46,29.58,90.14,3.352,46.418,1.548,-0.339,,2.0,45.145,1.08,14,1,0,0,4,51,26,46,0,0,1,"SBT,GAS,GMD,VTP,GVR,NTP,PLX,BSR,CTR,PLC,SAB,STB",1727.62,1750.86,1724.33,1732.02,548635840.0,0.2546856368877526,,,,,,,,,,,,,,,,,
8197b62c9017a53a,2026-08-19,MARKET,AFTER_CLOSE,1.0.0,2026-08-19T09:23:12Z,5.0,7.1,1.2,56.3,🔴 MÙA ĐÔNG,"Market yếu: chỉ lập watchlist, chưa giải ngân thật.",🔴 Forecast rủi ro,🔴 THỊ TRƯỜNG YẾU,⛔ Không nên vào tiền,True,VNINDEX có giao dịch hôm nay: 2026-08-19,26.0,YẾU,142.0,11.0,7.7,37.0,26.1,97.0,68.3,140.0,98.6,140.0,98.6,142.0,100.0,2026-08-19,16:23:12,,🔴 Forecast rủi ro,142,117,25,33.1,69.72,26.06,88.73,2.761,45.334,1.215,-0.726,,2.0,44.195,0.7,12,2,0,0,3,36,29,60,0,0,0,"MSR,GAS,SBT,VTP,TVS,DGW,BAF,HAH,VNM,SAB,TVN,NLG",1732.02,1734.39,1719.16,1726.69,572422912.0,-0.3077331670534922,,,,,,,,,,,,,,,,,
734b8cef05c64719,2026-08-20,MARKET,CLOSE,1.0.0,2026-08-20T08:23:10Z,5.3,7.1,1.1,52.6,🔴 MÙA ĐÔNG,"Market yếu: chỉ lập watchlist, chưa giải ngân thật.",🔴 Forecast rủi ro,🔴 THỊ TRƯỜNG YẾU,⛔ Không nên vào tiền,True,VNINDEX có giao dịch hôm nay: 2026-08-20,28.0,YẾU,142.0,11.0,7.7,40.0,28.2,94.0,66.2,139.0,97.9,140.0,98.6,142.0,100.0,2026-08-20,15:23:10,,🔴 Forecast rủi ro,142,117,25,40.14,66.2,28.17,89.44,3.049,45.665,0.973,-0.561,,2.0,44.2,0.48,11,0,0,0,6,44,27,54,0,0,1,"VNM,TVS,PVS,SAB,NLG,MSR,VGI,MCH,BAF,GAS,SBT,BSR",1735.56,1742.38,1729.48,1734.24,463424256.0,-0.0760561432621154,,,,,,,,,,,,,,,,,
335e64538fece2dc,2026-08-20,MARKET,AFTER_CLOSE,1.0.0,2026-08-20T08:37:33Z,5.3,7.2,1.1,52.7,🔴 MÙA ĐÔNG,"Market yếu: chỉ lập watchlist, chưa giải ngân thật.",🔴 Forecast rủi ro,🔴 THỊ TRƯỜNG YẾU,⛔ Không nên vào tiền,True,VNINDEX có giao dịch hôm nay: 2026-08-20,28.0,YẾU,142.0,12.0,8.5,40.0,28.2,94.0,66.2,139.0,97.9,140.0,98.6,142.0,100.0,2026-08-20,15:37:33,,🔴 Forecast rủi ro,142,117,25,40.85,66.2,28.17,89.44,3.085,45.723,0.977,-0.542,,2.0,44.2,0.48,11,0,0,0,6,44,27,54,0,0,1,"VNM,TVS,PVS,SAB,NLG,MSR,VGI,SBT,MCH,GAS,FRT,BSR",1735.56,1742.38,1729.48,1734.24,463424256.0,-0.0760561432621154,,,,,,,,,,,,,,,,,
8a7df606f2f6ffca,2026-08-21,MARKET,AFTER_CLOSE,1.0.0,2026-08-21T09:23:52Z,9.0,9.6,3.8,73.0,🟡 TRUNG TÍNH,"Market trung tính: ưu tiên Pull/Early, mua nhỏ, stop gần.",🔴 Forecast rủi ro,🟢 THỊ TRƯỜNG KHỎE,✅ Có thể vào tiền,True,VNINDEX có giao dịch hôm nay: 2026-08-21,61.0,KHỎE,142.0,20.0,14.1,87.0,61.3,134.0,94.4,140.0,98.6,140.0,98.6,142.0,100.0,2026-08-21,16:23:52,,🔴 Forecast rủi ro,142,117,25,78.17,71.83,61.27,80.99,6.303,51.973,1.081,1.559,,7.0,51.795,0.695,21,7,1,0,7,88,10,8,0,0,7,"NLG,DRI,CII,DGW,MSR,PVS,HAH,MWG,SSI,HHS,GEX,PVT",1733.52,1768.12,1725.4,1768.12,777638144.0,1.9959388988878053,,,,,,,,,,,,,,,,,
4c92f03332235e27,2026-08-24,MARKET,AFTER_CLOSE,1.0.0,2026-08-24T11:11:37Z,9.6,10.1,3.6,76.4,🟡 TRUNG TÍNH,"Market trung tính: ưu tiên Pull/Early, mua nhỏ, stop gần.",🔴 Forecast rủi ro,🟢 THỊ TRƯỜNG KHỎE,✅ Có thể vào tiền,True,VNINDEX có giao dịch hôm nay: 2026-08-24,69.0,KHỎE,142.0,30.0,21.1,98.0,69.0,137.0,96.5,141.0,99.3,142.0,100.0,142.0,100.0,2026-08-24,18:11:37,,🔴 Forecast rủi ro,142,117,25,74.65,69.01,69.01,78.87,5.218,53.707,1.107,1.919,,5.0,53.775,0.75,17,7,6,0,14,69,9,20,0,0,8,"SBT,PVS,GAS,CEO,HHS,MSR,TCH,PVD,HDC,PDR,BAF,DXS",1787.54,1795.38,1778.4,1788.78,845757440.0,0.0693690770556143,,,,,,,,,,,,,,,,,
9459c84b668df29a,2026-08-25,MARKET,AFTER_CLOSE,1.0.0,2026-08-25T13:22:47Z,7.4,8.4,0.8,68.1,🟡 TRUNG TÍNH,"Market trung tính: ưu tiên Pull/Early, mua nhỏ, stop gần.",🔴 Forecast rủi ro,🟡 TRUNG TÍNH,⚠️ Chỉ nên test nhỏ,True,VNINDEX có giao dịch hôm nay: 2026-08-25,56.0,KHỎE,142.0,20.0,14.1,80.0,56.3,136.0,95.8,142.0,100.0,142.0,100.0,142.0,100.0,2026-08-25,20:22:47,,🔴 Forecast rủi ro,142,117,25,53.52,67.61,56.34,86.62,3.908,52.06,0.998,1.01,,4.0,51.61,0.735,4,4,3,0,15,66,17,33,0,0,1,"DBC,VIX,MCH,TCM,FCN,DIG,SSB,DGC,VPB,VCI,PVS,GVR",1792.19,1812.18,1785.22,1791.41,835458304.0,-0.043522171198362436,,,,,,,,,,,,,,,,,
