trade_date,fc1_version,pit_schema_version,universe_count,expected_universe_size,board_source,market_source,market_real,market_live,market_forecast,breadth_score,vnindex_daily_return_pct,market_regime,share_THEO_DOI,share_TICH_LUY,share_MUA_EARLY,share_PULL_VUA,share_PULL_DEP,share_MUA_BREAK,share_CP_MANH,share_GA_TANG_TOC,rsi40_share,rsi50_share,rsi60_share,med_rsi14,obv_green_share,slope_pos_share,mean_rs5,mean_rs10,pos_rs5_share,pos_rs10_share,rs5_dispersion,near_low20_share,near_low60_share,near_high20_share,lead_conc_top10,completeness_status,missing__market_real,missing__market_live,missing__market_forecast,missing__breadth_score,missing__vnindex_daily_return_pct,missing__market_regime,missing__share_THEO_DOI,missing__share_TICH_LUY,missing__share_MUA_EARLY,missing__share_PULL_VUA,missing__share_PULL_DEP,missing__share_MUA_BREAK,missing__share_CP_MANH,missing__share_GA_TANG_TOC,missing__rsi40_share,missing__rsi50_share,missing__rsi60_share,missing__med_rsi14,missing__obv_green_share,missing__slope_pos_share,missing__mean_rs5,missing__mean_rs10,missing__pos_rs5_share,missing__pos_rs10_share,missing__rs5_dispersion,missing__near_low20_share,missing__near_low60_share,missing__near_high20_share,missing__lead_conc_top10,market_real_lag1,missing__market_real_lag1,market_forecast_lag1,missing__market_forecast_lag1,rsi50_share_lag1,missing__rsi50_share_lag1,obv_green_share_lag1,missing__obv_green_share_lag1,provenance__market_real,provenance__market_live,provenance__market_forecast,provenance__breadth_score,provenance__vnindex_daily_return_pct,provenance__market_regime,provenance__share_THEO_DOI,provenance__share_TICH_LUY,provenance__share_MUA_EARLY,provenance__share_PULL_VUA,provenance__share_PULL_DEP,provenance__share_MUA_BREAK,provenance__share_CP_MANH,provenance__share_GA_TANG_TOC,provenance__rsi40_share,provenance__rsi50_share,provenance__rsi60_share,provenance__med_rsi14,provenance__obv_green_share,provenance__slope_pos_share,provenance__mean_rs5,provenance__mean_rs10,provenance__pos_rs5_share,provenance__pos_rs10_share,provenance__rs5_dispersion,provenance__near_low20_share,provenance__near_low60_share,provenance__near_high20_share,provenance__lead_conc_top10,provenance__market_real_lag1,provenance__market_forecast_lag1,provenance__rsi50_share_lag1,provenance__obv_green_share_lag1,regime_pit,episode_id
2026-07-23,forecast_v2_fc1_v1,fc1_pit_features_v1,142,142,observations,board_same_day,,,,,,🔴 Forecast rủi ro,0.7323943661971831,0.176056338028169,0.07746478873239436,0.014084507042253521,0.0,0.0,0.0,0.0,0.19014084507042253,0.06338028169014084,0.014084507042253521,29.270000000000003,0.11267605633802817,0.056338028169014086,-7.365211267605633,-10.267887323943661,0.04929577464788732,0.04225352112676056,4.63576089041094,0.7887323943661971,0.8028169014084507,0.02112676056338028,1.0,PARTIAL,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,,1,,1,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,WEAK,0
2026-07-24,forecast_v2_fc1_v1,fc1_pit_features_v1,142,142,observations,board_same_day,,,,,,🔴 Forecast rủi ro,0.8661971830985915,0.07042253521126761,0.04225352112676056,0.007042253521126761,0.0,0.0,0.0,0.014084507042253521,0.20422535211267606,0.04929577464788732,0.007042253521126761,29.85,0.13380281690140844,0.04225352112676056,-6.767323943661972,-9.705985915492958,0.035211267605633804,0.04225352112676056,4.465761935814077,0.8380281690140845,0.8380281690140845,0.028169014084507043,1.0000000000000002,PARTIAL,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,0.06338028169014084,0,0.11267605633802817,0,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,WEAK,0
2026-07-26,forecast_v2_fc1_v1,fc1_pit_features_v1,142,142,observations,board_same_day,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20422535211267606,0.04929577464788732,0.007042253521126761,29.85,0.0,0.0,-6.767323943661972,-9.705985915492958,0.035211267605633804,0.04225352112676056,4.465761935814077,,,,1.0000000000000002,PARTIAL,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,1,,1,0.04929577464788732,0,0.13380281690140844,0,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,WEAK,0
2026-07-27,forecast_v2_fc1_v1,fc1_pit_features_v1,142,142,observations,board_same_day,,,,,,🔴 Forecast rủi ro,0.9084507042253521,0.035211267605633804,0.035211267605633804,0.02112676056338028,0.0,0.0,0.0,0.0,0.14788732394366197,0.04225352112676056,0.007042253521126761,27.35,0.08450704225352113,0.035211267605633804,-4.9614084507042255,-10.000704225352113,0.09154929577464789,0.056338028169014086,3.896142225757722,0.8802816901408451,0.8802816901408451,0.014084507042253521,0.920935412026726,PARTIAL,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,0.04929577464788732,0,0.0,0,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,WEAK,0
2026-07-28,forecast_v2_fc1_v1,fc1_pit_features_v1,142,142,observations,board_same_day,,,,,,🔴 Forecast rủi ro,0.5492957746478874,0.2887323943661972,0.15492957746478872,0.0,0.0,0.0,0.0,0.007042253521126761,0.18309859154929578,0.04225352112676056,0.007042253521126761,31.005000000000003,0.176056338028169,0.035211267605633804,-3.357816901408451,-10.315633802816903,0.1619718309859155,0.04929577464788732,3.778594079080748,0.7253521126760564,0.823943661971831,0.007042253521126761,0.7593659942363112,PARTIAL,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,0.04225352112676056,0,0.08450704225352113,0,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,WEAK,0
2026-07-29,forecast_v2_fc1_v1,fc1_pit_features_v1,142,142,observations,board_same_day,,,,,,🔴 Forecast rủi ro,0.4154929577464789,0.16901408450704225,0.39436619718309857,0.014084507042253521,0.0,0.0,0.0,0.007042253521126761,0.39436619718309857,0.1267605633802817,0.007042253521126761,37.644999999999996,0.47183098591549294,0.035211267605633804,0.9159859154929577,-6.607887323943662,0.5563380281690141,0.11971830985915492,4.282182293094209,0.3591549295774648,0.4859154929577465,0.056338028169014086,0.3229039997370756,PARTIAL,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,0.04225352112676056,0,0.176056338028169,0,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,WEAK,0
2026-07-30,forecast_v2_fc1_v1,fc1_pit_features_v1,142,142,observations,board_same_day,,,,,,🔴 Forecast rủi ro,0.22535211267605634,0.11971830985915492,0.6126760563380281,0.02112676056338028,0.0,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.5,0.14788732394366197,0.014084507042253521,39.989999999999995,0.6619718309859155,0.04929577464788732,0.27563380281690136,-6.3623239436619725,0.47183098591549294,0.1267605633802817,4.061183746795045,0.24647887323943662,0.47183098591549294,0.07042253521126761,0.40217162577332605,PARTIAL,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,0.1267605633802817,0,0.47183098591549294,0,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,WEAK,0
2026-07-31,forecast_v2_fc1_v1,fc1_pit_features_v1,142,142,ems,forecast_t0_daily,,,0.0,,,,0.5,0.14788732394366197,0.31690140845070425,0.007042253521126761,0.0,0.007042253521126761,0.02112676056338028,0.0,0.4859154929577465,0.15492957746478872,0.02112676056338028,39.625,0.4225352112676056,0.08450704225352113,1.436267605633803,-5.432957746478874,0.5704225352112676,0.15492957746478872,3.968400290299549,0.33098591549295775,0.4788732394366197,0.07746478873239436,0.33822079842286845,PARTIAL,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,0.14788732394366197,0,0.6619718309859155,0,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,WEAK,0
2026-08-01,forecast_v2_fc1_v1,fc1_pit_features_v1,142,142,observations,board_same_day,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4859154929577465,0.15492957746478872,0.02112676056338028,39.625,0.0,0.0,1.4363380281690141,-5.432887323943662,0.5704225352112676,0.15492957746478872,3.9683580896234365,,,,0.33822079842286845,PARTIAL,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,1,0.0,0,0.15492957746478872,0,0.4225352112676056,0,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,WEAK,0
2026-08-02,forecast_v2_fc1_v1,fc1_pit_features_v1,142,142,observations,board_same_day,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4859154929577465,0.15492957746478872,0.02112676056338028,39.625,0.0,0.0,1.4362676056338028,-5.432957746478873,0.5704225352112676,0.15492957746478872,3.968400290299549,,,,0.33822079842286845,PARTIAL,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,1,,1,0.15492957746478872,0,0.0,0,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,PIT_SAFE,WEAK,0
