trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2020-12-09,ACB,HOSE,6182000.0,0.0,6182000.0,220.0,0.0,220.0,0.0,0.0,0.0,0.0,28100.0,28950.0,27800.0,28550.0,28420.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:39:52Z,ff_hsx_symbol_daily_v1,0f97bfe3084add65954438d3984fa3ce6b65a8eecd079678d6125c1c5ede2381
2020-12-10,ACB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28800.0,28800.0,27900.0,27950.0,28260.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:39:52Z,ff_hsx_symbol_daily_v1,482ddbff61092d2ea71189aee70bb110db02620ca02795518245f9f54eed5103
2020-12-11,ACB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28100.0,28250.0,27800.0,28200.0,28070.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:39:52Z,ff_hsx_symbol_daily_v1,b8a1c6a48d754d90572d561d75104b2f7bc73a901e576e15771b037687d2fc75
2020-12-14,ACB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28300.0,28500.0,28100.0,28200.0,28260.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:39:52Z,ff_hsx_symbol_daily_v1,b707cb0343322600ef412e43001bf423a2a96d2a7ab83bfd09c371002f25f01a
2020-12-15,ACB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28200.0,28250.0,27900.0,28000.0,28080.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:39:52Z,ff_hsx_symbol_daily_v1,d78a2b147ae1dc365a0f2971a3285a5126ce094cd935c2332f3d01ffa8887999
2020-12-16,ACB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28000.0,28450.0,28000.0,28250.0,28280.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:39:52Z,ff_hsx_symbol_daily_v1,6618da01e6ed13922ef72b47337883df154e65b655a9df52e3ec38ecf288c26a
2020-12-17,ACB,HOSE,14250000000.0,14250000000.0,0.0,500000.0,500000.0,0.0,14250000000.0,14250000000.0,500000.0,500000.0,28100.0,28850.0,28050.0,28300.0,28390.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:39:52Z,ff_hsx_symbol_daily_v1,ff2e26e80b78b15e9a15e9d6690f4df530fcf3d49a3a418354b3c139073ce759
2020-12-18,ACB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28450.0,28650.0,28300.0,28400.0,28440.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:39:52Z,ff_hsx_symbol_daily_v1,5155444a01bf9b1cd31ca50a7c258faf80c6fc95583a5e0de0dd549e3b99fe5f
2020-12-21,ACB,HOSE,4232764400.0,4232764400.0,0.0,144700.0,144700.0,0.0,4232764400.0,4232764400.0,144700.0,144700.0,28500.0,29300.0,28350.0,28950.0,28780.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:39:52Z,ff_hsx_symbol_daily_v1,b7797e2ee954a8b575b36bf6880a52d14261509840b1eac9c4c7a04b1edef6e5
2020-12-22,ACB,HOSE,1355571740.0,1355571740.0,0.0,45460.0,45460.0,0.0,1355571740.0,1355571740.0,45460.0,45460.0,28950.0,29000.0,28600.0,28750.0,28760.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:39:52Z,ff_hsx_symbol_daily_v1,c080a481cfce19936a75359b9a90b7ffe4ad62992a5dffba22a5e3955babafc6
