trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2009-01-02,ANV,HOSE,873889000.0,833554000.0,40335000.0,47650.0,45470.0,2180.0,0.0,0.0,0.0,0.0,18400.0,18800.0,18200.0,18200.0,18340.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,b0aed4f39319050df6faba3271332f1f16fe6e7c3e363d2c071a28c926211578
2009-01-05,ANV,HOSE,133894000.0,0.0,133894000.0,7370.0,0.0,7370.0,0.0,0.0,0.0,0.0,18000.0,18400.0,18000.0,18200.0,18110.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,3ced784777c848197f9e98425fa521333172aee3699386e61962e72ec2cb98be
2009-01-06,ANV,HOSE,469500000.0,0.0,469500000.0,25000.0,0.0,25000.0,0.0,0.0,0.0,0.0,18800.0,18800.0,18600.0,18600.0,18760.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,f944e8bc0cd66a552c0bbf845684c7f39ac26792e46c2f6bca8bf4d63b01100d
2009-01-07,ANV,HOSE,431274000.0,0.0,431274000.0,22940.0,0.0,22940.0,0.0,0.0,0.0,0.0,18800.0,19000.0,18700.0,18700.0,18810.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,e2d2eb40b163fec7651eaea4d528ca247dc3479ac40afd78efc7423e9c76ff36
2009-01-08,ANV,HOSE,1058810000.0,0.0,1058810000.0,56390.0,0.0,56390.0,0.0,0.0,0.0,0.0,18800.0,18800.0,18600.0,18800.0,18780.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,6b059496cadf301424a9a66d49fa097f89ae60d6b8ec7e20effa48f5e5993559
2009-01-09,ANV,HOSE,846000000.0,3760000.0,842240000.0,45000.0,200.0,44800.0,0.0,0.0,0.0,0.0,18800.0,18800.0,18700.0,18800.0,18800.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,5c26adce9b8829754463e39d79e502c2038ab811a24c61d28e8e7e5feaa295ad
2009-01-12,ANV,HOSE,497032000.0,864244000.0,-367212000.0,26460.0,46020.0,-19560.0,0.0,0.0,0.0,0.0,19000.0,19000.0,18700.0,18800.0,18790.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,a175aaebc1fb57ac7aa06b4a83e079f4ef264587e6ccc61ef32b8bb6c79ae686
2009-01-13,ANV,HOSE,734510000.0,218208000.0,516302000.0,39300.0,11660.0,27640.0,0.0,0.0,0.0,0.0,18800.0,18800.0,18500.0,18700.0,18680.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,05b03425815fca6272e1bce790e5185ee9ab3225096ec9ebf74d8939af737e70
2009-01-14,ANV,HOSE,285205000.0,182612000.0,102593000.0,15150.0,9740.0,5410.0,0.0,0.0,0.0,0.0,18600.0,19000.0,18600.0,18700.0,18750.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,09626b6ef86fa82ec589e84198960188217f739d6f5e23078b2c7a358552b1a2
2009-01-15,ANV,HOSE,276356000.0,152632000.0,123724000.0,15000.0,8260.0,6740.0,0.0,0.0,0.0,0.0,18300.0,18700.0,18200.0,18200.0,18320.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,4c8efb70f010b65709443ce2b325585898e7df52c30aca57a682b417a78327e7
2009-01-16,ANV,HOSE,403768000.0,0.0,403768000.0,22150.0,0.0,22150.0,0.0,0.0,0.0,0.0,18200.0,18400.0,18200.0,18200.0,18220.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,9153d74a03ca45548584c1e67d72e5d2720b7ea1d65c4502b9dd16f83306b623
2009-01-19,ANV,HOSE,3580000.0,15752000.0,-12172000.0,200.0,880.0,-680.0,0.0,0.0,0.0,0.0,17900.0,18000.0,17900.0,17900.0,17930.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,117dfca6966e3390f2ec0b5fd1384bc559aa4981204ba798dfbcd894f2168dd1
2009-01-20,ANV,HOSE,180462000.0,172000000.0,8462000.0,10460.0,10000.0,460.0,0.0,0.0,0.0,0.0,17600.0,17600.0,17200.0,17200.0,17300.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,95c6173bec4c1f0aaf5912ab91ca17e371cbc73b36af01e9e78f1a27009da80d
2009-01-21,ANV,HOSE,292228000.0,309807000.0,-17579000.0,16990.0,18010.0,-1020.0,0.0,0.0,0.0,0.0,17000.0,17700.0,17000.0,17200.0,17140.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,ad1312c445b969a7104947839f1ae0c33c5cb980e602e1cacc692cc442e9b73a
2009-01-22,ANV,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17500.0,18000.0,17500.0,17700.0,17800.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,797625413dda523ace8e38b2cba91ee96cce72ba07b49ed9dba4c60843750aac
2009-01-23,ANV,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,18000.0,17800.0,17800.0,17820.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,c9ac914f22a5224fe6084a0a037d3f8f5c83bc20290a7679b3fa7cb45906ed21
2009-02-02,ANV,HOSE,733100000.0,200174000.0,532926000.0,42400.0,11640.0,30760.0,0.0,0.0,0.0,0.0,17500.0,17500.0,17100.0,17100.0,17290.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,e49f85aa4e705ef5b707824ef1ba8309d13849712f246660fa1476355f1981c6
2009-02-03,ANV,HOSE,580221000.0,0.0,580221000.0,34630.0,0.0,34630.0,0.0,0.0,0.0,0.0,16600.0,17000.0,16600.0,17000.0,16780.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,1a044afd135b3ddc4f7135a9deb61a3afc3582a07461c35cbdad04470d0560c2
2009-02-04,ANV,HOSE,152148000.0,257369000.0,-105221000.0,9220.0,15580.0,-6360.0,0.0,0.0,0.0,0.0,16500.0,16800.0,16300.0,16300.0,16530.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,32b8368f382c8cc94bb75e774d79ddfc4550871ba50397cec55eced3d7858ae5
2009-02-05,ANV,HOSE,203477000.0,712090000.0,-508613000.0,13020.0,45680.0,-32660.0,0.0,0.0,0.0,0.0,15800.0,15800.0,15500.0,15500.0,15600.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,032d216140055f4253ea51900ca67afd2369464fc594d8272c068ee4509e8201
2009-02-06,ANV,HOSE,29600000.0,453027000.0,-423427000.0,2000.0,30560.0,-28560.0,0.0,0.0,0.0,0.0,14800.0,14900.0,14800.0,14800.0,14820.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,d4bddb668f75dd21c0a022dbbc3e110b053a6eb0861c5a19387e5459d959665c
2009-02-09,ANV,HOSE,183746000.0,1005889000.0,-822143000.0,12960.0,71270.0,-58310.0,0.0,0.0,0.0,0.0,14100.0,14200.0,14100.0,14100.0,14110.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,e9c6a8aa54dcfb7ba8de0226cf54194d173c344142f90caaac6420e596d5f37a
2009-02-10,ANV,HOSE,23048000.0,501696000.0,-478648000.0,1720.0,37440.0,-35720.0,0.0,0.0,0.0,0.0,13400.0,13400.0,13400.0,13400.0,13400.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,70a847e6924a3028dec34d2a9bf33db74e0aa034e010a741d3119e2eed74d392
2009-02-11,ANV,HOSE,50432000.0,137344000.0,-86912000.0,3940.0,10730.0,-6790.0,0.0,0.0,0.0,0.0,12800.0,12800.0,12800.0,12800.0,12800.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,994a0ffa128f94b56d1952e7b2c239835ba713c0ee81962fe4e48bbe1bd0ed0b
2009-02-12,ANV,HOSE,12200000.0,278770000.0,-266570000.0,1000.0,22850.0,-21850.0,0.0,0.0,0.0,0.0,12200.0,12200.0,12200.0,12200.0,12200.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,11d293fcce67eacf0c5695940cb8d1a16002124e15e7e9215d711d12d262b35a
2009-02-13,ANV,HOSE,11600000.0,383032000.0,-371432000.0,1000.0,33020.0,-32020.0,0.0,0.0,0.0,0.0,11600.0,11600.0,11600.0,11600.0,11600.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,ac3133c304a994bab5a14100b282d8c55923ea379eda2b80065e19eb6cbebdfb
2009-02-16,ANV,HOSE,11100000.0,2544897000.0,-2533797000.0,1000.0,229270.0,-228270.0,0.0,0.0,0.0,0.0,11100.0,11100.0,11100.0,11100.0,11100.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,cd9206188650db9eb27a29d30405110b69c7f44fbd54565ccdd3f5a5a57d0685
2009-02-17,ANV,HOSE,6480000.0,4976133000.0,-4969653000.0,600.0,461480.0,-460880.0,0.0,0.0,0.0,0.0,10700.0,11600.0,10600.0,10600.0,10770.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,8bd546a6c0ef255b628585240bafa382ac08e5aff13ee20e031ae754fcd57ffc
2009-02-18,ANV,HOSE,11110000.0,1777001000.0,-1765891000.0,1100.0,175200.0,-174100.0,0.0,0.0,0.0,0.0,10200.0,10400.0,10100.0,10200.0,10140.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,ec80cbe46fdbcabf1da044003f739b877f7973852ae4aa8620e513ab919e2589
2009-02-19,ANV,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10700.0,10700.0,10700.0,10700.0,10700.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,4b3fbdea247f62040a23cdabd2ba96430a1f4412f1aba0d14dc7670d48893789
2009-02-20,ANV,HOSE,0.0,308448000.0,-308448000.0,0.0,27540.0,-27540.0,0.0,0.0,0.0,0.0,11200.0,11200.0,10800.0,11200.0,11170.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:44:05Z,ff_hsx_symbol_daily_v1,2e1fd156831be1d9e2952660f9027bde8ce454697f6111894b7cc9f00cdd5946
