trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2011-07-19,BSI,HOSE,1090000.0,0.0,1090000.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,10300.0,12300.0,10300.0,10900.0,10390.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:59:44Z,ff_hsx_symbol_daily_v1,55401d683299c3fd20aa5abdd1e861ae83a4c6ed62ab256583adf1c19d11bc7c
2011-07-20,BSI,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10400.0,10400.0,10400.0,10400.0,10400.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:59:44Z,ff_hsx_symbol_daily_v1,b6d04a86126d6ee9b5c502ce3ce9d117b91a8cafbaeb5b5980636c510e99cec2
2011-07-21,BSI,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9900.0,9900.0,9900.0,9900.0,9900.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:59:44Z,ff_hsx_symbol_daily_v1,2b279336992da7e0072b0e27b5bdedd4e47e2edf62064015e477f79d232fa04d
2011-07-22,BSI,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9500.0,9500.0,9500.0,9500.0,9500.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:59:44Z,ff_hsx_symbol_daily_v1,b188fb99084649e30443d549215bd793ce453b6aebf00539cf97dbd994861db3
2011-07-25,BSI,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9100.0,9100.0,9100.0,9100.0,9100.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:59:44Z,ff_hsx_symbol_daily_v1,3d4c923d1d2a319edb68f0a96350ccec0ade9345716bfddb2d9706f092abca22
2011-07-26,BSI,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8700.0,8800.0,8700.0,8800.0,8720.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:59:44Z,ff_hsx_symbol_daily_v1,0825bbbb06917d57051870e2ffe03a3f6fb570cb3426e1a2e8d54f38f7cae1d4
2011-07-27,BSI,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9200.0,9200.0,8400.0,8500.0,8590.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:59:44Z,ff_hsx_symbol_daily_v1,31648972eb6368f8e35b5a4c42dbdc08ad99a27480c079d10ee1f954f2202107
2011-07-28,BSI,HOSE,880000.0,0.0,880000.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,8800.0,8800.0,8100.0,8200.0,8220.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:59:44Z,ff_hsx_symbol_daily_v1,a56f399dfcabba4cd86f2aa5761bb693c00fd08ab49bc0aa5e1aab34aa6748ba
2011-07-29,BSI,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8600.0,8600.0,8500.0,8600.0,8570.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:59:44Z,ff_hsx_symbol_daily_v1,d9926c1b0d04e0e49a97948aaf05418b12e6450352ac609b7f6b1c9c8c3e5d35
2011-08-01,BSI,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8200.0,8600.0,8200.0,8200.0,8200.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:59:44Z,ff_hsx_symbol_daily_v1,84149668ec9c0e2e822e1bf649c530310e2d58bc04fc238b8b787ddccc3b669f
2011-08-02,BSI,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,8200.0,7900.0,8200.0,7970.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:59:44Z,ff_hsx_symbol_daily_v1,53cf82a6e6d5a90af14d0754e8d9c31a2a5dd1a514eb12961d1ae1cac8127ccf
2011-08-03,BSI,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8400.0,8400.0,8200.0,8200.0,8220.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:59:44Z,ff_hsx_symbol_daily_v1,9d064c7f26d07994752560eba1a5aee2a03c717cf5d52e7cc9dd77f5f9b96179
2011-08-04,BSI,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8200.0,8400.0,7800.0,7800.0,8060.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:59:44Z,ff_hsx_symbol_daily_v1,d53d5e2db4f4301d2413cfdb82c1a1529f35a671ba934124f9cdccaabfd58d0a
2011-08-05,BSI,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,8100.0,7800.0,8100.0,8060.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:59:44Z,ff_hsx_symbol_daily_v1,5f33671c8be63ed812dfda101edf50ca9e5d604dacadcdc8cc8f07853bf45837
