trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2009-06-25,BVH,HOSE,2055814000.0,0.0,2055814000.0,44520.0,0.0,44520.0,0.0,0.0,0.0,0.0,46200.0,46200.0,45000.0,46200.0,46160.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:03:39Z,ff_hsx_symbol_daily_v1,fe7eaef9511401526dd9a72a4704026ba7d80b48a00c2c73d4ec1f56a5dc39d4
2009-06-26,BVH,HOSE,22875240000.0,14550000000.0,8325240000.0,471780.0,300000.0,171780.0,0.0,0.0,0.0,0.0,48500.0,48500.0,48000.0,48500.0,48480.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:03:39Z,ff_hsx_symbol_daily_v1,331d8f1f873447f1681441137acbee1507c395f66968623e1fb27e53232f8e29
2009-06-29,BVH,HOSE,9297050000.0,5050000000.0,4247050000.0,184100.0,100000.0,84100.0,0.0,0.0,0.0,0.0,50500.0,50500.0,50500.0,50500.0,50500.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:03:39Z,ff_hsx_symbol_daily_v1,b11eb3111edb3927a565df92cb8bc77d007ed10053417072d4fb3f5bb4614b91
2009-06-30,BVH,HOSE,11509480000.0,0.0,11509480000.0,217160.0,0.0,217160.0,0.0,0.0,0.0,0.0,53000.0,53000.0,53000.0,53000.0,53000.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:03:39Z,ff_hsx_symbol_daily_v1,cee5c271a2fbbf159e078fdcb74a8d92ba27001626191b39fbafe42b989debca
2009-07-01,BVH,HOSE,62405325000.0,5050000000.0,57355325000.0,1235650.0,100000.0,1135650.0,2525000000.0,0.0,50000.0,0.0,50500.0,51500.0,50500.0,50500.0,50520.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:03:39Z,ff_hsx_symbol_daily_v1,90a79b7f9817c12bbe137fb09713c7d66b91d1fce327632b3bc170d8684e27ea
2009-07-02,BVH,HOSE,61267938000.0,9715409000.0,51552529000.0,1269280.0,200810.0,1068470.0,0.0,0.0,0.0,0.0,48500.0,49500.0,48000.0,48000.0,48230.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:03:39Z,ff_hsx_symbol_daily_v1,a0de1ab442b40996841069266c80564d423c62c6786fc95f9c48314184cf892c
2009-07-03,BVH,HOSE,36463212000.0,419064000.0,36044148000.0,787680.0,9190.0,778490.0,0.0,0.0,0.0,0.0,45600.0,48000.0,45600.0,48000.0,46310.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:03:39Z,ff_hsx_symbol_daily_v1,5852d57a5434beb500471b4806f34820a78da5d69fe7338e7ae32409333c76fc
2009-07-06,BVH,HOSE,5428427000.0,0.0,5428427000.0,109880.0,0.0,109880.0,0.0,0.0,0.0,0.0,48000.0,50000.0,47500.0,50000.0,49290.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:03:39Z,ff_hsx_symbol_daily_v1,fcac21c5ebd90fc6dc8a0d84721d87eb47b106412db08b1d351c995927e04a73
2009-07-07,BVH,HOSE,9367015000.0,3333107000.0,6033908000.0,194800.0,70000.0,124800.0,0.0,0.0,0.0,0.0,47800.0,49000.0,47500.0,47500.0,47880.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:03:39Z,ff_hsx_symbol_daily_v1,94fd448d6e9a3e0c82edb9940d62369e23ed6cb69163fb7af50cbafe84578a10
2009-07-08,BVH,HOSE,3692300000.0,2457116000.0,1235184000.0,79580.0,53560.0,26020.0,0.0,0.0,0.0,0.0,46000.0,47500.0,45600.0,46400.0,46230.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:03:39Z,ff_hsx_symbol_daily_v1,3bd49e2f01f88e8fb70b0fe03d8b976bf4884c03458f4e1af43047859d235065
