trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2022-02-22,CTR,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:14:50Z,ff_hsx_symbol_daily_v1,51ff0081a50af7bcf1da3d2657814860578610fd68109fd07066ca52eca3e95b
2022-02-23,CTR,HOSE,14971590000.0,383740000.0,14587850000.0,168900.0,4300.0,164600.0,0.0,0.0,0.0,0.0,90000.0,91500.0,88000.0,91400.0,89250.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:14:50Z,ff_hsx_symbol_daily_v1,0b786685644d17cdfb40ff38422822e283b8e471258b99ab631eca024b8916f4
2022-02-24,CTR,HOSE,71350000.0,0.0,71350000.0,800.0,0.0,800.0,0.0,0.0,0.0,0.0,91600.0,91600.0,86300.0,89400.0,88790.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:14:50Z,ff_hsx_symbol_daily_v1,109f078765169e58d36b8ed782c78bded68d73b9cd450899d2b8539d8d85c6f7
2022-02-25,CTR,HOSE,462650000.0,215560000.0,247090000.0,5200.0,2400.0,2800.0,0.0,0.0,0.0,0.0,89400.0,90100.0,88000.0,89600.0,89250.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:14:50Z,ff_hsx_symbol_daily_v1,39f48489053ef69668aaa2eda4b852e77dd275886c5bbc684f4aa2ba22a75bf4
2022-02-28,CTR,HOSE,263040000.0,52800000.0,210240000.0,3000.0,600.0,2400.0,0.0,0.0,0.0,0.0,89100.0,89100.0,86800.0,87900.0,87850.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:14:50Z,ff_hsx_symbol_daily_v1,8309c18123452204c7581ae74154097dcdc0e400c5001aa7b5d5e61dba27b1ec
2022-03-01,CTR,HOSE,138230000.0,1032680000.0,-894450000.0,1600.0,12000.0,-10400.0,0.0,0.0,0.0,0.0,86800.0,87900.0,85400.0,86300.0,86000.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:14:50Z,ff_hsx_symbol_daily_v1,b3c80a9641137b4ea4b97e9041e8cac03310584fdf907cdba096d77f7957cea0
2022-03-02,CTR,HOSE,150140000.0,0.0,150140000.0,1800.0,0.0,1800.0,0.0,0.0,0.0,0.0,85600.0,85600.0,82500.0,85600.0,83650.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:14:50Z,ff_hsx_symbol_daily_v1,b9b486b2a0733a480d71d92c6d4070fd2d0a1d60c61f5c96c717445f06e4864f
2022-03-03,CTR,HOSE,8600000.0,0.0,8600000.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,85700.0,88000.0,85000.0,87800.0,86180.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:14:50Z,ff_hsx_symbol_daily_v1,f6ded7af41970aacd11bab67bd43e41c3bfcdf7acd29b7fb253ad11c8f44eab9
2022-03-04,CTR,HOSE,11562480000.0,328300000.0,11234180000.0,132900.0,3800.0,129100.0,0.0,0.0,0.0,0.0,87800.0,87800.0,85800.0,87700.0,86740.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:14:50Z,ff_hsx_symbol_daily_v1,b4253b68c2fb97048206d9eb5dd70c256b33baa851535d38112f3823306ed9da
2022-03-07,CTR,HOSE,42350000.0,0.0,42350000.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,85800.0,86900.0,83800.0,86000.0,84700.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:14:50Z,ff_hsx_symbol_daily_v1,6c389c35f3740798f0ad922a2c9018d7329ed940eac5740d35ee095677158d3e
