trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2015-03-31,DCM,HOSE,199500000.0,0.0,199500000.0,15000.0,0.0,15000.0,0.0,0.0,0.0,0.0,13600.0,14000.0,13000.0,13600.0,13500.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:17:02Z,ff_hsx_symbol_daily_v1,3e17fef39a9b452786d2b821e7a6e2f9ba20dac8ea5eca91d79189c462d87310
2015-04-01,DCM,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13200.0,13500.0,12700.0,12700.0,12920.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:17:02Z,ff_hsx_symbol_daily_v1,f745fe44105b469cc3b7a1e321260f9b094c41ac968d8aeab1a371fc8b7a30f9
2015-04-02,DCM,HOSE,620240000.0,0.0,620240000.0,47400.0,0.0,47400.0,0.0,0.0,0.0,0.0,12700.0,13200.0,12700.0,13200.0,13010.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:17:02Z,ff_hsx_symbol_daily_v1,9c1534353ebf7a66b9f15bdc37f49444fa7555a33749e647e9beac0b696575b8
2015-04-03,DCM,HOSE,1828191000.0,0.0,1828191000.0,137810.0,0.0,137810.0,0.0,0.0,0.0,0.0,13200.0,13400.0,13100.0,13400.0,13270.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:17:02Z,ff_hsx_symbol_daily_v1,9e5e71ea07b2ab8307c54918ab9316825d4b599958b76506cfe064f3042b1203
2015-04-06,DCM,HOSE,4377840000.0,0.0,4377840000.0,321800.0,0.0,321800.0,0.0,0.0,0.0,0.0,13300.0,13900.0,13200.0,13800.0,13650.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:17:02Z,ff_hsx_symbol_daily_v1,f8d6cb8445d943d7a51754750b1d9a4bb33841b1d43d63a0a83ed2c309af6ec8
2015-04-07,DCM,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13900.0,14000.0,13700.0,13800.0,13800.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:17:02Z,ff_hsx_symbol_daily_v1,3612d4d5d34cb8cd746f764f03a6d84f2315bbf49f6cc30c3c4ce3d8ee3deb83
2015-04-08,DCM,HOSE,0.0,96600000.0,-96600000.0,0.0,7000.0,-7000.0,0.0,0.0,0.0,0.0,13900.0,14000.0,13700.0,13800.0,13850.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:17:02Z,ff_hsx_symbol_daily_v1,acca144e0fb763d267e8c344079e385dfd934252b0a832b1fe97dac665da6433
2015-04-09,DCM,HOSE,4099170000.0,0.0,4099170000.0,296650.0,0.0,296650.0,0.0,0.0,0.0,0.0,13800.0,13900.0,13600.0,13900.0,13820.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:17:02Z,ff_hsx_symbol_daily_v1,b08bca8a95b2435dc91c9623bd83d7a297491950f5df1429328402012f4c0b20
2015-04-10,DCM,HOSE,3225739000.0,0.0,3225739000.0,232010.0,0.0,232010.0,0.0,0.0,0.0,0.0,13900.0,14000.0,13800.0,13800.0,13950.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:17:02Z,ff_hsx_symbol_daily_v1,ed5b0ee4ae37c4a8f88416590b87f76ec3ab29c278204d67289f75a13d791b8d
2015-04-13,DCM,HOSE,414000000.0,0.0,414000000.0,30000.0,0.0,30000.0,0.0,0.0,0.0,0.0,13800.0,13900.0,13700.0,13700.0,13790.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:17:02Z,ff_hsx_symbol_daily_v1,48bb70a1cccb80d2a6397e7dbad7d422e39366a11dcee8016f43fcb27b38fc54
