trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2018-05-22,DPG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43050.0,58000.0,43050.0,55000.0,51830.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,62a5749e4d6f65e133ec448da2287ef62dbad1d6ebb09bc84e696ee582fdb17b
2018-05-23,DPG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55000.0,56000.0,53800.0,56000.0,54460.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,849c950db2d098a7436cf743c162c5011651d38bff4094331bde300fc185e73f
2018-05-24,DPG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55000.0,56000.0,54900.0,55800.0,55340.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,6a62438609a2c3842ee91a7d36e971b9ef9fde47b3a19d31f90c29774d68c8e3
2018-05-25,DPG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56000.0,56000.0,54300.0,54300.0,54970.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,372bb51a0b98010c2853b67e0d48396103d616b5517786b80fa1bcd658bcb0e1
2018-05-28,DPG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53500.0,53500.0,50500.0,50500.0,51150.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,c65e90b42ca139ac96137aeea89cfede468a7ce61c69b4764d001a9c3a74651d
2018-05-29,DPG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50700.0,52500.0,49100.0,51900.0,51170.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,8cdf69788958c136db53e3be0e6f48b7dd08bbc200bc8b9834f6ad982af8b483
2018-05-30,DPG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52500.0,52500.0,50200.0,50800.0,50750.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,995b06e811a124ee7f96ff40733fc29786fc7b7f3814b4ddbf6ea58f8645471e
2018-05-31,DPG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51500.0,52500.0,50000.0,52500.0,50950.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,522a9adf927dd24d92a46ba5bb9eedbd1bcfecc6fab647be95b662cd069ebf75
2018-06-01,DPG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51100.0,52500.0,50000.0,51600.0,51400.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,f1854cf18c35b96ecacbedf6ba630fb31d7a3dfc27c9124b910a32dbfd92ff47
2018-06-04,DPG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52000.0,53000.0,50500.0,52900.0,51440.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,41a328ac91f9c5c10cc82c6822c2f3db92e05bf1519d63d2ffc6eec59e0a48f4
2018-06-05,DPG,HOSE,519000.0,0.0,519000.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,52800.0,52800.0,51000.0,52500.0,51730.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,391b1e9cbbe29cfb23acf8c58134c7a264f476da2a8cf6d2d5290959de826acc
2018-06-06,DPG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52900.0,53000.0,51200.0,53000.0,52160.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,524fddeb3093e5928aba8a0ca1ccdb556a6ae735c10efb14b6e827884f83a0ab
2018-06-07,DPG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53700.0,53700.0,51500.0,52000.0,51840.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,ffff28e9c63e37e4e873ec30ff0837ba684e97a573cb4c0e7d5c39f489391de5
2018-06-08,DPG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53300.0,53300.0,51000.0,53000.0,51720.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,082443a2dec26c0c8f8a7237c1cf4ddbd2a81f9230efdbc92d1b483f033f5211
2018-06-11,DPG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52500.0,53300.0,51200.0,53000.0,51940.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,904c71ab093513185ed6a832caac810c591f00e4d62dea2d3273599cfd0b8f73
2018-06-12,DPG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52000.0,52000.0,51000.0,52000.0,51430.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,12a3bad458614c483582175f161538ed7321f6181b4318ed8a19f8f046fa7332
2018-06-13,DPG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52000.0,52500.0,51200.0,52500.0,51820.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,a2df50ffffbae2131cbae9c92e7c960a6189b12337d2970a49f256be71246a25
2018-06-14,DPG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51500.0,52500.0,51400.0,52500.0,51870.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,5c866c311db19f5350d9fd078c2f627604d8a6dd3b4761d0b4af6f85583a87a3
2018-06-15,DPG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51800.0,52000.0,51300.0,51900.0,51610.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,7f38bde812b5bbb752426db5584afcd437126fa6d663566de8478f204bd432a0
2018-06-18,DPG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51500.0,51500.0,50500.0,50500.0,50870.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,b5a4242ff86ab881d845f7bbdcb0e2fd4e1398963dfa826bf2be51ba82ce9b2d
2018-06-19,DPG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51000.0,51000.0,48300.0,48500.0,49080.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,e5cf2dabe4e784298dbf6426f78034fc9c54a614bd84ded746f4d0a5b67c87d0
2018-06-20,DPG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51000.0,51000.0,49000.0,50000.0,50010.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,ee47ea3224e326b9ec400c861411edf0e36a5bc1e0d3a6a0b5bbb094a1f5fb17
2018-06-21,DPG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50200.0,51500.0,48700.0,51500.0,50070.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,7a2b47c2f8253977b420d8e1f2884fef53777dd4d89d436dc9f4dcef03c2df93
2018-06-22,DPG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51700.0,52000.0,51000.0,51700.0,51530.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,9fda9f896896e654321b9991b4da74297e1d2478e59445b627d1c1daf9910e45
2018-06-25,DPG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51700.0,51700.0,50000.0,51600.0,50740.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,5ca3a00096e6ba82a7f2bc80e77b7a5a3b7ec40011686c5802527f2d50618fde
2018-06-26,DPG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,51600.0,50000.0,51300.0,50650.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,a3630f19c8bc0f973b7fb7f0b1e384b09346f49781f20332c2d23ad2138c8edd
2018-06-27,DPG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51900.0,52000.0,50600.0,51000.0,51100.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,8a60fbde8684681b62c99d0065648f902e55d4dbc021c9d27466457063843da5
2018-06-28,DPG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51000.0,51000.0,49000.0,50800.0,49810.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,83641911522fe25df3d7d2312a5b88e8e3e30798b7d020d39b3f59f23d77ac57
2018-06-29,DPG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49300.0,50800.0,49300.0,50600.0,50130.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,8f4365c4c83a55108af458193c98e70f12db98ce79dde6f2db32e3f1289cf37f
2018-07-02,DPG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,47700.0,48200.0,48540.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:20:34Z,ff_hsx_symbol_daily_v1,4c5ceb5b0e60333cb55f20a940dced88795a390e5b0ea8d3f08de5fb6b76d387
