trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2009-01-02,DPM,HOSE,934650000.0,1035000000.0,-100350000.0,27100.0,30000.0,-2900.0,0.0,0.0,0.0,0.0,34500.0,34600.0,34400.0,34500.0,34500.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:22:30Z,ff_hsx_symbol_daily_v1,a889769cca0f5153d9fdd0ea52e542422ab79bd648bb8d33d6f966acf96e7d3d
2009-01-05,DPM,HOSE,3179769000.0,4843235000.0,-1663466000.0,91710.0,140030.0,-48320.0,0.0,0.0,0.0,0.0,34900.0,34900.0,34500.0,34500.0,34630.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:22:30Z,ff_hsx_symbol_daily_v1,93b1c19a5c8f00bef5a01a5c54db7c76e8dcbfe85be8fce91be62f7256c37097
2009-01-06,DPM,HOSE,11113535000.0,2851893000.0,8261642000.0,315000.0,80870.0,234130.0,0.0,0.0,0.0,0.0,35200.0,35500.0,35000.0,35300.0,35290.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:22:30Z,ff_hsx_symbol_daily_v1,0c39c1d03d383be8d70b5f1a006fce647d78cf272595c7ce1b944a05258ad0b8
2009-01-07,DPM,HOSE,9505662000.0,6219648000.0,3286014000.0,260880.0,170310.0,90570.0,0.0,0.0,0.0,0.0,36000.0,36800.0,36000.0,36400.0,36430.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:22:30Z,ff_hsx_symbol_daily_v1,8a4dc6322cef06808fc334bfd439096221fdf2d9d78ae0baf73f52499bde94b5
2009-01-08,DPM,HOSE,5435477000.0,4943969000.0,491508000.0,152200.0,138640.0,13560.0,0.0,0.0,0.0,0.0,35500.0,36300.0,35300.0,35400.0,35640.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:22:30Z,ff_hsx_symbol_daily_v1,6d1328d16de291ed0fbffa70b45b86b040e37c7a550a82425b66496284953dae
2009-01-09,DPM,HOSE,2723944000.0,3602208000.0,-878264000.0,77080.0,101900.0,-24820.0,0.0,0.0,0.0,0.0,35200.0,35500.0,35200.0,35400.0,35350.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:22:30Z,ff_hsx_symbol_daily_v1,17ecddb50c28dc316853820409c5dd01d5c6a56b3c85ae60adb965b8f557974b
2009-01-12,DPM,HOSE,1235912000.0,1732700000.0,-496788000.0,34900.0,49000.0,-14100.0,0.0,0.0,0.0,0.0,35400.0,35500.0,35300.0,35300.0,35380.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:22:30Z,ff_hsx_symbol_daily_v1,b61c4c07e8a9def35a8bc77d06b190ba529050517743009311aa90df01fa9e43
2009-01-13,DPM,HOSE,1052796000.0,363189000.0,689607000.0,30120.0,10350.0,19770.0,0.0,0.0,0.0,0.0,35100.0,35200.0,34700.0,34800.0,34890.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:22:30Z,ff_hsx_symbol_daily_v1,787394fd3ae9edbb32fc2847d590365e40553cec4f1d784f5d009803c101e42c
2009-01-14,DPM,HOSE,710365000.0,7578050000.0,-6867685000.0,20550.0,220320.0,-199770.0,0.0,0.0,0.0,0.0,34300.0,35000.0,34200.0,34200.0,34510.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:22:30Z,ff_hsx_symbol_daily_v1,356cf460bbf5e735523c94e5088cdda3389f83ca8f047883ec86c3f6b954858c
2009-01-15,DPM,HOSE,1363500000.0,513500000.0,850000000.0,40000.0,15000.0,25000.0,0.0,0.0,0.0,0.0,34000.0,34400.0,33900.0,34200.0,34130.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:22:30Z,ff_hsx_symbol_daily_v1,0e16b469e38c2b881c9b6e28d54f0fc566fc24b05c22204af298a064afdfb5b6
2009-01-16,DPM,HOSE,4454308000.0,385677000.0,4068631000.0,129270.0,11110.0,118160.0,0.0,0.0,0.0,0.0,34200.0,34800.0,34200.0,34400.0,34450.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:22:30Z,ff_hsx_symbol_daily_v1,7b4b43bd45108b0f8a8ccb3a9f74e218b2ae439c972c0ec7b45c3cfcfa0c5842
2009-01-19,DPM,HOSE,6820000.0,561490000.0,-554670000.0,200.0,16420.0,-16220.0,0.0,0.0,0.0,0.0,34400.0,34400.0,34100.0,34100.0,34240.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:22:30Z,ff_hsx_symbol_daily_v1,d3c193f74722826c64d5a17a5898b21507269d29aed0de90b7b396232eede947
2009-01-20,DPM,HOSE,988980000.0,336500000.0,652480000.0,29300.0,10000.0,19300.0,0.0,0.0,0.0,0.0,33700.0,34100.0,33600.0,33600.0,33730.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:22:30Z,ff_hsx_symbol_daily_v1,f4fa1f0f96108ce9b7a6be72cb891ceeb254d6df9df78fccf7a75463d2876bae
2009-01-21,DPM,HOSE,67000000.0,3130342000.0,-3063342000.0,2000.0,93230.0,-91230.0,0.0,0.0,0.0,0.0,33400.0,33800.0,33400.0,33400.0,33570.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:22:30Z,ff_hsx_symbol_daily_v1,68c31d16ae957d3d1650dc7ace64307416be0c7855e6bc5894fed79f4c107645
2009-01-22,DPM,HOSE,474449000.0,327980000.0,146469000.0,13890.0,9620.0,4270.0,0.0,0.0,0.0,0.0,34000.0,34300.0,34000.0,34100.0,34060.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:22:30Z,ff_hsx_symbol_daily_v1,c6b327a37667cf62f5f8980befeb64594b22d048f26c55dcf631277ec8d2dee7
2009-01-23,DPM,HOSE,3390000.0,1090920000.0,-1087530000.0,100.0,32000.0,-31900.0,0.0,0.0,0.0,0.0,33900.0,34200.0,33900.0,34200.0,34130.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:22:30Z,ff_hsx_symbol_daily_v1,2b7acd5e29127ab7ca6841d9fa7aa3c6e7f45fec06b916d597c7c539c7128d6b
2009-02-02,DPM,HOSE,3360000.0,1181875000.0,-1178515000.0,100.0,35430.0,-35330.0,0.0,0.0,0.0,0.0,33800.0,34000.0,33000.0,33000.0,33300.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:22:30Z,ff_hsx_symbol_daily_v1,4d938b0ba7220c8eac86a7871b221b4bbb905b3eeddf5ad3d5c7df2bffbc2226
2009-02-03,DPM,HOSE,4615406000.0,9286325000.0,-4670919000.0,145170.0,292230.0,-147060.0,0.0,0.0,0.0,0.0,31700.0,32000.0,31700.0,31700.0,31790.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:22:30Z,ff_hsx_symbol_daily_v1,4463b560b97b1048cbcef624379f81e2c8c4bf8139d25bb84c595254802a2e4b
