trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2009-12-22,DXG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48000.0,48000.0,48000.0,48000.0,48000.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:26:29Z,ff_hsx_symbol_daily_v1,5603f475b5cc139500d1c2d3c1a357425c08abeb12ed2232eb0ff3cfef696345
2009-12-23,DXG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,50000.0,50000.0,50000.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:26:29Z,ff_hsx_symbol_daily_v1,c7b0c5e358236b163cbe084443499e4f852da7ddca625c76321e664609db0b34
2009-12-24,DXG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52500.0,52500.0,52500.0,52500.0,52500.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:26:29Z,ff_hsx_symbol_daily_v1,8e522daea2751e07fcad8e633b1e43b9e84a987d6f5ea556ed22b18a7e8d40b1
2009-12-25,DXG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55000.0,55000.0,55000.0,55000.0,55000.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:26:29Z,ff_hsx_symbol_daily_v1,7a092fb6e06307cac32ad53de0b5beafc871f99343d327b8e0aa9acbdaa1f5c7
2009-12-28,DXG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57500.0,57500.0,57500.0,57500.0,57500.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:26:29Z,ff_hsx_symbol_daily_v1,23d5a35885083f872ae0ab18d574fbdeb4a02b0fed7b7cc9191afa9046f3a7b5
2009-12-29,DXG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,60000.0,60000.0,60000.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:26:29Z,ff_hsx_symbol_daily_v1,48a31f5354fdda5f93b28a363b6dad3880a356a823729163f07ba4f8bb9dff5a
2009-12-30,DXG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63000.0,63000.0,63000.0,63000.0,63000.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:26:29Z,ff_hsx_symbol_daily_v1,79de8e5e868b0fccaf45d907ffc71e2ff828410b1e184250b2f3d4c46e88cfd0
2009-12-31,DXG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66000.0,66000.0,66000.0,66000.0,66000.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:26:29Z,ff_hsx_symbol_daily_v1,e9f831ac101cceb37acb2c9548bdbe09916a024e0da070349b221061262b3978
2010-01-04,DXG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69000.0,69000.0,69000.0,69000.0,69000.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:26:29Z,ff_hsx_symbol_daily_v1,95ddace8f4452267fb13e9a12a140fba37f0062f4a2f040fb54ae13408dda213
2010-01-05,DXG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,72000.0,72000.0,72000.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:26:29Z,ff_hsx_symbol_daily_v1,76df898da77d9e64c9fa8fc0e8a855298038e608869836c3a9faadc0e77a0fd4
