trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2021-09-01,DXS,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:27:22Z,ff_hsx_symbol_daily_v1,933b6405ec916ace779335f4673c886a93c5220b193b2658fd8ec9f23c8f48fb
2021-09-06,DXS,HOSE,2330445000.0,114200000.0,2216245000.0,82400.0,4000.0,78400.0,0.0,0.0,0.0,0.0,28500.0,29000.0,27550.0,28500.0,28400.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:27:22Z,ff_hsx_symbol_daily_v1,e9f545c32c8e18b2c2d4febfa37215865b536f76cdf6b2664ee9aa6be6f41d57
2021-09-07,DXS,HOSE,646810000.0,56800000.0,590010000.0,23100.0,2000.0,21100.0,0.0,0.0,0.0,0.0,28600.0,28600.0,27800.0,28000.0,28180.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:27:22Z,ff_hsx_symbol_daily_v1,62bec898f9ecb695112a8e9188ad65380a046e2a92fd396b0af917d908e23f26
2021-09-08,DXS,HOSE,5835810000.0,0.0,5835810000.0,206900.0,0.0,206900.0,0.0,0.0,0.0,0.0,28000.0,28450.0,27800.0,28350.0,28210.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:27:22Z,ff_hsx_symbol_daily_v1,5ef571143c778b5518164f3f98851d07d32c36910a9a05c7053ea155cef7b734
2021-09-09,DXS,HOSE,912635000.0,0.0,912635000.0,32300.0,0.0,32300.0,0.0,0.0,0.0,0.0,28300.0,28350.0,28000.0,28050.0,28180.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:27:22Z,ff_hsx_symbol_daily_v1,0767c42fe7c201fc6c9856309ebd8daf6ee492d11b2b9aa0ffe0f4d81f7ba2a5
2021-09-10,DXS,HOSE,1603775000.0,0.0,1603775000.0,57000.0,0.0,57000.0,0.0,0.0,0.0,0.0,28000.0,28300.0,28000.0,28100.0,28110.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:27:22Z,ff_hsx_symbol_daily_v1,99027d15656b30bd12f9d9fa2f2743dfd76dfa35059465be4fa3966284232dd0
2021-09-13,DXS,HOSE,6660445000.0,28000000.0,6632445000.0,234900.0,1000.0,233900.0,0.0,0.0,0.0,0.0,28100.0,28900.0,27950.0,28850.0,28440.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:27:22Z,ff_hsx_symbol_daily_v1,75981b55743299cfe50ad4fa29f444ef8ea7dc08d8cbe7c1a9a2de50b6401b9e
2021-09-14,DXS,HOSE,3456945000.0,0.0,3456945000.0,120700.0,0.0,120700.0,0.0,0.0,0.0,0.0,28800.0,28800.0,28400.0,28550.0,28630.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:27:22Z,ff_hsx_symbol_daily_v1,95356951629b2828cca520ab7b4710297df25b544a98233172dbba042e24cf2d
2021-09-15,DXS,HOSE,4267245000.0,0.0,4267245000.0,150100.0,0.0,150100.0,0.0,0.0,0.0,0.0,28400.0,28600.0,28200.0,28550.0,28420.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:27:22Z,ff_hsx_symbol_daily_v1,4f0e31d846a6b5a4cfc3d006ecf33dec27deff21f3eac9ff3f8aeb892d0d46a4
2021-09-16,DXS,HOSE,4187660000.0,0.0,4187660000.0,148400.0,0.0,148400.0,0.0,0.0,0.0,0.0,28550.0,28550.0,28000.0,28200.0,28190.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:27:22Z,ff_hsx_symbol_daily_v1,76dce31c22a46efd3fd8a541b9bc8214e7c3945d2f26ac91efcf8c54e5d24585
2021-09-17,DXS,HOSE,16030240000.0,571270000.0,15458970000.0,559400.0,20000.0,539400.0,0.0,0.0,0.0,0.0,28200.0,29000.0,28000.0,29000.0,28670.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:27:22Z,ff_hsx_symbol_daily_v1,bba19fd1bbd7adb38c37781eda02f1dd60f423f671919d7d59898344da680ba6
2021-09-20,DXS,HOSE,1445835000.0,0.0,1445835000.0,50000.0,0.0,50000.0,0.0,0.0,0.0,0.0,29000.0,29300.0,28600.0,28700.0,28920.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:27:22Z,ff_hsx_symbol_daily_v1,9da74260e5153d54652483a34d861ab93ce2a4b34af2b993ad90d5db0d08c484
2021-09-21,DXS,HOSE,1417015000.0,0.0,1417015000.0,50000.0,0.0,50000.0,0.0,0.0,0.0,0.0,28050.0,28600.0,28000.0,28500.0,28220.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:27:22Z,ff_hsx_symbol_daily_v1,bd39a1e26007f5bc5167d4f400a5d9de3c65ac2764fc96212df92c2e9969d27d
2021-09-22,DXS,HOSE,1492705000.0,14150000.0,1478555000.0,52700.0,500.0,52200.0,0.0,0.0,0.0,0.0,28200.0,28500.0,28150.0,28200.0,28280.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:27:22Z,ff_hsx_symbol_daily_v1,5aba18dbd67ecdaf8efa02e48c4e53a3f66153fd8192a7fc97f4f12a580544b8
2021-09-23,DXS,HOSE,18832540000.0,54625000.0,18777915000.0,652400.0,1900.0,650500.0,0.0,0.0,0.0,0.0,28200.0,29000.0,28200.0,28800.0,28840.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:27:22Z,ff_hsx_symbol_daily_v1,20d15e2e28cde0339f2efbf601fdc7b642fc87c16c1764c68e88391131805e23
2021-09-24,DXS,HOSE,2405910000.0,0.0,2405910000.0,83600.0,0.0,83600.0,0.0,0.0,0.0,0.0,28600.0,28950.0,28600.0,28900.0,28770.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:27:22Z,ff_hsx_symbol_daily_v1,90e2eb789da5a9922c785bd29631a078d72e387c7a1eb590af44e822d66ecff5
