trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2012-07-24,FCN,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19200.0,20000.0,19200.0,19200.0,19210.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:32:35Z,ff_hsx_symbol_daily_v1,ecd515dcebf68859d13a28e29adefadb1a4f6cead06fa5ef1a6fbbbb5fa47162
2012-07-25,FCN,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18300.0,18300.0,18300.0,18300.0,18300.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:32:35Z,ff_hsx_symbol_daily_v1,0875a167bcd965f99bfbbdba2ed37f3dc37ac7169a7fc45395f35f505a1f3237
2012-07-26,FCN,HOSE,88179000.0,0.0,88179000.0,5010.0,0.0,5010.0,0.0,0.0,0.0,0.0,18300.0,18300.0,17400.0,17500.0,17490.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:32:35Z,ff_hsx_symbol_daily_v1,f3d4259a4bebaba9a0dd47738564d6e445437be23f72ede4b6622681b4f6b8c2
2012-07-27,FCN,HOSE,508578000.0,0.0,508578000.0,30010.0,0.0,30010.0,0.0,0.0,0.0,0.0,17800.0,17800.0,16800.0,16800.0,16970.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:32:35Z,ff_hsx_symbol_daily_v1,50ebd9687fd8c6a9cc23fbe6c809829e46f29efdaae46ed8cd02e4a215720e41
2012-07-30,FCN,HOSE,50400000.0,0.0,50400000.0,3000.0,0.0,3000.0,0.0,0.0,0.0,0.0,16800.0,17600.0,16700.0,17600.0,17180.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:32:35Z,ff_hsx_symbol_daily_v1,bdb6b223c1d6261f5ebb62a81c8862e0434acd587b41ced66af4684121a90acc
2012-07-31,FCN,HOSE,16384000.0,0.0,16384000.0,920.0,0.0,920.0,0.0,0.0,0.0,0.0,18400.0,18400.0,17500.0,17700.0,17930.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:32:35Z,ff_hsx_symbol_daily_v1,ba13f6bba33fc1c707dbd951262d329191f61ddef93867a83408c03a8d971feb
2012-08-01,FCN,HOSE,88500000.0,0.0,88500000.0,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,17700.0,18100.0,17400.0,17800.0,17660.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:32:35Z,ff_hsx_symbol_daily_v1,0e516155a937f223ff5850609174217fbb3a0ffc94ec67a8aafd43b534028fad
2012-08-02,FCN,HOSE,28800000.0,0.0,28800000.0,1600.0,0.0,1600.0,0.0,0.0,0.0,0.0,18000.0,18000.0,17600.0,17600.0,17840.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:32:35Z,ff_hsx_symbol_daily_v1,b22f14cfbb2b780c97624db608f73c2038bcfc32392b9ca7d1f2d1d6cf991cdb
2012-08-03,FCN,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17800.0,18000.0,17600.0,18000.0,17850.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:32:35Z,ff_hsx_symbol_daily_v1,9e2cd55d2c428a5bb841ed36fa53da3e61e56b0adcfad3307270d4545ab8ed90
2012-08-06,FCN,HOSE,44932000.0,0.0,44932000.0,2510.0,0.0,2510.0,0.0,0.0,0.0,0.0,18200.0,18400.0,17800.0,18000.0,18060.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:32:35Z,ff_hsx_symbol_daily_v1,6275f0d573d2329ef12999c16f28a96e2c8ca891879b612039acbe1531e6419b
