trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2024-08-13,GEE,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:38:23Z,ff_hsx_symbol_daily_v1,4d7a1a7838422ab4b0dce1f8e999a381c39484d107fda408f4e56236d3e4af55
2024-08-14,GEE,HOSE,15340000.0,49660000.0,-34320000.0,400.0,1200.0,-800.0,0.0,0.0,0.0,0.0,43900.0,43900.0,38000.0,38000.0,40580.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:38:23Z,ff_hsx_symbol_daily_v1,b7ca94820bed83f1ca888c40ec7a0b905b9b90dc1ac3aec50178d683de3e60ad
2024-08-15,GEE,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38000.0,38700.0,37000.0,37000.0,37930.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:38:23Z,ff_hsx_symbol_daily_v1,89c329607f7ed08cc7b403b2fa12a49e69b2a93a98f9c3b581f7d6b753885925
2024-08-16,GEE,HOSE,89780000.0,0.0,89780000.0,2400.0,0.0,2400.0,0.0,0.0,0.0,0.0,37900.0,37900.0,37000.0,37350.0,37370.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:38:23Z,ff_hsx_symbol_daily_v1,31ac7d0058fb62cf2dc220e3443daecf6e4b9e935679533669f02c6629a6d61b
2024-08-19,GEE,HOSE,10860000.0,0.0,10860000.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,37400.0,37400.0,35700.0,35900.0,36390.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:38:23Z,ff_hsx_symbol_daily_v1,96acc8efc364b59def9799cadaa3b470a7fee07061d69e0358f221fdf0b10a6a
2024-08-20,GEE,HOSE,3520000.0,3520000.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,35250.0,35700.0,35100.0,35100.0,35210.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:38:23Z,ff_hsx_symbol_daily_v1,01b8a4f1a1e91892638fafb879ed5c000378b89e7e72e19855bda9714696e5d8
2024-08-21,GEE,HOSE,54120000.0,0.0,54120000.0,1500.0,0.0,1500.0,0.0,0.0,0.0,0.0,36000.0,36800.0,35800.0,36150.0,36040.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:38:23Z,ff_hsx_symbol_daily_v1,7bd82216bc92d1de0f7b329351be80fdb5a4f2a32c7fb3985aa8d1ed6201c59e
2024-08-22,GEE,HOSE,32670000.0,0.0,32670000.0,900.0,0.0,900.0,0.0,0.0,0.0,0.0,35100.0,36300.0,35100.0,36200.0,36010.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:38:23Z,ff_hsx_symbol_daily_v1,642df2d279f9eb1d1fec92e0914714d146dd32c0d2ccfe92d326dc57156702d0
2024-08-23,GEE,HOSE,7380000.0,0.0,7380000.0,200.0,0.0,200.0,0.0,0.0,0.0,0.0,36200.0,36900.0,35600.0,35650.0,36110.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:38:23Z,ff_hsx_symbol_daily_v1,d7aa6ca81d2b902ec45306fea6b04c9b0ffed405fd6de13d241a8fbd4bb1297d
2024-08-26,GEE,HOSE,52800000.0,3550000.0,49250000.0,1500.0,100.0,1400.0,0.0,0.0,0.0,0.0,36000.0,36000.0,34100.0,34100.0,35000.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:38:23Z,ff_hsx_symbol_daily_v1,2576a3788984324d180b26f944a2f7938d62a2afd547bd8008825cf53790c6af
