trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2018-01-18,GEX,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30100.0,30100.0,30100.0,30100.0,30100.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:41:43Z,ff_hsx_symbol_daily_v1,492b8cb618ab88aba6f3b6129264d388cf08e917cb8766ed313baa12cebb25da
2018-01-19,GEX,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32200.0,32200.0,32200.0,32200.0,32200.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:41:43Z,ff_hsx_symbol_daily_v1,3aa320585deab787fcd52b12231a5925b315e44f408c75130413924422467866
2018-01-22,GEX,HOSE,2029900000.0,3923495000.0,-1893595000.0,59000.0,113900.0,-54900.0,0.0,0.0,0.0,0.0,34450.0,34450.0,33600.0,34450.0,34400.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:41:43Z,ff_hsx_symbol_daily_v1,eda3cfb80f3ad96a1a8ba7bef220a342429d2680cf36fc611250f9b3f17ede20
2018-01-25,GEX,HOSE,1086122000.0,1294662000.0,-208540000.0,31500.0,37800.0,-6300.0,0.0,0.0,0.0,0.0,35000.0,35600.0,32900.0,33900.0,33710.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:41:43Z,ff_hsx_symbol_daily_v1,e19e57d6dd8f1a6bc3f9e172fae4272dd1346e10e9c354371752779e732bc19c
2018-01-26,GEX,HOSE,13179208000.0,14248752000.0,-1069544000.0,405300.0,435600.0,-30300.0,0.0,0.0,0.0,0.0,33900.0,33900.0,32000.0,32500.0,32740.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:41:43Z,ff_hsx_symbol_daily_v1,b1945b1477994fdc1f8e2a93a95d8153c246f3d34f318871eff19809262e1c3c
2018-01-29,GEX,HOSE,6279390000.0,1993500000.0,4285890000.0,198820.0,63000.0,135820.0,0.0,0.0,0.0,0.0,32200.0,32500.0,31300.0,31300.0,31710.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:41:43Z,ff_hsx_symbol_daily_v1,6bf2750152a74c79a391fc331313831c6e7be5a0a311fb040658b267f301bff3
2018-01-30,GEX,HOSE,16121000.0,413639000.0,-397518000.0,530.0,13500.0,-12970.0,0.0,0.0,0.0,0.0,31200.0,31300.0,30400.0,30500.0,30710.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:41:43Z,ff_hsx_symbol_daily_v1,ff28d71ee9756072fe29b0d0e72c068fa3d46428fd0719fdf6a6c56525cfcbaa
2018-01-31,GEX,HOSE,84771000.0,10060999500.0,-9976228500.0,2650.0,314600.0,-311950.0,0.0,0.0,0.0,0.0,30500.0,32600.0,30500.0,31700.0,32220.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:41:43Z,ff_hsx_symbol_daily_v1,2f4032773aa8bfaf21ec73c14bdc23b6674ce2e05cdfcf43f9abb25900be2706
2018-02-01,GEX,HOSE,4752852000.0,4019528000.0,733324000.0,154000.0,130000.0,24000.0,0.0,0.0,0.0,0.0,31200.0,32000.0,30500.0,30600.0,30920.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:41:43Z,ff_hsx_symbol_daily_v1,3516f2521ba1eddd01c12fc6fbea9675b1ff520967189280d0d74ee966278efd
2018-02-02,GEX,HOSE,15200000.0,6079406000.0,-6064206000.0,500.0,200000.0,-199500.0,0.0,0.0,0.0,0.0,30800.0,30800.0,30000.0,30450.0,30440.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:41:43Z,ff_hsx_symbol_daily_v1,ff6d79494d4140c917950e66b2e35c2dad84c36dd1576f67b28a07af5eec034d
