trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2009-01-02,HAG,HOSE,2173000000.0,0.0,2173000000.0,36100.0,0.0,36100.0,0.0,0.0,0.0,0.0,60500.0,60500.0,60000.0,60000.0,60190.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:52:13Z,ff_hsx_symbol_daily_v1,18b0aba64e26defc216534bd6b55789bd766ecd7ed42b1210305a45c6cd90619
2009-01-05,HAG,HOSE,884640000.0,0.0,884640000.0,15520.0,0.0,15520.0,0.0,0.0,0.0,0.0,57000.0,61000.0,57000.0,61000.0,58330.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:52:13Z,ff_hsx_symbol_daily_v1,175f18ccbc4b23457c1152c7410f970684bc5cb2f4a1e40b0578ab5ff3883467
2009-01-06,HAG,HOSE,1757705000.0,14520000.0,1743185000.0,29150.0,240.0,28910.0,0.0,0.0,0.0,0.0,61000.0,61500.0,59500.0,61000.0,60510.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:52:13Z,ff_hsx_symbol_daily_v1,10c3acdb6276f74c3e551d31384127d6fc6531afdbed3a5c43bd45fa14602f38
2009-01-07,HAG,HOSE,1885500000.0,0.0,1885500000.0,30500.0,0.0,30500.0,0.0,0.0,0.0,0.0,61000.0,63000.0,60500.0,61000.0,61590.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:52:13Z,ff_hsx_symbol_daily_v1,eb72e2e919a6ec8183e941290d1fb3aa188f78f0d136e900d5cc96aa1b4a45b4
2009-01-08,HAG,HOSE,2939480000.0,0.0,2939480000.0,48880.0,0.0,48880.0,0.0,0.0,0.0,0.0,60000.0,61000.0,59500.0,60000.0,60130.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:52:13Z,ff_hsx_symbol_daily_v1,3ec1222c8eb460e576810f4771d73baab48f41fba45ed5987fa89229b0dbe4db
2009-01-09,HAG,HOSE,355575000.0,23800000.0,331775000.0,5850.0,400.0,5450.0,0.0,0.0,0.0,0.0,59500.0,61000.0,59500.0,61000.0,60240.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:52:13Z,ff_hsx_symbol_daily_v1,4e6b0bedd556d2cbaa7e3d46b7062d367f7b8947ce1b7090ce6bda62fd7fd266
2009-01-12,HAG,HOSE,151000000.0,84000000.0,67000000.0,2500.0,1400.0,1100.0,0.0,0.0,0.0,0.0,60000.0,60500.0,60000.0,60500.0,60260.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:52:13Z,ff_hsx_symbol_daily_v1,2c3c4c79adab0d81e4e5b2e3d1f0457726bc522610cf5df50158982499391268
2009-01-13,HAG,HOSE,647500000.0,0.0,647500000.0,10900.0,0.0,10900.0,0.0,0.0,0.0,0.0,59000.0,60000.0,59000.0,59500.0,59200.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:52:13Z,ff_hsx_symbol_daily_v1,81fadcbee90694818efd6b6f59be0ea15c56f998abbf5f31d7d4c4d23943325b
2009-01-14,HAG,HOSE,598580000.0,0.0,598580000.0,10120.0,0.0,10120.0,0.0,0.0,0.0,0.0,59000.0,60000.0,59000.0,60000.0,59430.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:52:13Z,ff_hsx_symbol_daily_v1,d1348a0d6926776262c3cf88a4c0700a7014748b18106194fc83ce1de6856748
2009-01-15,HAG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59000.0,60000.0,59000.0,59000.0,59070.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T02:52:13Z,ff_hsx_symbol_daily_v1,091639baf148fab8478c7625a9013544ce6a388002df3cd4dbc4771b9c9eb322
