trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2022-01-19,HHV,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:10:54Z,ff_hsx_symbol_daily_v1,2cd9afec05b93285d1dfddb19c9412ba9b2f0648c0adcebae818ac60b31d05b5
2022-01-20,HHV,HOSE,3586710000.0,883090000.0,2703620000.0,135600.0,32900.0,102700.0,0.0,0.0,0.0,0.0,26000.0,27950.0,25800.0,27750.0,26780.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:10:54Z,ff_hsx_symbol_daily_v1,a7bbb73a5b1f3a08e6361891885284c70165ceff29305d25e66a1c5a8a9d7d65
2022-01-21,HHV,HOSE,4321225000.0,0.0,4321225000.0,158000.0,0.0,158000.0,0.0,0.0,0.0,0.0,28250.0,28250.0,26600.0,26800.0,27420.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:10:54Z,ff_hsx_symbol_daily_v1,fa5f0f0f45b5edd8fe5043b7f639a73045dc6218ba2f3835edadee168bef4415
2022-01-24,HHV,HOSE,5757610000.0,128000000.0,5629610000.0,230000.0,5000.0,225000.0,0.0,0.0,0.0,0.0,26500.0,26600.0,24950.0,24950.0,25470.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:10:54Z,ff_hsx_symbol_daily_v1,548301b5a9469e4041dbd46b2659e1196339bfb849924cbcb4aeb9f790aa8fdd
2022-01-25,HHV,HOSE,410465000.0,416550000.0,-6085000.0,17400.0,17400.0,0.0,0.0,0.0,0.0,0.0,23300.0,25000.0,23250.0,24000.0,23560.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:10:54Z,ff_hsx_symbol_daily_v1,558b6812952361d6fd99f497c523ff3e493bf90cdd06432c23a65d802ff8d4eb
2022-01-26,HHV,HOSE,1225170000.0,477845000.0,747325000.0,52300.0,20700.0,31600.0,0.0,0.0,0.0,0.0,24850.0,24850.0,22700.0,23900.0,23330.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:10:54Z,ff_hsx_symbol_daily_v1,d19f985a927e65257d3ff0b7276af94266543218f55d067266eeea0d467abcc3
2022-01-27,HHV,HOSE,48490000.0,775455000.0,-726965000.0,2100.0,34000.0,-31900.0,0.0,0.0,0.0,0.0,23950.0,23950.0,22800.0,23200.0,23230.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:10:54Z,ff_hsx_symbol_daily_v1,c2f208ec5d97edd5935c5f37c94be7ee632e88da736d60eea282db2289e75be4
2022-01-28,HHV,HOSE,1113645000.0,173950000.0,939695000.0,50200.0,7800.0,42400.0,0.0,0.0,0.0,0.0,23000.0,23200.0,21600.0,22600.0,22390.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:10:54Z,ff_hsx_symbol_daily_v1,98ce264b925ff61677c0df41adf1c6a8c77eb9576c6d6e62e2703c6761e41ac6
2022-02-07,HHV,HOSE,195435000.0,0.0,195435000.0,8400.0,0.0,8400.0,0.0,0.0,0.0,0.0,23100.0,23600.0,22900.0,23500.0,23320.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:10:54Z,ff_hsx_symbol_daily_v1,93070067b4cd4bb36753bca1319dc8d50aa99bca67a8543dc50ad5d33785a053
2022-02-08,HHV,HOSE,175940000.0,94000000.0,81940000.0,7500.0,4000.0,3500.0,0.0,0.0,0.0,0.0,23800.0,23800.0,22800.0,23600.0,23460.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:10:54Z,ff_hsx_symbol_daily_v1,87fa5840a09b7814fc5a14786b5c4df5a5ca07cf6218a794c690d198f0ee954f
