trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2009-01-02,HPG,HOSE,248498000.0,1059741000.0,-811243000.0,8020.0,34110.0,-26090.0,0.0,0.0,0.0,0.0,31500.0,31500.0,30900.0,31000.0,31070.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:32:25Z,ff_hsx_symbol_daily_v1,fb9c48a96107f1a85bb484a93ae01ab332bb339da9f2ae9652ce1c26d958185c
2009-01-05,HPG,HOSE,710462000.0,3556575000.0,-2846113000.0,23070.0,115860.0,-92790.0,0.0,0.0,0.0,0.0,31000.0,31000.0,30400.0,30700.0,30730.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:32:25Z,ff_hsx_symbol_daily_v1,3c15dee335e02126326e7f6539ed6459efd5697b1cf22f265814c18557da4ddb
2009-01-06,HPG,HOSE,4891732000.0,1572600000.0,3319132000.0,156900.0,50400.0,106500.0,0.0,0.0,0.0,0.0,30800.0,31500.0,30800.0,31200.0,31120.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:32:25Z,ff_hsx_symbol_daily_v1,a97f0d85c1296765d85856ce81e4253504f83c8a3e59b5a6317e998cda83d3b2
2009-01-07,HPG,HOSE,4274826000.0,3312025000.0,962801000.0,132500.0,103000.0,29500.0,0.0,0.0,0.0,0.0,32000.0,32500.0,31800.0,32200.0,32200.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:32:25Z,ff_hsx_symbol_daily_v1,c9e36694026bbc61f8284ff057164729d6b1f74329d60fcea73e733e8fa2b25b
2009-01-08,HPG,HOSE,3917595000.0,4858268000.0,-940673000.0,123540.0,153320.0,-29780.0,0.0,0.0,0.0,0.0,31500.0,32100.0,31400.0,31700.0,31690.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:32:25Z,ff_hsx_symbol_daily_v1,bc2bb5ee7780221c3008725ed077af294354eee56808e702947efc809a49ef9d
2009-01-09,HPG,HOSE,2860800000.0,954267000.0,1906533000.0,90000.0,30000.0,60000.0,0.0,0.0,0.0,0.0,31800.0,32000.0,31700.0,31800.0,31790.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:32:25Z,ff_hsx_symbol_daily_v1,e5e14a83fd5e34f005874bb2eb757718f90bf57f7d412fe31887e23882fd7556
2009-01-12,HPG,HOSE,1852930000.0,1286086000.0,566844000.0,58400.0,40660.0,17740.0,0.0,0.0,0.0,0.0,31700.0,31800.0,31500.0,31800.0,31700.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:32:25Z,ff_hsx_symbol_daily_v1,b9818d6984a22b2d3ca76f024022ff5741da6b1148f6d935f1076f3639222c12
2009-01-13,HPG,HOSE,1238192000.0,581800000.0,656392000.0,39370.0,18500.0,20870.0,0.0,0.0,0.0,0.0,31600.0,31600.0,31200.0,31300.0,31400.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:32:25Z,ff_hsx_symbol_daily_v1,d359f8197b0a3ae5f35fa05fcc7ef8474ab26151989c2cdcb3de080ee3709888
2009-01-14,HPG,HOSE,611630000.0,1135710000.0,-524080000.0,19530.0,36050.0,-16520.0,0.0,0.0,0.0,0.0,31000.0,31900.0,31000.0,31300.0,31330.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:32:25Z,ff_hsx_symbol_daily_v1,6348199605af315e467c77c871be0eee74c5cc33e1ce5c7b974eb33bcf2dcc32
2009-01-15,HPG,HOSE,1059800000.0,0.0,1059800000.0,34000.0,0.0,34000.0,0.0,0.0,0.0,0.0,31100.0,31300.0,31100.0,31200.0,31170.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T01:32:25Z,ff_hsx_symbol_daily_v1,6388fd68ffd30005729d3e1f2e605efa5933088bd7c52dd5468f5fca1c8b959f
