trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2010-04-19,IJC,HOSE,0.0,18495000000.0,-18495000000.0,0.0,513750.0,-513750.0,0.0,0.0,0.0,0.0,36000.0,36000.0,36000.0,36000.0,36000.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:22:52Z,ff_hsx_symbol_daily_v1,612e2d8536fffbb3b31c924c5c4c637c83a68ead2d964c495593802ca7035c13
2010-04-20,IJC,HOSE,0.0,6804000000.0,-6804000000.0,0.0,180000.0,-180000.0,0.0,6804000000.0,0.0,180000.0,37800.0,37800.0,37800.0,37800.0,37800.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:22:52Z,ff_hsx_symbol_daily_v1,26ac632c3624a3ea42a5db0ebc5f08094e07bf2ed9d12c8550bfafcb955a1141
2010-04-21,IJC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39600.0,39600.0,39600.0,39600.0,39600.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:22:52Z,ff_hsx_symbol_daily_v1,3e42b797f026af34ecebc17fedf22d08abc1aceaffc0f6316bb88d2e9b7cfe05
2010-04-22,IJC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41500.0,41500.0,39000.0,39000.0,41090.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:22:52Z,ff_hsx_symbol_daily_v1,86c36aac2acec9b22119f07dd2cd23e4951e767b793d5e4feb77840a8d8cf430
2010-04-26,IJC,HOSE,148400000.0,0.0,148400000.0,4000.0,0.0,4000.0,0.0,0.0,0.0,0.0,37100.0,37100.0,37100.0,37100.0,37100.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:22:52Z,ff_hsx_symbol_daily_v1,05dd38268bbd99db620a152321146e6d4d99535b937f6ff58e793d3040a96c19
2010-04-27,IJC,HOSE,17750000.0,1364585000.0,-1346835000.0,500.0,38290.0,-37790.0,0.0,0.0,0.0,0.0,35400.0,36400.0,35300.0,35700.0,35630.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:22:52Z,ff_hsx_symbol_daily_v1,501ac92af5caaf0d5a9557a8579f84af3f825b589e5f668bd2d5e2f42c71bf27
2010-04-28,IJC,HOSE,17500000.0,3074618000.0,-3057118000.0,500.0,87710.0,-87210.0,0.0,0.0,0.0,0.0,35000.0,37000.0,35000.0,35000.0,35310.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:22:52Z,ff_hsx_symbol_daily_v1,530966e08884c60dcf130b321fbb8ad5d4cf487f271b2d4dc2959a87e0fd9ea0
2010-04-29,IJC,HOSE,35000000.0,0.0,35000000.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,36500.0,36500.0,35000.0,36300.0,35390.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:22:52Z,ff_hsx_symbol_daily_v1,f0d5f6f5cd0f9b8aa4eefb6b17e763a3257195ac17d10042250ca967497c5697
2010-05-04,IJC,HOSE,1516000.0,0.0,1516000.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,37900.0,37900.0,36000.0,36900.0,36450.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:22:52Z,ff_hsx_symbol_daily_v1,4db65b6d0dc06ac9a84ea8f14cc158c58333ad58ceb477d7c43e44a7abc704e3
2010-05-05,IJC,HOSE,17550000.0,0.0,17550000.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,35400.0,36900.0,35100.0,36900.0,35230.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:22:52Z,ff_hsx_symbol_daily_v1,60f701a4b508808e2d477ff33d3737fc48419fe820494cbfe03acf8002c0241a
2010-05-06,IJC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37400.0,38700.0,36500.0,38700.0,37780.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:22:52Z,ff_hsx_symbol_daily_v1,d1529469d408ee8e6a7519a2f31a968024565a2e676c8135fa1319d2968a0b60
2010-05-07,IJC,HOSE,223300000.0,0.0,223300000.0,5500.0,0.0,5500.0,0.0,0.0,0.0,0.0,40600.0,40600.0,40000.0,40600.0,40590.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:22:52Z,ff_hsx_symbol_daily_v1,1796fff893bbf8801a02d31cfe386446188319638a6effd1d04d661ecf6cc05b
2010-05-10,IJC,HOSE,10250000.0,0.0,10250000.0,250.0,0.0,250.0,0.0,0.0,0.0,0.0,41000.0,41000.0,38600.0,38600.0,38860.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:22:52Z,ff_hsx_symbol_daily_v1,bc208fb75c08d170f19946a59a587970600fcd5a466a20b33b193e0fc495dcee
2010-05-11,IJC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38100.0,38900.0,36800.0,37200.0,37440.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:22:52Z,ff_hsx_symbol_daily_v1,9ef92f00aa075560d30a5b7280ec6723944ed945ce455a2b9a81d29f9e9a0d57
2010-05-12,IJC,HOSE,17700000.0,0.0,17700000.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,36500.0,36500.0,35400.0,35400.0,35540.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:22:52Z,ff_hsx_symbol_daily_v1,3f542df48a1e6f1cfbeca0f05cdffb2034c7de9d9f1f7c2d665bc10ce07414d4
2010-05-13,IJC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35400.0,36500.0,34800.0,34800.0,35240.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:22:52Z,ff_hsx_symbol_daily_v1,1796e7543c9be4db92fe2d11720d16eeb4ab3dc7054404073e3def4bcc091f04
2010-05-14,IJC,HOSE,0.0,33300000.0,-33300000.0,0.0,1000.0,-1000.0,0.0,0.0,0.0,0.0,33000.0,33500.0,33000.0,33300.0,33220.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:22:52Z,ff_hsx_symbol_daily_v1,06f4907aa128e52a3888e4b4a14ebc2d19876e69f1f14b177181875953ab6e0b
2010-05-17,IJC,HOSE,0.0,11160000.0,-11160000.0,0.0,340.0,-340.0,0.0,0.0,0.0,0.0,33500.0,34000.0,31700.0,32000.0,32550.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:22:52Z,ff_hsx_symbol_daily_v1,3d913c293ad690a0c7b41e6b2fd4c2ded0003f3583c875f50fcdf25530e97a7e
2010-05-18,IJC,HOSE,0.0,35460000.0,-35460000.0,0.0,1160.0,-1160.0,0.0,0.0,0.0,0.0,31000.0,31500.0,30400.0,30400.0,30460.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:22:52Z,ff_hsx_symbol_daily_v1,c5184e9012887c658b164be63cde1dd643a64085d3d2e04a56e4a11a97998106
2010-05-19,IJC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29100.0,29100.0,28900.0,28900.0,28930.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:22:52Z,ff_hsx_symbol_daily_v1,707f31d3d44afe2cd9db69277d44491afe727166bc3ef1011b7283cb759e0e51
2010-05-20,IJC,HOSE,12120000.0,0.0,12120000.0,400.0,0.0,400.0,0.0,0.0,0.0,0.0,27500.0,30300.0,27500.0,30300.0,27840.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:22:52Z,ff_hsx_symbol_daily_v1,daf7eb6325a8dfd2009d05125f177cb5ed1e8da2ee59cdc9be22f450706287e4
2010-05-21,IJC,HOSE,146880000.0,0.0,146880000.0,5100.0,0.0,5100.0,0.0,0.0,0.0,0.0,28800.0,29500.0,28800.0,28800.0,28810.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:22:52Z,ff_hsx_symbol_daily_v1,faba3132a76804037226a8389b3b473168232c2a1ea58d3497943c103672f452
2010-05-24,IJC,HOSE,2800000.0,0.0,2800000.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,28800.0,28800.0,27400.0,27700.0,27680.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:22:52Z,ff_hsx_symbol_daily_v1,6b1b3378ee9ed41f58c2783e79c9017393a75898b7b5365bbec22bb6f5db267f
2010-05-25,IJC,HOSE,0.0,134553000.0,-134553000.0,0.0,5000.0,-5000.0,0.0,0.0,0.0,0.0,27700.0,28000.0,26700.0,27000.0,27450.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:22:52Z,ff_hsx_symbol_daily_v1,d5a397e5ea185be033376c491450f3892b92d7a4efda07586e86bde68b3f6707
