trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2010-02-01,KDH,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48000.0,48000.0,48000.0,48000.0,48000.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:27:39Z,ff_hsx_symbol_daily_v1,0bb97975ecdbdcf5e81f21387e8be8e028641d1b3cfd027a107d94a522e9062c
2010-02-02,KDH,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,50000.0,50000.0,50000.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:27:39Z,ff_hsx_symbol_daily_v1,75bb0d424f4a8d1f270d622db02708bf96d50c18c16d56bdfedd2216d2d9512b
2010-02-03,KDH,HOSE,1560000.0,0.0,1560000.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,52000.0,52000.0,50000.0,50000.0,51090.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:27:39Z,ff_hsx_symbol_daily_v1,2a5b390e3f1cd6640893e9c134176bcf085c28c010010c447a0846cda17c5006
2010-02-04,KDH,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,49000.0,50000.0,49840.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:27:39Z,ff_hsx_symbol_daily_v1,43c143e60ad3ac06aa6e8d0d20b539545af6b02d6d5222c20cf4a7bb84ab21c1
2010-02-05,KDH,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48000.0,48100.0,47500.0,47500.0,47550.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:27:39Z,ff_hsx_symbol_daily_v1,93a02d7ea28e051018a6431fe03dade53ebbb991063b4926fc4c01d059900a81
2010-02-08,KDH,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45500.0,49500.0,45500.0,49500.0,47970.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:27:39Z,ff_hsx_symbol_daily_v1,3e021a94ce08f838c2f8ff37bb0147dea529ba35028d8b0b4f5b126958bd88fa
2010-02-09,KDH,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49500.0,49500.0,47200.0,49000.0,48990.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:27:39Z,ff_hsx_symbol_daily_v1,77cb40fc108e21261c3b2898b4912bbcbf9cf53348b737f2792cf3f1c1e0fa92
2010-02-10,KDH,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49000.0,49000.0,48900.0,49000.0,48990.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:27:39Z,ff_hsx_symbol_daily_v1,d3d6012227caf0f3fa46538ee348e17910c9a87f84ae448a6be1f7a7171c2055
2010-02-11,KDH,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47500.0,49000.0,47500.0,48000.0,47980.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:27:39Z,ff_hsx_symbol_daily_v1,3e8b8738fc7b1bdae26915f85a79ce6eebe9d2c538a6f0ec1b08d81f74d53694
2010-02-12,KDH,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47000.0,48000.0,46500.0,48000.0,47550.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:27:39Z,ff_hsx_symbol_daily_v1,c107b396928554808412731d5f9f869644f1d22c53ce115d2cb20e2246db7226
