trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2011-11-01,MBB,HOSE,108080000.0,0.0,108080000.0,7800.0,0.0,7800.0,0.0,0.0,0.0,0.0,14500.0,14500.0,13800.0,13800.0,14070.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:32:29Z,ff_hsx_symbol_daily_v1,e3cbaac4428927239b8a368d8b9acc68120809132560e5976e1983e010e43fca
2011-11-02,MBB,HOSE,59993044000.0,0.0,59993044000.0,4197577.0,0.0,4197577.0,58603494000.0,0.0,4093577.0,0.0,13600.0,13800.0,13200.0,13200.0,13410.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:32:29Z,ff_hsx_symbol_daily_v1,99ec1e59189b89def9d41161b83faf8e1ee6f57028b606e46a0ba6691774799a
2011-11-03,MBB,HOSE,21871657600.0,0.0,21871657600.0,1729436.0,0.0,1729436.0,18668487600.0,0.0,1481626.0,0.0,13000.0,13200.0,12600.0,13100.0,12910.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:32:29Z,ff_hsx_symbol_daily_v1,4052c343153950c2098115ffb2725163497feef660057b8452b76bfc60ac1ccc
2011-11-04,MBB,HOSE,1457220000.0,0.0,1457220000.0,112090.0,0.0,112090.0,0.0,0.0,0.0,0.0,13200.0,13200.0,12900.0,12900.0,12990.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:32:29Z,ff_hsx_symbol_daily_v1,5ba578facb799c7322a5dd025bb88dc2836a12146721bc85771c342376acd654
2011-11-07,MBB,HOSE,227300000.0,0.0,227300000.0,18000.0,0.0,18000.0,0.0,0.0,0.0,0.0,12900.0,12900.0,12300.0,12300.0,12540.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:32:29Z,ff_hsx_symbol_daily_v1,08cc89c9f1ad26c9150d9cef9c4bce58c106432487ed46188c5e328fe3cc357a
2011-11-08,MBB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12100.0,12200.0,11800.0,12000.0,11950.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:32:29Z,ff_hsx_symbol_daily_v1,7e79f995af5c82c4862973b8921d8886bf7cc7895c77c7635e3b5789fcb73fb6
2011-11-09,MBB,HOSE,11900000.0,71400000.0,-59500000.0,1000.0,6000.0,-5000.0,0.0,0.0,0.0,0.0,11900.0,12000.0,11600.0,11600.0,11750.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:32:29Z,ff_hsx_symbol_daily_v1,3757f7a457fb766be41ca74e1e3549e1e7a42f6f60d7bdfa4acfd7bced426553
2011-11-10,MBB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11400.0,12100.0,11400.0,11800.0,11760.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:32:29Z,ff_hsx_symbol_daily_v1,a85588841eb074c9d1420e3bef2fbfb52294a4e01ea15dd794be75c68b370243
2011-11-11,MBB,HOSE,600000000.0,0.0,600000000.0,50000.0,0.0,50000.0,0.0,0.0,0.0,0.0,12000.0,12200.0,11900.0,12000.0,12110.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:32:29Z,ff_hsx_symbol_daily_v1,d0b8921a8cebe34dbb535eea5ecf11fa5f1a8b50c7861b9b5c06fb5c5c8ea868
2011-11-14,MBB,HOSE,2400000.0,0.0,2400000.0,200.0,0.0,200.0,0.0,0.0,0.0,0.0,11900.0,12000.0,11800.0,11900.0,11890.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:32:29Z,ff_hsx_symbol_daily_v1,87adec5472a899494e65b8bea2c41e2d9842f8908175a327632b770154d04fdf
