trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2025-12-25,MCH,HOSE,123480330000.0,23662000000.0,99818330000.0,552600.0,110700.0,441900.0,0.0,0.0,0.0,0.0,220000.0,223500.0,212800.0,223500.0,219600.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:32:34Z,ff_hsx_symbol_daily_v1,d72e82c0f04507e971d0a0c5b9bc3d5e0c56cd0601c5ae29e88e0d8ca445ffc9
2025-12-26,MCH,HOSE,9910240000.0,4542398000.0,5367842000.0,45400.0,20816.0,24584.0,0.0,0.0,0.0,0.0,216000.0,221500.0,216000.0,220000.0,218400.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:32:34Z,ff_hsx_symbol_daily_v1,41818c78ccf23279f70eb1c5bbaa2881858ff42ff3b4d6941baf26df515bdb9e
2025-12-29,MCH,HOSE,1152320000.0,56771410000.0,-55619090000.0,5300.0,260700.0,-255400.0,0.0,0.0,0.0,0.0,220000.0,220100.0,214000.0,220100.0,218900.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:32:34Z,ff_hsx_symbol_daily_v1,9a5bd1d8e27b3d628e5fa8d9dde0973f88842c351b6fe3097e79caf89d9195f6
2025-12-30,MCH,HOSE,726610000.0,3610390000.0,-2883780000.0,3300.0,16400.0,-13100.0,0.0,0.0,0.0,0.0,219900.0,221200.0,219000.0,221200.0,220300.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:32:34Z,ff_hsx_symbol_daily_v1,56d34c91ab9b977134c4b72abea3a672c742a1d277579ee5ccbd830c1d8a0359
2025-12-31,MCH,HOSE,778170000.0,535350000.0,242820000.0,3500.0,2400.0,1100.0,0.0,0.0,0.0,0.0,221200.0,225000.0,221200.0,222000.0,222800.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:32:34Z,ff_hsx_symbol_daily_v1,ab0f3f122f0c00a98a0242048c6e8f01767082a25b7c2dcbf800453ab6d70285
2026-01-05,MCH,HOSE,3968978400.0,69288000000.0,-65319021600.0,18188.0,317500.0,-299312.0,0.0,0.0,0.0,0.0,223900.0,223900.0,215800.0,221200.0,218700.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:32:34Z,ff_hsx_symbol_daily_v1,6032d2f9abb1322693a362e94abd9d2c09402a172ee74e47506a89daa6c416bd
2026-01-06,MCH,HOSE,13290470000.0,3778420000.0,9512050000.0,60500.0,17200.0,43300.0,0.0,0.0,0.0,0.0,220600.0,220600.0,218800.0,220000.0,219800.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:32:34Z,ff_hsx_symbol_daily_v1,2f20855943f8e27f0ddcb398c1fddff28acc11e753953dd4a892c6c87f44afc6
2026-01-07,MCH,HOSE,2546730000.0,43667560000.0,-41120830000.0,11700.0,200000.0,-188300.0,0.0,0.0,0.0,0.0,218300.0,220000.0,216700.0,220000.0,218400.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:32:34Z,ff_hsx_symbol_daily_v1,8d35964a80d57d4b702105eda68f2819dc3621a06361e8e4c376605b7d9318a8
2026-01-08,MCH,HOSE,1274936600.0,718402920000.0,-717127983400.0,5901.0,3097280.0,-3091379.0,0.0,641319120000.0,0.0,2740680.0,218200.0,218200.0,215400.0,216500.0,216200.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:32:34Z,ff_hsx_symbol_daily_v1,5bf739cc71a4155111e9dfe35a92093c170445ec30394ec8e33838dd9fc8678b
2026-01-09,MCH,HOSE,6829472300.0,18456930000.0,-11627457700.0,39052.0,105800.0,-66748.0,0.0,0.0,0.0,0.0,175000.0,179100.0,170000.0,176000.0,174400.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:32:34Z,ff_hsx_symbol_daily_v1,1b09af5653bc599bf01a14b74f0c8411a7b80701364cdbb1b7d486f571b4319f
