trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2009-11-05,MSN,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43200.0,43200.0,43200.0,43200.0,43200.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,34754e6a39363f97e0829ff5c0c8fd77fbc9ff63cc6f0861d7d350bd9a137612
2009-11-06,MSN,HOSE,208380000.0,0.0,208380000.0,4600.0,0.0,4600.0,0.0,0.0,0.0,0.0,45300.0,45300.0,44000.0,45300.0,45250.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,9ce5bb23cb24dc42177c94e1ac627c370bf004e72ed5b379cca620d925daa935
2009-11-09,MSN,HOSE,5015110000.0,0.0,5015110000.0,113800.0,0.0,113800.0,0.0,0.0,0.0,0.0,44000.0,45200.0,43100.0,43100.0,44000.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,c9e609969c038a0475916be586add5a22dd5e88f236b158ba04fab2a639d5172
2009-11-10,MSN,HOSE,205000000.0,0.0,205000000.0,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,41000.0,41100.0,41000.0,41000.0,41010.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,15a428d3b90bd30de8f954b7d56da8f2e24f3581def5bb7986f3e53aa8efe269
2009-11-11,MSN,HOSE,99500000.0,0.0,99500000.0,2500.0,0.0,2500.0,0.0,0.0,0.0,0.0,39700.0,41000.0,39000.0,40000.0,39450.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,b0d53ed325c194b445abba9e0c60ba223dd995af4c7660a6ead7cf7997dc18e2
2009-11-12,MSN,HOSE,0.0,38400000.0,-38400000.0,0.0,1000.0,-1000.0,0.0,0.0,0.0,0.0,38400.0,39700.0,38000.0,38000.0,38360.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,8a14b9c4882bf2a44b5483212659572c84c86ca5634e76be086ae333a8894c9e
2009-11-13,MSN,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36100.0,39000.0,36100.0,39000.0,37060.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,4546e5aa8629a822bfa59716991b4c764d19d0d1fe5496554f9dd34a7bb5c887
2009-11-16,MSN,HOSE,19500000.0,0.0,19500000.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,39000.0,40700.0,38500.0,40700.0,39760.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,6f36fffb28ae915defc6b5000b603fd1fc7fbd4d64ac4e8c377782e4484d58c1
2009-11-17,MSN,HOSE,12000000.0,0.0,12000000.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,41800.0,41800.0,39700.0,41000.0,40990.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,5681f4067b13545e7ab2b6f9f701c5fa5997672ed053f4d5a327e2dfe916cb94
2009-11-18,MSN,HOSE,26635000.0,78006000.0,-51371000.0,650.0,2000.0,-1350.0,0.0,0.0,0.0,0.0,41000.0,41000.0,39000.0,40200.0,40000.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,fb4e1f5afb658474940342c5df9afc773d059becf0628a932e6b4426d95281af
2009-11-19,MSN,HOSE,7800000.0,0.0,7800000.0,200.0,0.0,200.0,0.0,0.0,0.0,0.0,40000.0,40200.0,38200.0,40000.0,39070.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,a51d3f06fda56679b24124c961ccdb40a2afe3ab3fb012453204c3c546191560
2009-11-20,MSN,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,40000.0,38200.0,38700.0,38810.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,574eb1197ab6ba6103a1c4f2ef6ebf22d31e8b8b864204661e0bf0d6f51d53e8
2009-11-23,MSN,HOSE,4266634000.0,2680418000.0,1586216000.0,111820.0,70000.0,41820.0,0.0,0.0,0.0,0.0,38700.0,39000.0,37300.0,38500.0,38210.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,5727c8dfc67e6d00df4f4465f4a96c032dacdf8fccff353cf2b926a7ec709b92
2009-11-24,MSN,HOSE,2251000000.0,1502610000.0,748390000.0,60000.0,40000.0,20000.0,0.0,0.0,0.0,0.0,38500.0,38500.0,36900.0,37700.0,37420.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,e4950aa61a9b1f49f0d0fde78213298e0e374db65cf2e638da60621e551c58b8
2009-11-25,MSN,HOSE,754000.0,0.0,754000.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,37700.0,37700.0,35900.0,35900.0,36080.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,115b32be7a305e15c311b74d3a3304458889b9bd0ff1614d376533d12907d7aa
2009-11-26,MSN,HOSE,686000.0,0.0,686000.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,34300.0,34300.0,34200.0,34200.0,34290.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,1021f8c354f4f82f22eaf9a48536f7bbbb96658d5a785e1e40ad1f4503789953
2009-11-27,MSN,HOSE,0.0,175114000.0,-175114000.0,0.0,5000.0,-5000.0,0.0,0.0,0.0,0.0,32500.0,35900.0,32500.0,34200.0,33570.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,40222ba08cbb299ec93f5a153065d9451f9151aa1099fa92ab97f9954efdae16
2009-11-30,MSN,HOSE,5733901000.0,0.0,5733901000.0,165000.0,0.0,165000.0,0.0,0.0,0.0,0.0,34200.0,35000.0,32500.0,34900.0,34750.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,6141f46851f22193f448064f4114a4d135a6a6da2d4bbfefd9898e22fd9d07ee
2009-12-01,MSN,HOSE,3186443000.0,0.0,3186443000.0,90020.0,0.0,90020.0,0.0,0.0,0.0,0.0,34900.0,35900.0,34000.0,35400.0,35390.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,8ca33fa20537d9e66674700eb092694377f5cc9909e0241231c8e0d2409c15d3
2009-12-02,MSN,HOSE,3793830000.0,0.0,3793830000.0,110480.0,0.0,110480.0,0.0,0.0,0.0,0.0,34000.0,35800.0,33900.0,34000.0,34270.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,1b1c72eb893c3a493fc4b6af27bb33178e05345011cfe8134a08c9ccf90d9fac
2009-12-03,MSN,HOSE,13400000000.0,0.0,13400000000.0,400000.0,0.0,400000.0,13400000000.0,0.0,400000.0,0.0,32800.0,34000.0,32600.0,32600.0,32930.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,d8518cf4f140ee8757c09a1bc37fb8c61e58c356ae96d273e407ea2935d643f8
2009-12-04,MSN,HOSE,684000.0,0.0,684000.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,34200.0,34200.0,34000.0,34200.0,34200.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,9a9c882777fc03f5da6f6c9fa204f0e2d02fb29a299bb408f1b6ac4d6bae1613
2009-12-07,MSN,HOSE,41034000.0,0.0,41034000.0,1150.0,0.0,1150.0,0.0,0.0,0.0,0.0,35700.0,35700.0,33500.0,35700.0,35530.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,db05ffc389ed0db738c1e393fe081c8b2c2a01921006cc6311e10209224c90b8
2009-12-08,MSN,HOSE,843902000.0,0.0,843902000.0,24390.0,0.0,24390.0,0.0,0.0,0.0,0.0,35000.0,36900.0,34200.0,35000.0,34850.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,6a69c6e1905d247dfb94801c4b6f28d4fdfc5a2de36a7b50f2621999ff798069
2009-12-09,MSN,HOSE,9802000.0,0.0,9802000.0,290.0,0.0,290.0,0.0,0.0,0.0,0.0,33800.0,35000.0,33300.0,34900.0,34600.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,3e12ba12256d2589c31833bda0f0d5e90cc742a7b987ac3a8cbe7dd56fe6e3d0
2009-12-10,MSN,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34900.0,34900.0,33200.0,34800.0,34630.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,0da9fb3d588387b1a60d58925203c6be90fdd513a8a8674c2f42a625ee5ce2b8
2009-12-11,MSN,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33400.0,34000.0,33100.0,33100.0,33190.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,5a20875b485dd5f942e6147a73e1cce3e6e89710c1df7b3b3e5030802b116006
2009-12-14,MSN,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33100.0,34700.0,33100.0,34700.0,34640.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,95439b38ff5765568b54674dddc0a0c6da01103067f93dd23e21090229e49a89
2009-12-15,MSN,HOSE,6900000000.0,0.0,6900000000.0,200000.0,0.0,200000.0,6900000000.0,0.0,200000.0,0.0,35000.0,36300.0,34500.0,36300.0,36150.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,f4ee856bf06657ff111203ced267293cc6b85a4cff5e2ffaa0bc852170c2466e
2009-12-16,MSN,HOSE,3419022000.0,0.0,3419022000.0,99100.0,0.0,99100.0,0.0,0.0,0.0,0.0,36300.0,36300.0,34500.0,36300.0,35650.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,9736b1934639405840c2f72710c9c81aa31a8e396afe2097ecd85983cf9f378e
2009-12-17,MSN,HOSE,8170081000.0,0.0,8170081000.0,227360.0,0.0,227360.0,0.0,0.0,0.0,0.0,36500.0,36500.0,34800.0,35700.0,35890.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,22bda97700b3f9879dd7e6e19458a3c0482c2e204e08d6f18eb95dc7656ddfa6
2009-12-18,MSN,HOSE,4639417000.0,0.0,4639417000.0,127450.0,0.0,127450.0,0.0,0.0,0.0,0.0,36400.0,36500.0,35200.0,36500.0,36370.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,99a9097bbc44c88d315531ab28b6a3a8c2814073c4613d9fa17d0305df7d7373
2009-12-21,MSN,HOSE,36540000.0,0.0,36540000.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,36800.0,37500.0,35200.0,36000.0,36450.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,0f84be070a4af2edcb5c42136a1489410970e039964f57b4157bcbe697d01a7f
2009-12-22,MSN,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36500.0,36500.0,35100.0,35100.0,35430.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:38:00Z,ff_hsx_symbol_daily_v1,978f895c5dfa4f0050fdd56dd88e54323cfccb0b71ce937e0fe59d7fa341cd2a
