trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2011-01-14,NKG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,30000.0,25000.0,29900.0,27520.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:41:09Z,ff_hsx_symbol_daily_v1,ee483ffba43ee3be8885baf424aa15ce7b212f3ddb95d5684d509b89a01c488b
2011-01-17,NKG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28600.0,31300.0,28600.0,31300.0,30070.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:41:09Z,ff_hsx_symbol_daily_v1,64857794ac667a6dc797903ebd02d88e9eeb525932748adecee1db1391a1649e
2011-01-18,NKG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31300.0,32800.0,30000.0,32800.0,31880.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:41:09Z,ff_hsx_symbol_daily_v1,0894c0ef93ad2f6806776cad7379d69f2a29a56755ef7e205842c76d7f750b25
2011-01-19,NKG,HOSE,28896000.0,0.0,28896000.0,840.0,0.0,840.0,0.0,0.0,0.0,0.0,31500.0,34400.0,31500.0,34400.0,33250.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:41:09Z,ff_hsx_symbol_daily_v1,5524ab4ec92319471727b1b3c7756d0ef113098b7e2fe758ffff7ce9f5f06ad1
2011-01-20,NKG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32800.0,36100.0,32800.0,35800.0,33960.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:41:09Z,ff_hsx_symbol_daily_v1,78a3c3f7b38d70916a53891cc9b388f61c28ace864d713513a3865a47aa5efe1
2011-01-21,NKG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34300.0,35800.0,34100.0,34100.0,34230.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:41:09Z,ff_hsx_symbol_daily_v1,8828075b21f0621af4eeb2e0bbbf6abed6e84b3bc8f8aa657243fffcb10efe12
2011-01-24,NKG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32500.0,32700.0,32400.0,32400.0,32460.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:41:09Z,ff_hsx_symbol_daily_v1,4b6427ad7fb6b802ec609681370713042edd61be746f1c75b4171e32173a3dcc
2011-01-25,NKG,HOSE,677600000.0,0.0,677600000.0,22000.0,0.0,22000.0,0.0,0.0,0.0,0.0,30800.0,31000.0,30800.0,30800.0,30800.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:41:09Z,ff_hsx_symbol_daily_v1,7846827ba67c6b8126ec6a6749f89c2e56d57e7b041d9f21c9e20704f99c6bcf
2011-01-26,NKG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30800.0,30800.0,29400.0,29600.0,30000.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:41:09Z,ff_hsx_symbol_daily_v1,b3dc1fcb48dcd4333d8c81b023a69cc8cc5c1e0912586d7c8357b04563f6b261
2011-01-27,NKG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29600.0,30000.0,28600.0,30000.0,29300.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:41:09Z,ff_hsx_symbol_daily_v1,a4a1d0df1472467414e96d6ff5ea3e0c35a14ec78fb9da751218f30ca3e96783
