trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2013-04-08,NLG,HOSE,7560000000.0,0.0,7560000000.0,350000.0,0.0,350000.0,0.0,0.0,0.0,0.0,21600.0,21600.0,21600.0,21600.0,21600.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:42:58Z,ff_hsx_symbol_daily_v1,f78494ef33911142f3815ee9258e10840f2de3286ba467106db0cf51db88e818
2013-04-09,NLG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20100.0,20100.0,20100.0,20100.0,20100.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:42:58Z,ff_hsx_symbol_daily_v1,33e771b10d39ce9f7b85bc38e3960034090c3747578b64fa1509b4bd531450de
2013-04-10,NLG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18700.0,18700.0,18700.0,18700.0,18700.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:42:58Z,ff_hsx_symbol_daily_v1,a5b0940c6b65d6e4bb3c2e8e398ccda17d446796d7a260a187593fd6665b0878
2013-04-11,NLG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17400.0,17400.0,17400.0,17400.0,17400.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:42:58Z,ff_hsx_symbol_daily_v1,05887d958e3795e10b063d8fa75ffdc761b48c012344d167ba92cdc69c7e75b5
2013-04-12,NLG,HOSE,3863052000.0,0.0,3863052000.0,238460.0,0.0,238460.0,810000000.0,0.0,50000.0,0.0,16200.0,16500.0,16200.0,16200.0,16220.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:42:58Z,ff_hsx_symbol_daily_v1,38c2800234e7a8592674940987f9adb222ee0ef87a474065427da35a037d690a
2013-04-15,NLG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16500.0,17300.0,16400.0,16700.0,17030.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:42:58Z,ff_hsx_symbol_daily_v1,11c45cf831ff149ed4e97ea49050d0c047e6592c1ab1a31f9c731806e14d60d5
2013-04-16,NLG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17200.0,17200.0,16700.0,17000.0,16980.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:42:58Z,ff_hsx_symbol_daily_v1,e033a46f0ad3065e8531197e67e88f8a0a8bef6a615cff652b6d15e4578fd091
2013-04-17,NLG,HOSE,2500773000.0,0.0,2500773000.0,150000.0,0.0,150000.0,0.0,0.0,0.0,0.0,16500.0,16900.0,16500.0,16900.0,16670.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:42:58Z,ff_hsx_symbol_daily_v1,b15fe774a1ea1940980e63c338633c6e2a34a830d4d907e3a78450e7ef334be7
2013-04-18,NLG,HOSE,169000000.0,0.0,169000000.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0,16900.0,16900.0,16600.0,16800.0,16770.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:42:58Z,ff_hsx_symbol_daily_v1,08e72a61a5d1f24658f979bdea0759348ac1e39ea76cc1e6db9b7cb7d580818f
2013-04-22,NLG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16300.0,16900.0,16300.0,16800.0,16770.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:42:58Z,ff_hsx_symbol_daily_v1,a3d10aafa54611376792ea5c4429abb543ed514b73f579f17dd2c63512398686
2013-04-23,NLG,HOSE,639218000.0,0.0,639218000.0,37630.0,0.0,37630.0,0.0,0.0,0.0,0.0,16900.0,17100.0,16800.0,17100.0,16880.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:42:58Z,ff_hsx_symbol_daily_v1,02a07379182114cd2e6405f910211fbc77ec4ec62ce6073c46ec8071508b337e
