trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2009-01-02,NTL,HOSE,0.0,221052000.0,-221052000.0,0.0,6540.0,-6540.0,0.0,0.0,0.0,0.0,33700.0,33800.0,33400.0,33800.0,33630.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:47:53Z,ff_hsx_symbol_daily_v1,96cd1c6f06e910fa84721fec2c266eb0b8e38780599bb4ff034c7b787824a99f
2009-01-05,NTL,HOSE,170680000.0,0.0,170680000.0,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,34400.0,35400.0,33800.0,35400.0,34590.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:47:53Z,ff_hsx_symbol_daily_v1,92bd3c30fcb7807fa1db541583c44c9bb70530a416e4f85cf49403c2bc6cc551
2009-01-06,NTL,HOSE,29680000.0,18500000.0,11180000.0,800.0,500.0,300.0,0.0,0.0,0.0,0.0,37100.0,37100.0,36800.0,37100.0,37090.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:47:53Z,ff_hsx_symbol_daily_v1,b1f95ddbe43ea42d8effbc56633118f9b7a31c7c8aed0beb9e99630f73c7a15e
2009-01-07,NTL,HOSE,333990000.0,0.0,333990000.0,8800.0,0.0,8800.0,0.0,0.0,0.0,0.0,37100.0,38900.0,37100.0,37600.0,38280.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:47:53Z,ff_hsx_symbol_daily_v1,94b1747ca88c1d9063598f2f88e1ee92be86314b42a40b1833e18946b17d44ec
2009-01-08,NTL,HOSE,693150000.0,37000000.0,656150000.0,18800.0,1000.0,17800.0,0.0,0.0,0.0,0.0,36800.0,37600.0,35900.0,36700.0,36800.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:47:53Z,ff_hsx_symbol_daily_v1,56760f79baea3d546dec7269bf67278b7e7c58b83f3fed9ff6ad5a03091fa9a6
2009-01-09,NTL,HOSE,437184000.0,0.0,437184000.0,11890.0,0.0,11890.0,0.0,0.0,0.0,0.0,36700.0,37500.0,36600.0,37000.0,36830.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:47:53Z,ff_hsx_symbol_daily_v1,38482f6c2513105f579fb282a388c890a220e16e7638c4a603dd6a349629267a
2009-01-12,NTL,HOSE,190980000.0,0.0,190980000.0,5200.0,0.0,5200.0,0.0,0.0,0.0,0.0,36600.0,37700.0,36600.0,36900.0,36770.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:47:53Z,ff_hsx_symbol_daily_v1,8d86621ef06662a99c31c257ee26d5f846024a76afc39cce638a16121f8e68e6
2009-01-13,NTL,HOSE,639655000.0,0.0,639655000.0,17750.0,0.0,17750.0,0.0,0.0,0.0,0.0,36300.0,36500.0,35600.0,35700.0,35950.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:47:53Z,ff_hsx_symbol_daily_v1,34e870bce153775a2bb481e35598b6401bf573984e0ed8cb773d2438620a586e
2009-01-14,NTL,HOSE,392400000.0,0.0,392400000.0,11000.0,0.0,11000.0,0.0,0.0,0.0,0.0,35400.0,36800.0,35200.0,35800.0,35650.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:47:53Z,ff_hsx_symbol_daily_v1,a9f15ec2ec7dad83f2f64c141b8ae7f3356bfe75fed5324ec880b9c28ce96871
2009-01-15,NTL,HOSE,219150000.0,193760000.0,25390000.0,6300.0,5600.0,700.0,0.0,0.0,0.0,0.0,35800.0,35800.0,34500.0,34600.0,34840.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:47:53Z,ff_hsx_symbol_daily_v1,fb532937b9fecd84de95d78c01a05fcbb9888f10d1dc28bc50ea8f3c77b3c7b3
2009-01-16,NTL,HOSE,176246000.0,0.0,176246000.0,5030.0,0.0,5030.0,0.0,0.0,0.0,0.0,35900.0,35900.0,35000.0,35100.0,35020.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:47:53Z,ff_hsx_symbol_daily_v1,d6b954e0ce1a07bc750eab0353b44c4054544c3ae83b42c3dd47154bd5740168
2009-01-19,NTL,HOSE,187700000.0,7455000.0,180245000.0,5360.0,210.0,5150.0,0.0,0.0,0.0,0.0,35500.0,35500.0,35000.0,35000.0,35080.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:47:53Z,ff_hsx_symbol_daily_v1,cafcaffad46a7ecc4ad1643b4c9c4087d5b00c37446ba7c15db579a16809429f
