trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2010-07-30,PDR,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,40000.0,38000.0,39500.0,39580.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:53:58Z,ff_hsx_symbol_daily_v1,df86387f4a80784f0740b8821109d9e2d54280fc87af9f4d5de67149da590629
2010-08-02,PDR,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39500.0,39500.0,39000.0,39300.0,39350.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:53:58Z,ff_hsx_symbol_daily_v1,79257990ebaed37198975ba4370ab6c0b1a0543b49005bb4b9c99b485160f390
2010-08-03,PDR,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39800.0,39800.0,39300.0,39400.0,39480.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:53:58Z,ff_hsx_symbol_daily_v1,32ebc09f839d7673e42a04d74b20b867b85e80839277529ec19ce1001873ffb4
2010-08-04,PDR,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39400.0,39400.0,38500.0,39000.0,39030.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:53:58Z,ff_hsx_symbol_daily_v1,78784ae32dfeb76e4b32bf6c3c2447bdc3b4b378e35ccd980439efddb83333c9
2010-08-05,PDR,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38900.0,38900.0,38200.0,38900.0,38810.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:53:58Z,ff_hsx_symbol_daily_v1,c61009c4cedb9a5d32abe17a3d25d0c8ad95e95de751552c836a1d9b4a755f99
2010-08-06,PDR,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38900.0,38900.0,38500.0,38500.0,38580.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:53:58Z,ff_hsx_symbol_daily_v1,ce16f45c9f3a400cab2460fa6cebfddefb8029f9a0a0846b301994ad8a41b00c
2010-08-09,PDR,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38500.0,38500.0,38000.0,38000.0,38140.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:53:58Z,ff_hsx_symbol_daily_v1,17d1806e10b939ecdeb5b3a20f0331f5d84d94fc7e9c04c02179b4682a8b74af
2010-08-10,PDR,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37100.0,38000.0,37100.0,37900.0,37610.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:53:58Z,ff_hsx_symbol_daily_v1,7d731911bfc62c6cc8615553d3f5202f75cfdbe7d67de0daae01bc708e3e7877
2010-08-11,PDR,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37900.0,37900.0,37700.0,37900.0,37850.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:53:58Z,ff_hsx_symbol_daily_v1,675fc1fe9b9333aa687f17825e7f22f6c26f3da3858f115832e4d28cddbadb1d
2010-08-12,PDR,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37900.0,37900.0,36200.0,36200.0,36950.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:53:58Z,ff_hsx_symbol_daily_v1,0c392650539b7691fe713a3014ad1b6c9573135606a5e3018edb9912f267b113
