trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2009-01-02,PET,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14200.0,14500.0,14200.0,14300.0,14290.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:56:07Z,ff_hsx_symbol_daily_v1,c8645dc35b8f7999395ca2c4dc74008700d163b3f2144aa86df3ca278bf24480
2009-01-05,PET,HOSE,0.0,286000.0,-286000.0,0.0,20.0,-20.0,0.0,0.0,0.0,0.0,14300.0,14300.0,14000.0,14300.0,14190.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:56:07Z,ff_hsx_symbol_daily_v1,16c2be75f365001045edc297701248f48c4ae82c31959cdf7d7d79abe4b335ef
2009-01-06,PET,HOSE,0.0,290000.0,-290000.0,0.0,20.0,-20.0,0.0,0.0,0.0,0.0,14300.0,14600.0,14300.0,14500.0,14450.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:56:07Z,ff_hsx_symbol_daily_v1,b99553b301ff5353d62893280ffa41126fbe5e9ad1cbea3ad091249e04c9316f
2009-01-07,PET,HOSE,74000000.0,146000.0,73854000.0,5000.0,10.0,4990.0,0.0,0.0,0.0,0.0,15000.0,15000.0,14600.0,14800.0,14850.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:56:07Z,ff_hsx_symbol_daily_v1,c2ca6f764de76b0096cc4e682464913901b8206c007045a744affd0b1e86d768
2009-01-08,PET,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14600.0,14700.0,14400.0,14400.0,14510.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:56:07Z,ff_hsx_symbol_daily_v1,042ae81952eb6ffebd388581ebb087ebd355efdd52d4994e9f1e06c194dcbc37
2009-01-09,PET,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14400.0,14500.0,14300.0,14300.0,14350.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:56:07Z,ff_hsx_symbol_daily_v1,ce2abe54e858ad7b1f8b0977e93d08d9984233f327093c21203db2902d45db88
2009-01-12,PET,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14100.0,14300.0,14100.0,14100.0,14180.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:56:07Z,ff_hsx_symbol_daily_v1,16aa069234136f062b23e10b6dbd7335f703f85e5854faf511247e4e5dafdcc4
2009-01-13,PET,HOSE,28200000.0,28100000.0,100000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,14000.0,14200.0,13800.0,13900.0,13940.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:56:07Z,ff_hsx_symbol_daily_v1,0480c334138c960b8c8006f1cc223876f20c60b5c28b5303adddf6d1c9f6efa9
2009-01-14,PET,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13900.0,14100.0,13900.0,14000.0,13970.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:56:07Z,ff_hsx_symbol_daily_v1,d24970e70ad7e2826aeb54e91b117f9cb9d2bb3b78255fc4d3bb28975ed5c6f6
2009-01-15,PET,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,14000.0,13800.0,13800.0,13830.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:56:07Z,ff_hsx_symbol_daily_v1,1001daa291b0a71207e0bdf6e990347a60fbfc3f4633cb5cd3d4fe7b4ebe7452
2009-01-16,PET,HOSE,80203000.0,0.0,80203000.0,5770.0,0.0,5770.0,0.0,0.0,0.0,0.0,13800.0,14000.0,13800.0,13900.0,13850.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:56:07Z,ff_hsx_symbol_daily_v1,bbb07710be72b6e2ce208b69988d47daef0fa6a8a0d215a9d7d401f57efd3650
2009-01-19,PET,HOSE,27600000.0,8896000.0,18704000.0,2000.0,640.0,1360.0,0.0,0.0,0.0,0.0,13900.0,13900.0,13800.0,13800.0,13850.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:56:07Z,ff_hsx_symbol_daily_v1,09cb7bf299d0372969e62e85d8b4d1c64d4d987a3d1103b31d8ed0af85c9b9f3
2009-01-20,PET,HOSE,6165000.0,0.0,6165000.0,450.0,0.0,450.0,0.0,0.0,0.0,0.0,13800.0,13800.0,13600.0,13700.0,13670.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:56:07Z,ff_hsx_symbol_daily_v1,d076f258929b1b4c022e70f4b7384858bbe2cdb12b944dda877ad1af471360f5
2009-01-21,PET,HOSE,0.0,47664000.0,-47664000.0,0.0,3490.0,-3490.0,0.0,0.0,0.0,0.0,13700.0,13700.0,13500.0,13500.0,13600.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:56:07Z,ff_hsx_symbol_daily_v1,f74936c6f805c7289cfffb5aa8fc32b3712e8440ded09353f5988cd42fbd4e4c
