trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2017-04-21,PLX,HOSE,49318638000.0,489000000.0,48829638000.0,978010.0,10000.0,968010.0,0.0,0.0,0.0,0.0,51800.0,51800.0,46000.0,48900.0,49710.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:58:21Z,ff_hsx_symbol_daily_v1,1a977a50348c42a048157fcbcad2fca3524d1200e9e1c485425e4998df0d82e8
2017-04-24,PLX,HOSE,20939819000.0,0.0,20939819000.0,428330.0,0.0,428330.0,0.0,0.0,0.0,0.0,48900.0,49500.0,48000.0,48400.0,48880.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:58:21Z,ff_hsx_symbol_daily_v1,63bd0bf300e6d3b21d6e75af85837ebf23543c29adb13cacf62cc36b63ba2b09
2017-04-25,PLX,HOSE,9856693000.0,0.0,9856693000.0,209650.0,0.0,209650.0,0.0,0.0,0.0,0.0,48100.0,48400.0,45050.0,45150.0,46680.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:58:21Z,ff_hsx_symbol_daily_v1,0b72a9159ecdac7bfca45ae1b73ef29c196a934c978b789f7b6b3e5cffbe1be1
2017-04-26,PLX,HOSE,8269492000.0,241500000.0,8027992000.0,187590.0,5500.0,182090.0,0.0,0.0,0.0,0.0,43100.0,44500.0,43100.0,44100.0,43900.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:58:21Z,ff_hsx_symbol_daily_v1,56cb13e0ac21a4b091a23be25fd7954f2d27acff40c25ba35742d533a22d7a58
2017-04-27,PLX,HOSE,754095000.0,0.0,754095000.0,16500.0,0.0,16500.0,0.0,0.0,0.0,0.0,44100.0,45900.0,44100.0,45900.0,45530.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:58:21Z,ff_hsx_symbol_daily_v1,0a9b1cd2d03019306c2637a7ae237a25ffd8d8820981591ed948e14c5cd5165d
2017-04-28,PLX,HOSE,993960000.0,0.0,993960000.0,21300.0,0.0,21300.0,0.0,0.0,0.0,0.0,46100.0,47000.0,46100.0,46650.0,46660.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:58:21Z,ff_hsx_symbol_daily_v1,132846c7fa29d04fedfad3ce4568152f8522f1eafc27a673347ee292dcd810a9
2017-05-03,PLX,HOSE,1241337000.0,85421000.0,1155916000.0,26610.0,1830.0,24780.0,0.0,0.0,0.0,0.0,46650.0,46800.0,46000.0,46750.0,46630.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:58:21Z,ff_hsx_symbol_daily_v1,efa3039ef508cad136c4085d9f086141b7f543b7db008c64117910370749300d
2017-05-04,PLX,HOSE,68865721000.0,0.0,68865721000.0,1464930.0,0.0,1464930.0,0.0,0.0,0.0,0.0,46750.0,47500.0,46700.0,47500.0,47060.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:58:21Z,ff_hsx_symbol_daily_v1,e98d5b2a927b1ac2eca449abf3071a916f3fd7c29a07520858d74f9bbfaa54f2
2017-05-05,PLX,HOSE,4467837000.0,0.0,4467837000.0,94870.0,0.0,94870.0,0.0,0.0,0.0,0.0,47100.0,47500.0,47000.0,47100.0,47110.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:58:21Z,ff_hsx_symbol_daily_v1,6a01fd3b92043fb63e7e18d488533f0d4dbf8c4398a33950d0278fc57d88c2ec
2017-05-08,PLX,HOSE,17531673000.0,63180000.0,17468493000.0,370280.0,1350.0,368930.0,0.0,0.0,0.0,0.0,47000.0,47500.0,46600.0,47500.0,47080.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:58:21Z,ff_hsx_symbol_daily_v1,ca3f8e0f46e41613455015b8b384fb8cf26db59b349e21cfb447301f4949a6dc
2017-05-09,PLX,HOSE,3020413000.0,12781339000.0,-9760926000.0,64300.0,271980.0,-207680.0,0.0,0.0,0.0,0.0,47500.0,47500.0,46900.0,46900.0,46990.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T03:58:21Z,ff_hsx_symbol_daily_v1,8632429d2d1795f7d5a52a4e596f579ee67b2a771c062848231c9b602d3108c2
