trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2009-03-23,PNJ,HOSE,456000000.0,0.0,456000000.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0,45600.0,45600.0,45600.0,45600.0,45600.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:00:26Z,ff_hsx_symbol_daily_v1,516c6c0119ec73b88608ff752367d550f5301d68bad525023683619e0953be0b
2009-03-24,PNJ,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47800.0,47800.0,47800.0,47800.0,47800.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:00:26Z,ff_hsx_symbol_daily_v1,c036933e20e8bc82e723a07ccaa8dd4d8996e6682d9c5f44a6cb258be2ee2f78
2009-03-25,PNJ,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,50000.0,50000.0,50000.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:00:26Z,ff_hsx_symbol_daily_v1,cba3f96dfacd91631936e4a04e094d5c081ef5ac88712fe8da085288ac7070d7
2009-03-26,PNJ,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52500.0,52500.0,52500.0,52500.0,52500.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:00:26Z,ff_hsx_symbol_daily_v1,06e3011e826e0487b94c243a54a83e5d463cf057188111bb6151ddeaaae96e1a
2009-03-27,PNJ,HOSE,2009150000.0,2750000000.0,-740850000.0,36530.0,50000.0,-13470.0,0.0,0.0,0.0,0.0,55000.0,55000.0,54500.0,55000.0,54990.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:00:26Z,ff_hsx_symbol_daily_v1,0c4ae276e15fbb70e3aed83df0a99df56b7698e70eeab8cba4208f9bc935bb64
2009-03-30,PNJ,HOSE,61050000.0,0.0,61050000.0,1110.0,0.0,1110.0,0.0,0.0,0.0,0.0,55000.0,56000.0,52500.0,52500.0,54320.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:00:26Z,ff_hsx_symbol_daily_v1,0a9eafdf498d6e67324b2101d0840b75031e2b34b31c8216b25b93a87ff04191
2009-03-31,PNJ,HOSE,104790000.0,0.0,104790000.0,2100.0,0.0,2100.0,0.0,0.0,0.0,0.0,49900.0,50500.0,49900.0,49900.0,49910.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:00:26Z,ff_hsx_symbol_daily_v1,f0bd3ca64e43cf63341ed01d2aae9ff36a2d1c928263f25fb1ea378fd2f9d3a6
2009-04-01,PNJ,HOSE,26047000.0,0.0,26047000.0,530.0,0.0,530.0,0.0,0.0,0.0,0.0,49900.0,52000.0,48800.0,52000.0,50060.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:00:26Z,ff_hsx_symbol_daily_v1,eb71458eea6d3fd1de733a579597c65f52d1872f6b922c9ac5644325dac3b2f5
2009-04-02,PNJ,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52500.0,53000.0,50000.0,52000.0,52020.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:00:26Z,ff_hsx_symbol_daily_v1,e8586354c8ed73495d659e2c4377c4eb7b9b29c1bfeebfe9fab2a76916f8e901
2009-04-03,PNJ,HOSE,5200000.0,0.0,5200000.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,52000.0,52500.0,50500.0,51000.0,51690.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:00:26Z,ff_hsx_symbol_daily_v1,3ec93dc9533f238202fd584f09651ef8bc7825f195d3147eb02440960098f7ca
