trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2011-07-22,PTB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000.0,16000.0,16000.0,16000.0,16000.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:06:44Z,ff_hsx_symbol_daily_v1,e3f85dbde93342dc84f39bbb808570f0cbdaf7b21d7d41bbd7e78da1cc6c1b78
2011-07-25,PTB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15200.0,15200.0,15200.0,15200.0,15200.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:06:44Z,ff_hsx_symbol_daily_v1,6a9f2342146620239c01d8ed2058c787e1d41a2ffffe2c667f73b3f328819c15
2011-07-26,PTB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14500.0,14500.0,14500.0,14500.0,14500.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:06:44Z,ff_hsx_symbol_daily_v1,1406a1308973d2c08f4516ddb3da55d7cd21038e78f09e82492c7ccc4ae047c5
2011-07-27,PTB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13800.0,14500.0,13800.0,14500.0,13810.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:06:44Z,ff_hsx_symbol_daily_v1,a99854ee47573feb1c76979af532f80cd360d47d9cdfa573c9fd792b1a1e9867
2011-07-28,PTB,HOSE,145000.0,0.0,145000.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,14500.0,15000.0,14500.0,14700.0,14800.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:06:44Z,ff_hsx_symbol_daily_v1,1ee748f99a1f198077083f9f56104a1677a63fcaf4b33a5d696801dc12f13f5b
2011-07-29,PTB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14400.0,14700.0,14300.0,14700.0,14470.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:06:44Z,ff_hsx_symbol_daily_v1,1ba9ed7dfec0e13107707dc00823724a3b7a27b482ed685d03dd44e601b656a8
2011-08-01,PTB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14600.0,14600.0,14000.0,14000.0,14140.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:06:44Z,ff_hsx_symbol_daily_v1,76575ab426bff9ec31eece5d43dc1ebb5650387b8008311fa9ca9745ee4e9842
2011-08-02,PTB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13500.0,13500.0,13300.0,13300.0,13310.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:06:44Z,ff_hsx_symbol_daily_v1,4d918080945297b0da43fbb8ea7b8f752e2a1462ceb4a91c070aebdaa1614482
2011-08-03,PTB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13900.0,13900.0,13900.0,13900.0,13900.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:06:44Z,ff_hsx_symbol_daily_v1,feeb5023be1bc769868144fa5deae844f871960801796cf22c37ff7788857bc3
2011-08-04,PTB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14400.0,14500.0,14000.0,14500.0,14390.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:06:44Z,ff_hsx_symbol_daily_v1,9b569f2df149a3a4b27123bb2a87ac3a989be7c2e2abf1fbd683a9c0db968bee
2011-08-05,PTB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14200.0,15000.0,14200.0,14600.0,14410.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:06:44Z,ff_hsx_symbol_daily_v1,ca1b2275a663a6d0382a9adc607b2a39e88c6a274406702d5f6652a8e5ff42ea
2011-08-08,PTB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,14500.0,14000.0,14000.0,14050.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:06:44Z,ff_hsx_symbol_daily_v1,237dd777dbd3d465f879428cf2641c15c17d9c6fcd0a4665159a27972198b883
2011-08-09,PTB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13500.0,14200.0,13500.0,14200.0,13940.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:06:44Z,ff_hsx_symbol_daily_v1,15eabb0686536597a8bb0fee17ad05a853fe725ff2f1a23acda30702ffc41598
2011-08-10,PTB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13600.0,14200.0,13600.0,14200.0,14190.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:06:44Z,ff_hsx_symbol_daily_v1,8eb431467635629a7f6aea12a3ba6e228ae91d24acceddc7f5b9454861457cb2
2011-08-11,PTB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14200.0,14200.0,14200.0,14200.0,14200.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:06:44Z,ff_hsx_symbol_daily_v1,d1f159ba178a130145186ea6b0de8a92d3a8f0f83f351215e7be3407d61517c7
