trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2009-01-02,PVT,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16700.0,16900.0,16600.0,16700.0,16700.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,035ae44b901cf7d2823272e4f8ffe1023a2367b44ce5b26f7712cdee4e1b3691
2009-01-05,PVT,HOSE,83500000.0,0.0,83500000.0,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,16700.0,16800.0,16500.0,16700.0,16640.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,cf90772089f00e69cfd2f838ab2161449606dc48fe0f3e25bb8cf8a07e358011
2009-01-06,PVT,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17000.0,17000.0,16700.0,16900.0,16870.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,d86f768db4702e783c1e7a611f10783a60022d9348b272681a3b3c30a07c5c27
2009-01-07,PVT,HOSE,1089150000.0,0.0,1089150000.0,62870.0,0.0,62870.0,0.0,0.0,0.0,0.0,17300.0,17500.0,17000.0,17100.0,17310.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,a50be82edcec93edadf5607d0c3092401319f9c01abbc58f19bcb5425755fc3d
2009-01-08,PVT,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17000.0,17000.0,16700.0,16900.0,16890.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,c120f0122b3430787792082742cf00ef07b003832d0318f1e1d41f92b737e80a
2009-01-09,PVT,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17000.0,17000.0,16700.0,16800.0,16830.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,ee8ac9f191460b485629ae64e2c0d78f606cd92ad962a77128fb7fa9c3db7795
2009-01-12,PVT,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16500.0,16600.0,16200.0,16400.0,16390.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,ddb2e9bca5fede1c9d0b792e3b1e9b7f2d77968e48243668f1af64311134b99c
2009-01-13,PVT,HOSE,0.0,56445000.0,-56445000.0,0.0,3550.0,-3550.0,0.0,0.0,0.0,0.0,15900.0,16000.0,15700.0,15800.0,15850.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,e1d1f2f2f98d6b0660fa9054147d1a5361a9d041676afc4260644f4cf5de3f1f
2009-01-14,PVT,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15800.0,16500.0,15800.0,16200.0,16020.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,fe3c5fe78d744a0aca235dedb5827e862b21f151369b8467cd37afb69fcfaaac
2009-01-15,PVT,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15900.0,16100.0,15800.0,15900.0,15950.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,6bf8cd28ddcaecc0316b1b405846447443194c6dde17673544f973cbb663b560
2009-01-16,PVT,HOSE,276642000.0,0.0,276642000.0,17220.0,0.0,17220.0,0.0,0.0,0.0,0.0,16000.0,16100.0,15900.0,16100.0,16040.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,afb3fce729252329df7de302e64c63af03d25bd95e4c46c8e3e734e5b80edb0d
2009-01-19,PVT,HOSE,0.0,30687000.0,-30687000.0,0.0,1930.0,-1930.0,0.0,0.0,0.0,0.0,15900.0,16000.0,15900.0,16000.0,15940.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,dac38cd2af7a53c958cd07a29964beaf08905214cc4ed3d9e08f9b72cb045f71
2009-01-20,PVT,HOSE,0.0,22910000.0,-22910000.0,0.0,1450.0,-1450.0,0.0,0.0,0.0,0.0,16100.0,16100.0,15800.0,15800.0,15960.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,5a4a646b49172b260b9b6beb8c62cfa5b2c082554f8e004564b54713f60ab3db
2009-01-21,PVT,HOSE,0.0,91282000.0,-91282000.0,0.0,5790.0,-5790.0,0.0,0.0,0.0,0.0,15600.0,15800.0,15600.0,15800.0,15700.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,811ba132d3ce1c98653dea059b740bf209a3edf9a779382ba4e7efd01d1c49ad
2009-01-22,PVT,HOSE,1590000.0,7290000.0,-5700000.0,100.0,450.0,-350.0,0.0,0.0,0.0,0.0,15900.0,16200.0,15800.0,16200.0,16050.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,bb8e0514bf501f1d8b4e2888d7df3d5bfa2cef67dbd0ecfbae9c7e3dfc2757cd
2009-01-23,PVT,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16200.0,16200.0,16000.0,16200.0,16170.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,3239a8ed13c8819a169d7ea6f5d7d2b116756b84b6c9e4782b9340b1d983a071
2009-02-02,PVT,HOSE,12960000.0,0.0,12960000.0,800.0,0.0,800.0,0.0,0.0,0.0,0.0,16200.0,16200.0,15700.0,15700.0,15960.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,294a0f1510f9c75e6bff2a61d601d33cb4dbaa864124f81cf42a57ab5aed217d
2009-02-03,PVT,HOSE,806648000.0,0.0,806648000.0,52200.0,0.0,52200.0,0.0,0.0,0.0,0.0,15600.0,15600.0,15200.0,15400.0,15420.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,9b8ac49cc208f4ea6fc5a0cf4f5112f09cda9e37438abf1003358517e804d5f3
2009-02-04,PVT,HOSE,47374000.0,0.0,47374000.0,3040.0,0.0,3040.0,0.0,0.0,0.0,0.0,15600.0,15800.0,15400.0,15400.0,15530.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,fa36c27b3fa8ad9c0ac0317de2dc1fd6eda812e98a2082425558ed5862620e81
2009-02-05,PVT,HOSE,108888000.0,0.0,108888000.0,7220.0,0.0,7220.0,0.0,0.0,0.0,0.0,15400.0,15700.0,14700.0,14700.0,14910.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,5379eca04f8a5110069187246b55149c77def97a194fb1554466d258343b89e9
2009-02-06,PVT,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14700.0,15200.0,14700.0,15200.0,14920.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,759c770a9982254dfb90b7c89368c8d21e6e4941deaef4f668c165f4c478d0a9
2009-02-09,PVT,HOSE,195740000.0,0.0,195740000.0,12500.0,0.0,12500.0,0.0,0.0,0.0,0.0,15700.0,15900.0,15400.0,15900.0,15760.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,6d5830314e9796e5a1d6618f065d94e4b3a405717b394f0a117ae995b45a34ad
2009-02-10,PVT,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15700.0,15700.0,15300.0,15700.0,15520.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,f810c1e7294f2c701eadd9df6e290e07deb07fdacb9bde7b71da51a76a2caab7
2009-02-11,PVT,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15300.0,15500.0,15100.0,15400.0,15270.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,46b5469131549d93f4e38b945b34e2581ef127927bcce1267d99c04c41724188
2009-02-12,PVT,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,15500.0,15200.0,15200.0,15310.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,c1f693cf643b0ed085051e845d395964f5b19c08fa5d2175460267e273dfc55c
2009-02-13,PVT,HOSE,0.0,164409000.0,-164409000.0,0.0,10800.0,-10800.0,0.0,0.0,0.0,0.0,15100.0,15400.0,15100.0,15200.0,15260.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,c378c826165c623af7a9ebbde6996198a47cdba8c81a8d087dc3571ee04f9aa1
2009-02-16,PVT,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15500.0,15500.0,15000.0,15100.0,15080.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,7578212c24e1c4b1b5bd5501907b7594ccee30a93f44b75f219902039ca3df41
2009-02-17,PVT,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14800.0,14800.0,14400.0,14500.0,14500.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,4bf35814b1180dabf2f5213a9d26539a1da09a575da9f4895814c0986d92ad65
2009-02-18,PVT,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14100.0,14200.0,13800.0,14100.0,13930.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,d482c71b1153da0beb0c1fb342ff7a97c8ca8d5ef8a121cb6ad95d9e7a966b65
2009-02-19,PVT,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14100.0,14500.0,13700.0,13800.0,13890.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,e439cf6ad61666dbf59a29b2187365d9c8fc84a31ad6431833e7198350662764
2009-02-20,PVT,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13800.0,13900.0,13600.0,13800.0,13790.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,df32a984a9c99ba8c10dec102d6d6df330a85f83fbb723350e703beddddb0b54
2009-02-23,PVT,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13600.0,13800.0,13200.0,13200.0,13230.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,4c26c434d5a6b2c1e94549ca8ad95c2dd844aa6f3b7e50f3bef027b0d69d8ae9
2009-02-24,PVT,HOSE,63500000.0,0.0,63500000.0,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,12700.0,12700.0,12600.0,12600.0,12620.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,5340a8db30d96fd7521d9150ec959429cbbacba76e56c2a6d13aae20df4d1b55
2009-02-25,PVT,HOSE,66000000.0,0.0,66000000.0,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,13200.0,13200.0,13100.0,13200.0,13190.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,5f4753269710078d21bfc6b4f89ea0bf3b934284a36eb34303b714323eb2ebe2
2009-02-26,PVT,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13200.0,13200.0,12600.0,12800.0,12880.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,c90b64352d9a40b13922527fbe88586e563effda97b87f87b9d7e070f73d89d7
2009-02-27,PVT,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12700.0,13200.0,12700.0,13000.0,12940.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,0707f98724186b1f86c1430ee1951576db8c380ee9c7fe9486b1e70dd50ba040
2009-03-02,PVT,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12700.0,13200.0,12700.0,13000.0,12980.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,bdd82c1c3dad5745730bee9ba34e933b7d04df9afe0e8b45cc8010a35f1646ac
2009-03-03,PVT,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12800.0,12800.0,12700.0,12700.0,12710.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,06914cd8c73c4084f331fcc5fae5eba68abf16f3ad4d933bae90ca7f3fe2d038
2009-03-04,PVT,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12600.0,12900.0,12500.0,12700.0,12660.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,dc4c6ad64f62af007dc0edf6ef2a3a1fd6db9eb414143636d1573a0479b2836b
2009-03-05,PVT,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13000.0,13000.0,12800.0,12900.0,12920.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,432ae015c8fb0ecb5d9a21e143754a2c88a2daabd26d7a909d069759e569412b
2009-03-06,PVT,HOSE,630815000.0,0.0,630815000.0,50050.0,0.0,50050.0,0.0,0.0,0.0,0.0,12300.0,12900.0,12300.0,12700.0,12530.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,dba3390b178db381a0d9058ad2ea3972c21893991676eaac80388071387ef4b6
2009-03-09,PVT,HOSE,2018558000.0,1849100000.0,169458000.0,153500.0,140000.0,13500.0,0.0,0.0,0.0,0.0,12700.0,13300.0,12700.0,13300.0,13210.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,29b62416b9256eb711ae5715bf193469227c0f0c5112a01bc30a4e885ddd7087
2009-03-10,PVT,HOSE,65469000.0,111200000.0,-45731000.0,4710.0,8000.0,-3290.0,0.0,0.0,0.0,0.0,13900.0,13900.0,13600.0,13900.0,13870.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,82f614a9f93dc7d9d844c82a659fddb48964188b4f3f0b504b770ae57c314029
2009-03-11,PVT,HOSE,289855000.0,7250000.0,282605000.0,19990.0,500.0,19490.0,0.0,0.0,0.0,0.0,14500.0,14500.0,14300.0,14500.0,14490.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,777deca6129818ccb67ba4eac8741e75ef3c83709e03644271801d1f6895c0bc
2009-03-12,PVT,HOSE,454200000.0,1853716000.0,-1399516000.0,32800.0,134320.0,-101520.0,0.0,0.0,0.0,0.0,14000.0,14500.0,13800.0,13800.0,14030.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:12:30Z,ff_hsx_symbol_daily_v1,509f2e9bcaf8761dc76735d7d0d1a6ea99da8ff3a234519c489cd74a0e087329
