trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2009-01-02,REE,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20900.0,21200.0,20900.0,20900.0,20940.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:15:01Z,ff_hsx_symbol_daily_v1,4dc61eab9968497dd2e40ead070993561e0ab0d32251f2804151af5b7316a341
2009-01-05,REE,HOSE,2076508000.0,0.0,2076508000.0,98360.0,0.0,98360.0,0.0,0.0,0.0,0.0,21000.0,21500.0,21000.0,21400.0,21210.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:15:01Z,ff_hsx_symbol_daily_v1,4471aed0d0b425d33d5452f514e5dd5b45017aec5c52310419abe5fc30bbfd3d
2009-01-06,REE,HOSE,2522919000.0,0.0,2522919000.0,113490.0,0.0,113490.0,0.0,0.0,0.0,0.0,22000.0,22400.0,21900.0,22400.0,22260.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:15:01Z,ff_hsx_symbol_daily_v1,dcc7a31d6cc2e1c87c0740efd83a0ac432287055d4ce574986aa0d7a8887d05d
2009-01-07,REE,HOSE,1017785000.0,63450000.0,954335000.0,43310.0,2700.0,40610.0,0.0,0.0,0.0,0.0,23500.0,23500.0,23500.0,23500.0,23500.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:15:01Z,ff_hsx_symbol_daily_v1,cd2590438eb175777084494c2046fe80cb09f907af5e439047e121c10b555ce3
2009-01-08,REE,HOSE,2556148000.0,1700828000.0,855320000.0,112200.0,75830.0,36370.0,1653120000.0,1653120000.0,73800.0,73800.0,23600.0,24600.0,23200.0,23600.0,23890.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:15:01Z,ff_hsx_symbol_daily_v1,ef07a42fac91ed54834a546d03cbcb10a9ebddfa2234eba49d687cbbfd051692
2009-01-09,REE,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23600.0,23700.0,22800.0,23000.0,23330.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:15:01Z,ff_hsx_symbol_daily_v1,8a211521a253c9a381b0ea4ae1c91f3c2c723a42302b07ebe84f05d6da62c4e9
2009-01-12,REE,HOSE,116540000.0,242816000.0,-126276000.0,5200.0,10840.0,-5640.0,0.0,0.0,0.0,0.0,22700.0,22700.0,22300.0,22400.0,22480.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:15:01Z,ff_hsx_symbol_daily_v1,b2e510ccf4591942d6f098427e5c591e61d7bc219de20fe81c2915f752ae65e2
2009-01-13,REE,HOSE,1153615000.0,0.0,1153615000.0,52850.0,0.0,52850.0,0.0,0.0,0.0,0.0,21900.0,22100.0,21700.0,21800.0,21870.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:15:01Z,ff_hsx_symbol_daily_v1,80a82702707be1d2706c677740f30b417eb745114dafafba96cdc5caf1b40312
2009-01-14,REE,HOSE,439655000.0,400374000.0,39281000.0,20000.0,17910.0,2090.0,0.0,0.0,0.0,0.0,22400.0,22700.0,21300.0,21800.0,21930.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:15:01Z,ff_hsx_symbol_daily_v1,c080fd165a9db23d01307c2a91dfdbf5aaf9a8072c9e52fa124f0c6e2687ae97
2009-01-15,REE,HOSE,432000000.0,60480000.0,371520000.0,20000.0,2800.0,17200.0,0.0,0.0,0.0,0.0,21500.0,21700.0,21400.0,21600.0,21540.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:15:01Z,ff_hsx_symbol_daily_v1,4e7cfd988924b073cbb5aec3ca9b4e217bb0758cdf39ffcb976a92b208524493
2009-01-16,REE,HOSE,4796000.0,0.0,4796000.0,220.0,0.0,220.0,0.0,0.0,0.0,0.0,21900.0,22000.0,21500.0,21700.0,21730.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:15:01Z,ff_hsx_symbol_daily_v1,a21693829acdc0e43663c05cd5ba32077322971f844d734e11d24e7dcec4081e
2009-01-19,REE,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21600.0,21800.0,21500.0,21700.0,21650.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:15:01Z,ff_hsx_symbol_daily_v1,60aad4e531a8309557aaa9b8a1f3e5911d18c62d7aba979d32a91dc145597467
2009-01-20,REE,HOSE,1245000000.0,0.0,1245000000.0,58000.0,0.0,58000.0,0.0,0.0,0.0,0.0,21500.0,21600.0,21400.0,21400.0,21480.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:15:01Z,ff_hsx_symbol_daily_v1,735c4b9dac133ae5599eb597a152b05e846a3ec890716ffb5df91bdd588b689b
2009-01-21,REE,HOSE,591194000.0,0.0,591194000.0,27500.0,0.0,27500.0,0.0,0.0,0.0,0.0,21500.0,21600.0,21400.0,21500.0,21500.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:15:01Z,ff_hsx_symbol_daily_v1,daa5f4d9fcf90f21272fa5595ee744f7a53eb3bf0c9d170a5215bb32ce5cc9b3
2009-01-22,REE,HOSE,21700000.0,0.0,21700000.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,21700.0,21800.0,21600.0,21700.0,21660.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:15:01Z,ff_hsx_symbol_daily_v1,133db72b434b4811fb631451ff52db05d4fd08c177c1cc74ee940321e680528f
2009-01-23,REE,HOSE,4340000.0,0.0,4340000.0,200.0,0.0,200.0,0.0,0.0,0.0,0.0,21700.0,22300.0,21700.0,22000.0,22000.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:15:01Z,ff_hsx_symbol_daily_v1,c87a6018277dea383efcbb4a8ee23b51653c3fba161070f0107617b91e5c27d3
2009-02-02,REE,HOSE,0.0,8820000.0,-8820000.0,0.0,420.0,-420.0,0.0,0.0,0.0,0.0,21600.0,21700.0,21000.0,21000.0,21170.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:15:01Z,ff_hsx_symbol_daily_v1,0cb66f78cdb8505bb7ffb057377c3e9ed73d4581ea8681c8a1d41346c1f19c2d
2009-02-03,REE,HOSE,1425675000.0,392412000.0,1033263000.0,70150.0,19410.0,50740.0,0.0,0.0,0.0,0.0,20500.0,20600.0,20100.0,20200.0,20280.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:15:01Z,ff_hsx_symbol_daily_v1,823719d9fb0bb3bdd578cc73c1bd91d70fc49d4ab910713927ffb697d7acd4f8
2009-02-04,REE,HOSE,320120000.0,2050000.0,318070000.0,15640.0,100.0,15540.0,0.0,0.0,0.0,0.0,20500.0,20800.0,20000.0,20400.0,20460.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:15:01Z,ff_hsx_symbol_daily_v1,c382cdd62f31513801f541255a5a82a3f1def82f8f60f72f0b1d34dd0950f69f
2009-02-05,REE,HOSE,3249077000.0,0.0,3249077000.0,162190.0,0.0,162190.0,0.0,0.0,0.0,0.0,20400.0,20400.0,19900.0,20000.0,20040.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:15:01Z,ff_hsx_symbol_daily_v1,bf8b8773f2a9d45e581a685c39a4bd072c096fa1d9f65f5f2fd6e441668794cc
2009-02-06,REE,HOSE,1778256000.0,0.0,1778256000.0,87000.0,0.0,87000.0,0.0,0.0,0.0,0.0,20400.0,20800.0,20000.0,20800.0,20470.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:15:01Z,ff_hsx_symbol_daily_v1,5b5429f1b1beecf5996b2320e0c2d7d3979b320fca3a1124d7be70fe7ee38188
2009-02-09,REE,HOSE,1169045000.0,29520000.0,1139525000.0,55050.0,1400.0,53650.0,0.0,0.0,0.0,0.0,21000.0,21600.0,20900.0,21600.0,21240.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:15:01Z,ff_hsx_symbol_daily_v1,4ad82f4ae74497133970580c4f53838bb211f8d32f7c05eb48c7c971cb4cfacc
2009-02-10,REE,HOSE,2216148000.0,350200000.0,1865948000.0,107580.0,17000.0,90580.0,0.0,0.0,0.0,0.0,20600.0,20600.0,20600.0,20600.0,20600.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:15:01Z,ff_hsx_symbol_daily_v1,c81f807cffba36c05d6d79639e5795509c41925d7c908973461859228865b81b
