trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2019-01-15,SZC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,15000.0,11000.0,11000.0,13280.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:24:57Z,ff_hsx_symbol_daily_v1,682c2dda5c745fd978fb7f61855e3a4bf866542837ca5e52f53ed667c167491d
2019-01-16,SZC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11000.0,11750.0,11000.0,11750.0,11430.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:24:57Z,ff_hsx_symbol_daily_v1,f8daaeb8c4936ae7f4d11a1b031b714a42e24f6ab4710c1fa62b7d8edf68dc63
2019-01-17,SZC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12550.0,12550.0,12550.0,12550.0,12550.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:24:57Z,ff_hsx_symbol_daily_v1,4e460c22665e152fd72764c6c4b49035df756344086dd6cc74fa6af5adc4cd2b
2019-01-18,SZC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13100.0,13200.0,12550.0,12550.0,12920.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:24:57Z,ff_hsx_symbol_daily_v1,185e145f228fa3c64099f5f3bf15522cf77c91af4f5ac283d9367de144011e07
2019-01-21,SZC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12550.0,12550.0,11900.0,11900.0,12160.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:24:57Z,ff_hsx_symbol_daily_v1,ab65a1e8efa017668dc9f472ec0fee178ea1020051583139d8991d60888eecd3
2019-01-22,SZC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11600.0,11600.0,11200.0,11200.0,11350.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:24:57Z,ff_hsx_symbol_daily_v1,929ae0f1ab7c485be15003318a3eedfa3a5d76e8ceefa025e3dd3ceed9ec523c
2019-01-23,SZC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11000.0,11200.0,11000.0,11000.0,11030.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:24:57Z,ff_hsx_symbol_daily_v1,df2902aecba624d48cf9d851882674e2b96e053b0da2a76047747daa200298f8
2019-01-24,SZC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11000.0,11500.0,10900.0,10900.0,11000.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:24:57Z,ff_hsx_symbol_daily_v1,90c76b77b075c374d31a9c8f8ca8d9c858008b27fec467cb535dedd42df2094a
2019-01-25,SZC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10800.0,11000.0,10700.0,10900.0,10830.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:24:57Z,ff_hsx_symbol_daily_v1,7599a0b359146007b38c621fd384006b4e44f862e601d7a2d1aa64104d614430
2019-01-28,SZC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11000.0,11000.0,10500.0,10500.0,10620.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:24:57Z,ff_hsx_symbol_daily_v1,6f9b3fae0c7ecad490bb07536480d4fb50f313e37dfa42764c7b3b4c861d5351
