trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2018-06-04,TCB,HOSE,0.0,1024000000.0,-1024000000.0,0.0,10000.0,-10000.0,0.0,0.0,0.0,0.0,102400.0,105000.0,102400.0,102400.0,102490.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:25:44Z,ff_hsx_symbol_daily_v1,cb8cc80d6e69a86e9cde8604c29093a8fd0193e0c2f1add752115923ac7f2e2b
2018-06-05,TCB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99100.0,106000.0,96000.0,96000.0,100190.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:25:44Z,ff_hsx_symbol_daily_v1,3974251e3c897a47b497e8e513249f6a65f233c74758cbad7d1a110876e9eb8f
2018-06-06,TCB,HOSE,8339240000.0,8949934000.0,-610694000.0,81200.0,87630.0,-6430.0,8339240000.0,8339240000.0,81200.0,81200.0,95000.0,96000.0,91000.0,92000.0,92980.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:25:44Z,ff_hsx_symbol_daily_v1,d8c14d589134cfcda49fab859500c9ff400136a9370ce1893b1b5027ca5e62d9
2018-06-07,TCB,HOSE,7833000000.0,7060800000.0,772200000.0,80000.0,71800.0,8200.0,6888000000.0,6888000000.0,70000.0,70000.0,94500.0,98400.0,93100.0,98400.0,97000.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:25:44Z,ff_hsx_symbol_daily_v1,961524e9abc0c66a7afd9c3590b129c2a3b455b666fe49ea4e89fa9491a35635
2018-06-08,TCB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101000.0,105200.0,99500.0,105200.0,103830.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:25:44Z,ff_hsx_symbol_daily_v1,c5fb9e403b8ba51354f94d206c1aa007c0eca815f5fb72b2e16f5d83afc12cce
2018-06-11,TCB,HOSE,673864000.0,0.0,673864000.0,6430.0,0.0,6430.0,0.0,0.0,0.0,0.0,104800.0,109000.0,103200.0,109000.0,106710.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:25:44Z,ff_hsx_symbol_daily_v1,e224da8725b79fb3d88c674cbf0e1fa176d4e73bdd8f21aacec6ab8d99a846dd
2018-06-12,TCB,HOSE,5383100000.0,7051540000.0,-1668440000.0,46300.0,62300.0,-16000.0,5188700000.0,5188700000.0,44500.0,44500.0,108000.0,108000.0,102900.0,105000.0,104930.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:25:44Z,ff_hsx_symbol_daily_v1,dfdb73e4b1cedae566a9416a1f5cd7e0ebdded597cc2ae33f4bcd1a0af973b93
2018-06-13,TCB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105000.0,108000.0,104500.0,105400.0,105390.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:25:44Z,ff_hsx_symbol_daily_v1,f29f59efd7ddb7f6232973dac8a24fe15aa3b3d8f284e4f90892582e3a55bf0b
2018-06-14,TCB,HOSE,19722500000.0,19722500000.0,0.0,175000.0,175000.0,0.0,19722500000.0,19722500000.0,175000.0,175000.0,106500.0,106500.0,103500.0,105000.0,105030.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:25:44Z,ff_hsx_symbol_daily_v1,7075613658fb6abd8d8645effb6029ef356ecc87cabe7ef01d4f4a012978d2e9
2018-06-15,TCB,HOSE,208001517900.0,206123617900.0,1877900000.0,1853273.0,1835473.0,17800.0,206123617900.0,206123617900.0,1835473.0,1835473.0,105500.0,105500.0,103500.0,105200.0,104840.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:25:44Z,ff_hsx_symbol_daily_v1,8e7cf5b38def63dfd09f11c77baea94ac8930a51b3b2bb98d15a4e308a4289f0
2018-06-18,TCB,HOSE,37606500000.0,37606500000.0,0.0,334280.0,334280.0,0.0,37606500000.0,37606500000.0,334280.0,334280.0,104100.0,105000.0,98000.0,100000.0,101890.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:25:44Z,ff_hsx_symbol_daily_v1,1c15c75c9b06c8734952011733a2c3b0515aadbff308f4faa54f6655827c8a52
2018-06-19,TCB,HOSE,225663000000.0,225663000000.0,0.0,2109000.0,2109000.0,0.0,225663000000.0,225663000000.0,2109000.0,2109000.0,95100.0,97000.0,93000.0,95000.0,93620.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:25:44Z,ff_hsx_symbol_daily_v1,60e9a3b683a3bdc51eb990008e9595299bad13861df7a17ccdcc76c9b65db529
2018-06-20,TCB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95000.0,96500.0,93100.0,95200.0,95040.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:25:44Z,ff_hsx_symbol_daily_v1,4f17c6754efce27b38e7f673c53e5d1b7144c9bed548b085b42728044a6f3715
2018-06-21,TCB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95400.0,95400.0,93300.0,95200.0,94290.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:25:44Z,ff_hsx_symbol_daily_v1,df9d31ecf11f20f4c6fe7965911dfb18c291ea05537e7f6a4fc7ed00b28b9490
2018-06-22,TCB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95100.0,95100.0,93600.0,95000.0,94330.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:25:44Z,ff_hsx_symbol_daily_v1,5ef319160378ecebb3142287565a1cca55bd9ed45657b203eac6ea73f96b9111
