trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2016-10-05,TCH,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,18000.0,18000.0,18000.0,18000.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:26:47Z,ff_hsx_symbol_daily_v1,8a5fdbc3fabb30b0a35bfb2bbae3a5dee653f54203c9218799ffcee31164766c
2016-10-06,TCH,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19250.0,19250.0,19250.0,19250.0,19250.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:26:47Z,ff_hsx_symbol_daily_v1,f1f1a9039908f0825eda6abf506ed47513e4da4a7e368e4546e6633e231a9031
2016-10-07,TCH,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20550.0,20550.0,20550.0,20550.0,20550.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:26:47Z,ff_hsx_symbol_daily_v1,8786d2a227772126f58237cfe3218b23793ba6ec9c6dcf0917b218b3bd3cf288
2016-10-10,TCH,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21950.0,21950.0,21950.0,21950.0,21950.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:26:47Z,ff_hsx_symbol_daily_v1,0b8287f1f1b7335fdcd3654f190bd2540fdb9e05af52111981046cbd89a63c64
2016-10-11,TCH,HOSE,445550000.0,0.0,445550000.0,19000.0,0.0,19000.0,0.0,0.0,0.0,0.0,23450.0,23450.0,23450.0,23450.0,23450.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:26:47Z,ff_hsx_symbol_daily_v1,8b13b02459fc8d283bd6887b56fe88bee83ce3a3973d156dcccb426963670454
2016-10-12,TCH,HOSE,175350000.0,0.0,175350000.0,7000.0,0.0,7000.0,0.0,0.0,0.0,0.0,25050.0,25050.0,25050.0,25050.0,25050.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:26:47Z,ff_hsx_symbol_daily_v1,0f1f4225aea51fc59a89821ec3f866d33945f208b923f13229d42a1cdcbafc4b
2016-10-13,TCH,HOSE,806680000.0,0.0,806680000.0,30100.0,0.0,30100.0,0.0,0.0,0.0,0.0,26800.0,26800.0,26750.0,26800.0,26800.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:26:47Z,ff_hsx_symbol_daily_v1,461fc1def00fe9c589bef2ccd6279fc3023f4b168e60dc09432581d6501d818e
2016-10-14,TCH,HOSE,371700000.0,0.0,371700000.0,13000.0,0.0,13000.0,0.0,0.0,0.0,0.0,28500.0,28650.0,28000.0,28650.0,28600.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:26:47Z,ff_hsx_symbol_daily_v1,d96d08c9ef388be62b5eb13f923b8dcc1e5807038e1edaa6bf209fcafee27a47
2016-10-17,TCH,HOSE,349078500.0,122400000.0,226678500.0,11390.0,4000.0,7390.0,0.0,0.0,0.0,0.0,30600.0,30650.0,30400.0,30650.0,30650.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:26:47Z,ff_hsx_symbol_daily_v1,9281b7f3a92aa48e8f3005efe4c5373a0761e132ecfa67ec79b60225f3f1b4b3
2016-10-18,TCH,HOSE,460037500.0,0.0,460037500.0,14050.0,0.0,14050.0,0.0,0.0,0.0,0.0,32750.0,32750.0,32700.0,32750.0,32750.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:26:47Z,ff_hsx_symbol_daily_v1,bb87d159df377324c8fbc96214776b674890e6e101f4cc5dda0678294e101bf7
