trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2015-01-15,TVS,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13300.0,17500.0,13300.0,15500.0,14580.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:31:16Z,ff_hsx_symbol_daily_v1,27277fb5727df6c6dd263f96d2ebf4c85c65493685a01865ea70fe736aeab132
2015-01-16,TVS,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,15000.0,14500.0,14600.0,14660.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:31:16Z,ff_hsx_symbol_daily_v1,6e0127657501064852d35a698b33987580259c723e8170479ee8ea506dc57528
2015-01-19,TVS,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14600.0,14600.0,13800.0,13800.0,14140.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:31:16Z,ff_hsx_symbol_daily_v1,59b5e3261682ae4183c8cbc3df0a28799585c3b61d282b30040467223e11fa74
2015-01-20,TVS,HOSE,2640000.0,0.0,2640000.0,200.0,0.0,200.0,0.0,0.0,0.0,0.0,13200.0,14000.0,13000.0,14000.0,13320.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:31:16Z,ff_hsx_symbol_daily_v1,2d3f687f40cf3d936ec0f711652a24ab5b45c966fd6a1bb03d8b9afb03623c6d
2015-01-21,TVS,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13600.0,14000.0,13500.0,13500.0,13730.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:31:16Z,ff_hsx_symbol_daily_v1,dcac45e7f929e46c229aba819c028d31c4bb36997cdeaf64d6c8c950551c3dcd
2015-01-22,TVS,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13400.0,13900.0,13300.0,13500.0,13390.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:31:16Z,ff_hsx_symbol_daily_v1,e271008135b7381da5ef29e9fb4cefc587126d8b2e65f115c6c333bf3730c219
2015-01-23,TVS,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13500.0,13700.0,13400.0,13400.0,13490.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:31:16Z,ff_hsx_symbol_daily_v1,927dbbbb42d7febe354b0851fe5c75e5cb94dbe7356c0e5ccae23a33be81e609
2015-01-26,TVS,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13400.0,13400.0,13000.0,13000.0,13090.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:31:16Z,ff_hsx_symbol_daily_v1,93799d852e5178573596318f9d0c02a7e88bb13e865b8d5767308fd45e800ac4
2015-01-27,TVS,HOSE,1950000.0,0.0,1950000.0,150.0,0.0,150.0,0.0,0.0,0.0,0.0,13000.0,13000.0,12100.0,12100.0,12280.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:31:16Z,ff_hsx_symbol_daily_v1,c1aef9ef6369d10e6bafaa43ef9889aefb17fa6b978aedc86af83f9836166814
2015-01-28,TVS,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11900.0,12700.0,11900.0,12700.0,12400.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:31:16Z,ff_hsx_symbol_daily_v1,eda716f5684912e773a638815d20da83ce3dc4341b51d7befe287167bd17f641
