trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2020-12-29,VCG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44900.0,45200.0,44200.0,45100.0,44830.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:33:44Z,ff_hsx_symbol_daily_v1,873f711d81e94d4e7d56133caf6bd3c46a225184064aaccf39438332ffebdf62
2020-12-30,VCG,HOSE,425907500.0,457000.0,425450500.0,9400.0,10.0,9390.0,0.0,0.0,0.0,0.0,45700.0,45700.0,45200.0,45400.0,45340.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:33:44Z,ff_hsx_symbol_daily_v1,d0dea14e555834ad4b9617e2a4a300456bf4aa64f0342033a173211202a7f4bc
2020-12-31,VCG,HOSE,197099000.0,0.0,197099000.0,4300.0,0.0,4300.0,0.0,0.0,0.0,0.0,45550.0,46500.0,45200.0,46100.0,45980.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:33:44Z,ff_hsx_symbol_daily_v1,9af22cc30360d6105e61d656886cba0f3ed888ff30a3c5d116b9d62e7528c4f9
2021-01-04,VCG,HOSE,196320000.0,28050000.0,168270000.0,4200.0,600.0,3600.0,0.0,0.0,0.0,0.0,46800.0,47000.0,46400.0,47000.0,46860.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:33:44Z,ff_hsx_symbol_daily_v1,f4df517a2937a490a56760747c33857d8625aa08f21699f8e2102c8e10539843
2021-01-05,VCG,HOSE,14040000.0,469260000.0,-455220000.0,300.0,9900.0,-9600.0,0.0,0.0,0.0,0.0,46800.0,47600.0,46700.0,47350.0,47250.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:33:44Z,ff_hsx_symbol_daily_v1,d7e661c21e78825bf78f67f4a943821f72ddd39377e73e34c7103c891bf7de55
2021-01-06,VCG,HOSE,129700000.0,0.0,129700000.0,2800.0,0.0,2800.0,0.0,0.0,0.0,0.0,47350.0,47500.0,46000.0,47350.0,47030.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:33:44Z,ff_hsx_symbol_daily_v1,30ab9229c164fef1363f06765640043a8cafe026367af0fb7b178d2fc7b940e9
2021-01-07,VCG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47350.0,47400.0,46700.0,47350.0,47140.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:33:44Z,ff_hsx_symbol_daily_v1,dabad62391c81a7fe61dfcc99d34bac43816df5879501219e7290efa26a97b8a
2021-01-08,VCG,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47500.0,48350.0,47500.0,48050.0,48040.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:33:44Z,ff_hsx_symbol_daily_v1,5d32e52e831df16758b4cc0092977bc5bf78d128b70f78941dfd0924c9ac677e
2021-01-11,VCG,HOSE,0.0,140735000.0,-140735000.0,0.0,3000.0,-3000.0,0.0,0.0,0.0,0.0,47000.0,47500.0,46900.0,47200.0,47070.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:33:44Z,ff_hsx_symbol_daily_v1,df96000fa216500401c178c861511137676186d215e8a0275bacc2d1bc947b1f
2021-01-12,VCG,HOSE,4700000.0,0.0,4700000.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,47200.0,47200.0,46200.0,46950.0,46940.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:33:44Z,ff_hsx_symbol_daily_v1,1257d0685fd031c6985e02f814f69da0d3e08888fd6da500f072ee671ce07e41
