trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2017-07-19,VDS,HOSE,1946350000.0,0.0,1946350000.0,151500.0,0.0,151500.0,0.0,0.0,0.0,0.0,13400.0,13400.0,12500.0,12600.0,12850.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:36:37Z,ff_hsx_symbol_daily_v1,d4e915a02fe7e23fdfe7713755b6b237365a4c049a2da8bf49fe37adcd901a76
2017-07-20,VDS,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12900.0,12900.0,12000.0,12000.0,12370.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:36:37Z,ff_hsx_symbol_daily_v1,9d6353dd0b36f2995091442ddadaa41450b796ece26837cf4bc149147b970687
2017-07-21,VDS,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11900.0,12400.0,11700.0,11700.0,11980.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:36:37Z,ff_hsx_symbol_daily_v1,3cef94f182d63fd29f05dd2777b62d52f79f111945cc3701a42679c706ece52e
2017-07-24,VDS,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11000.0,11250.0,10900.0,11000.0,11030.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:36:37Z,ff_hsx_symbol_daily_v1,a574a67989b1d02b1a63470c8ec8c1c5ca0a1f98028cd30a337ac0cdebc3de33
2017-07-25,VDS,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10300.0,11000.0,10300.0,10800.0,10920.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:36:37Z,ff_hsx_symbol_daily_v1,11722ab98883227ab75abdfc2a2fdf1db371594dedb9cb857d054a84f2554616
2017-07-26,VDS,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11000.0,11300.0,10900.0,11200.0,11150.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:36:37Z,ff_hsx_symbol_daily_v1,1d8b9a33cc0b1560f66223359df9a79aa7d222e5a962fadfb19d69cac2a5c708
2017-07-27,VDS,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11200.0,11200.0,10600.0,10600.0,11030.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:36:37Z,ff_hsx_symbol_daily_v1,c1dfe78e7d194fd7937f864aa37612456b4ca4333fc74189d6ef1de1527701aa
2017-07-28,VDS,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11200.0,11200.0,10600.0,10600.0,10620.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:36:37Z,ff_hsx_symbol_daily_v1,fd97d131f455be173e0ea619b5b4be47e4591538f933440bc65938d376c7811f
2017-07-31,VDS,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10600.0,10900.0,10600.0,10900.0,10670.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:36:37Z,ff_hsx_symbol_daily_v1,018aab62bc17a2aac7e03c384dfa96be2d887a94aa9f0d0ccab136bea6f850db
2017-08-01,VDS,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10700.0,11000.0,10500.0,10900.0,10570.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:36:37Z,ff_hsx_symbol_daily_v1,88b6840774484a5e9ed0a0b98015da15cbebacb17cecf4f9f1affff8b3f3b7ef
2017-08-02,VDS,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11000.0,11000.0,10500.0,10600.0,10570.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:36:37Z,ff_hsx_symbol_daily_v1,970db352487c974eede89d0487bfef87c211510d2209176c2fa9853724c223f1
