trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2009-01-02,VHC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19000.0,19700.0,19000.0,19700.0,19020.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:39:51Z,ff_hsx_symbol_daily_v1,1cd8ead65548c59fdaca624f9ef2d4a4ffdbdeb2c01bc9d1d5fc58d6b3c0bce6
2009-01-05,VHC,HOSE,959500000.0,0.0,959500000.0,50500.0,0.0,50500.0,0.0,0.0,0.0,0.0,19900.0,19900.0,19000.0,19000.0,19010.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:39:51Z,ff_hsx_symbol_daily_v1,eeb5466cf16e352b707643794be5406d7158cdfb601c4b9b463c3d575f402be6
2009-01-06,VHC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19400.0,19400.0,19000.0,19000.0,19020.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:39:51Z,ff_hsx_symbol_daily_v1,c73b96172fe827583b6f9c01305d98847975168bf6e2a9d263b4ede17dc0a392
2009-01-07,VHC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19900.0,19900.0,19000.0,19800.0,19270.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:39:51Z,ff_hsx_symbol_daily_v1,dc9506117cea7753b4d3be9ca2e27ddc56ea8b5edc7afb17eeb137b9272b5c4e
2009-01-08,VHC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,19200.0,19200.0,19210.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:39:51Z,ff_hsx_symbol_daily_v1,2163f7b007571a16e28d7024f17027fc2a661902c6f47f34dcd0460a95a64a6d
2009-01-09,VHC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,18500.0,20000.0,19260.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:39:51Z,ff_hsx_symbol_daily_v1,277622d1cc0f0cf1b0905cf91de73a5c077c7a078b2f6470a3fbc0ca0720b981
2009-01-12,VHC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20400.0,20400.0,19000.0,20000.0,19030.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:39:51Z,ff_hsx_symbol_daily_v1,5ed5f4c70452ce569ff77da84bbba97dff07263dab52bb868720fdd19a7c9dea
2009-01-13,VHC,HOSE,99500000.0,0.0,99500000.0,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,19000.0,19900.0,19000.0,19900.0,19720.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:39:51Z,ff_hsx_symbol_daily_v1,de7b6e3b937c0fb5f26585eeae4af79ac9784e71f66d49234d1b857eabb0c05e
2009-01-14,VHC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20200.0,20200.0,20100.0,20100.0,20100.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:39:51Z,ff_hsx_symbol_daily_v1,4351f71043cd277de8a374125ada1389f9ba3751e521bb652ef83cb23cbd5c9e
2009-01-15,VHC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,20000.0,20000.0,20000.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:39:51Z,ff_hsx_symbol_daily_v1,7d5dd241663ad7eebf4ec845a15470da471087698044813809bd10ba4f52ce98
2009-01-16,VHC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20100.0,20100.0,19000.0,19000.0,19290.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:39:51Z,ff_hsx_symbol_daily_v1,281a19096790b988193fd294d9a93ca746aac3887686c817213756c2643aa91f
2009-01-19,VHC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18400.0,18400.0,18400.0,18400.0,18400.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:39:51Z,ff_hsx_symbol_daily_v1,a366fde95e8e53813591e79a293f282dd33a2cbe4a22fc6657ed8a6044edad68
2009-01-20,VHC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,18000.0,18000.0,18000.0,18000.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:39:51Z,ff_hsx_symbol_daily_v1,ddfbcf0478b2b43b92db11e1a428051964bc94baecc99a4ed4886cbea7d93fe3
