trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2017-08-17,VPB,HOSE,1456749450000.0,0.0,1456749450000.0,37352550.0,0.0,37352550.0,0.0,0.0,0.0,0.0,39000.0,39000.0,33000.0,39000.0,38680.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:49:55Z,ff_hsx_symbol_daily_v1,3a4584b51524432b987f95dd24b040385f7fb6069363be1d46bbfe5b6eeeeabc
2017-08-18,VPB,HOSE,3986937000.0,3986937000.0,0.0,95610.0,95610.0,0.0,3986937000.0,3986937000.0,95610.0,95610.0,38000.0,38500.0,37200.0,37200.0,37980.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:49:55Z,ff_hsx_symbol_daily_v1,e9628b4d444411b9bd61c054cc3c81b4e6dc55938ba9e1000215b05f09cf94ae
2017-08-21,VPB,HOSE,15001416000.0,15001416000.0,0.0,376920.0,376920.0,0.0,15001416000.0,15001416000.0,376920.0,376920.0,35800.0,36800.0,35500.0,35850.0,35870.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:49:55Z,ff_hsx_symbol_daily_v1,bb602076cf10d727c2963867e9be47571574eea1b57fb3fef148561242f056c2
2017-08-22,VPB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34800.0,36000.0,34800.0,36000.0,35600.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:49:55Z,ff_hsx_symbol_daily_v1,129c347c0619f7f008e03f0cffeed50d35ab7da9d53f9035eaab310c904f9275
2017-08-23,VPB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36000.0,36800.0,35750.0,36200.0,36170.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:49:55Z,ff_hsx_symbol_daily_v1,eadb08d60ffd82cf26bd0c39036711b3cfe555edcfbf9912ef6cfc8b6d86dfed
2017-08-24,VPB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36350.0,36350.0,35800.0,36250.0,36100.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:49:55Z,ff_hsx_symbol_daily_v1,5e9a7bcbfd641027c93eedeb552b212267c63e45d1ebce6d8e9943734f5d991d
2017-08-25,VPB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35900.0,36300.0,35800.0,36300.0,36070.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:49:55Z,ff_hsx_symbol_daily_v1,8f60691561ad3508a5e68dbf9bc2a4a9e66bead3101486ca9e816579b591021e
2017-08-28,VPB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36000.0,36300.0,35900.0,36300.0,36180.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:49:55Z,ff_hsx_symbol_daily_v1,d72902f0e94ec68eb0def6182abc54fd811fee4021e8b83d7bd0f13987c37ed7
2017-08-29,VPB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36100.0,36300.0,35950.0,36300.0,36140.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:49:55Z,ff_hsx_symbol_daily_v1,74b3d3a516136ff20d60d90132b85943b55f86bc42bea3aee7fcca6be284fff4
2017-08-30,VPB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36300.0,36300.0,36000.0,36300.0,36230.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:49:55Z,ff_hsx_symbol_daily_v1,40c54ca53d8d4911547f094a3b8ddcaed8a9309f0fc016856b76fa9dcc260b03
2017-08-31,VPB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36100.0,36300.0,36100.0,36300.0,36220.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:49:55Z,ff_hsx_symbol_daily_v1,c91db26fc41732c6058a23df15c85fa4318495fc8c1c3e6b350e64a0b99dcee3
2017-09-01,VPB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36100.0,36300.0,36100.0,36300.0,36260.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:49:55Z,ff_hsx_symbol_daily_v1,a150a87ea06b134f757c260300c5558c5b850c89442b9585dcb56a72a2107f10
2017-09-05,VPB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36050.0,36400.0,36050.0,36400.0,36290.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:49:55Z,ff_hsx_symbol_daily_v1,3eeaf384777f5516aa5827aef6035ccc5eb437579ccee3bbff76a144c5a623db
2017-09-06,VPB,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36400.0,38200.0,36300.0,38150.0,37650.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:49:55Z,ff_hsx_symbol_daily_v1,2d8a9f142087135f24c5c4f2e120036ed0c72c99d2f565678488489338feee5d
