trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2025-12-11,VPX,HOSE,26226100000.0,97603525000.0,-71377425000.0,865700.0,3216400.0,-2350700.0,0.0,0.0,0.0,0.0,29600.0,33500.0,29550.0,30800.0,30500.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:50:38Z,ff_hsx_symbol_daily_v1,98830c35b158134e45e16ab5aeea9392e70d877d1d3b2b54d8a9fd4f9ba9702d
2025-12-12,VPX,HOSE,22110155000.0,99923215350.0,-77813060350.0,731300.0,3140185.0,-2408885.0,0.0,64901615000.0,0.0,1969700.0,30300.0,30500.0,29300.0,30300.0,29900.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:50:38Z,ff_hsx_symbol_daily_v1,60b1bbf429d5338dfe8e588ea3bd9c6400b8da99001bcb66f4a5300663202493
2025-12-15,VPX,HOSE,6033050000.0,20873000000.0,-14839950000.0,207300.0,718200.0,-510900.0,0.0,0.0,0.0,0.0,30000.0,30000.0,28750.0,29100.0,29100.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:50:38Z,ff_hsx_symbol_daily_v1,5e0f9b2cda8d7e5b50ff55122f6b1a81d6f94d0e983d38eed1da73eecbb9113d
2025-12-16,VPX,HOSE,15004690000.0,19887300000.0,-4882610000.0,510000.0,709480.0,-199480.0,0.0,0.0,0.0,0.0,29000.0,29500.0,27100.0,29500.0,28150.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:50:38Z,ff_hsx_symbol_daily_v1,b4b973b908eac46a8f9fe91fa044dd456e1e74a0b1162a21ea671d4925e90f6d
2025-12-17,VPX,HOSE,5927925000.0,27573885000.0,-21645960000.0,204100.0,948700.0,-744600.0,0.0,0.0,0.0,0.0,28600.0,29700.0,28450.0,29700.0,29150.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:50:38Z,ff_hsx_symbol_daily_v1,1c7e64a20641e86d42f8c8d91248e7b290e622c9269fb359245727f10f75c4d5
2025-12-18,VPX,HOSE,1522045000.0,13014940000.0,-11492895000.0,52500.0,452000.0,-399500.0,0.0,0.0,0.0,0.0,29000.0,29100.0,28500.0,29000.0,28800.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:50:38Z,ff_hsx_symbol_daily_v1,9510142768c5683a77cefb3f2bba7b7b6be9ac15994dac440c16d2f2cd468a7e
2025-12-19,VPX,HOSE,5748940000.0,28882765000.0,-23133825000.0,202500.0,1013800.0,-811300.0,0.0,0.0,0.0,0.0,28500.0,29200.0,28150.0,29200.0,28450.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:50:38Z,ff_hsx_symbol_daily_v1,771056210974751de6844ada723f3baac09363ed363c0cb19f1c068680fb92c0
2025-12-22,VPX,HOSE,653590000.0,3591345000.0,-2937755000.0,22600.0,125000.0,-102400.0,0.0,0.0,0.0,0.0,29000.0,29000.0,28650.0,28950.0,28750.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:50:38Z,ff_hsx_symbol_daily_v1,539e7449d88cb514de1845009c3b9baf58579b9b3e2f6edb70971a6a5ed6b532
2025-12-23,VPX,HOSE,2091400000.0,9916709600.0,-7825309600.0,73600.0,350076.0,-276476.0,0.0,0.0,0.0,0.0,28950.0,28950.0,28000.0,28000.0,28350.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:50:38Z,ff_hsx_symbol_daily_v1,96eba48944d730eec3962633abf4d5a8d6ef86ef202b2bc375d5557611280940
2025-12-24,VPX,HOSE,688830000.0,8216695000.0,-7527865000.0,24900.0,298200.0,-273300.0,0.0,0.0,0.0,0.0,27900.0,28000.0,27300.0,28000.0,27600.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:50:38Z,ff_hsx_symbol_daily_v1,fe125d0612689c959e5d394667e5b7116fd1866fbad32718f44b51a1d4bb8d64
