trade_date,symbol,exchange,foreign_buy_value,foreign_sell_value,foreign_net_value,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,biglot_buy_value,biglot_sell_value,biglot_buy_volume,biglot_sell_volume,open_price,high_price,low_price,close_price,average_price,source,source_scope,source_units,fetched_at,schema_version,row_hash
2009-01-02,VSC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46000.0,46000.0,45700.0,45700.0,45870.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:53:13Z,ff_hsx_symbol_daily_v1,66515e1792df767474b06aea67e89bc845e1bbde50352a7ba7f68fb895853933
2009-01-05,VSC,HOSE,479000.0,0.0,479000.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,47900.0,47900.0,46300.0,47900.0,47870.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:53:13Z,ff_hsx_symbol_daily_v1,a5870153f8e4570c10ee04dea6eba945ed8b1b83931288726371b616ee08d8ee
2009-01-06,VSC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47000.0,49000.0,47000.0,49000.0,48110.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:53:13Z,ff_hsx_symbol_daily_v1,f642a85299e3f67620099e96758657dc8a169ccad75955838bd66ded98f63676
2009-01-07,VSC,HOSE,580000000.0,0.0,580000000.0,11600.0,0.0,11600.0,0.0,0.0,0.0,0.0,50000.0,51000.0,49000.0,51000.0,50370.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:53:13Z,ff_hsx_symbol_daily_v1,0f2881220f2c51f5a2eda8294eeae25848aba9cb1e3bda97e80459bec4b54c29
2009-01-08,VSC,HOSE,245000000.0,0.0,245000000.0,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,49000.0,51000.0,48600.0,48600.0,48970.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:53:13Z,ff_hsx_symbol_daily_v1,37e5cadece31cad209ed132047f0cf373c6127b13fb75f7bf11e0745303dcb45
2009-01-09,VSC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47000.0,48500.0,47000.0,47000.0,47290.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:53:13Z,ff_hsx_symbol_daily_v1,59f814d06f7a6aff59edddc8eeff34060e4509d741c30191c892e3bbf669d604
2009-01-12,VSC,HOSE,42300000.0,0.0,42300000.0,900.0,0.0,900.0,0.0,0.0,0.0,0.0,48700.0,48700.0,46500.0,47000.0,47370.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:53:13Z,ff_hsx_symbol_daily_v1,f1476fd85442c1dd05f5fd34d534b72317661a84f1cf289b541243d43acf6a89
2009-01-13,VSC,HOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46200.0,46500.0,44800.0,46000.0,45840.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:53:13Z,ff_hsx_symbol_daily_v1,94f19de5d4873829138f88522c12b0cb9dddcaa3f0956e75647f4177d56c30ea
2009-01-14,VSC,HOSE,0.0,1024247000.0,-1024247000.0,0.0,23130.0,-23130.0,0.0,0.0,0.0,0.0,45100.0,45100.0,44000.0,44000.0,44320.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:53:13Z,ff_hsx_symbol_daily_v1,5066d486c06477f2b8cc696bbc5685ca08f167e2c01ea2fde81f664587b7280f
2009-01-15,VSC,HOSE,0.0,912514000.0,-912514000.0,0.0,21560.0,-21560.0,0.0,0.0,0.0,0.0,42100.0,45000.0,42000.0,42400.0,42330.0,HSX_FOREIGN_API,HOSE_SYMBOL_LEVEL,VND,2026-08-25T04:53:13Z,ff_hsx_symbol_daily_v1,ca7f9d23620eb6a0af99bcf34ce0a1f548e8ffbdd2252028b3df9045ce17d2c3
