trade_date,is_weekday,sources,FC,FC_source,REAL,LIVE,regime,breadth,n_groups_8,VNINDEX_OHLCV,VNINDEX_technicals,stock_universe_count,n_ems,n_ph,n_el_ph,dna_142,sector_info,turnover,foreign_flow,outcome_T3,outcome_T5,outcome_T10,el_stock_outcome_T3,PIT_class,leakage_class,completeness_tier,class_A_market_core,class_B_rich,class_C_full_142,class_D_outcome_T3
2026-06-25,True,buy_elite|hist_core,1.2,hist_core,5.0,,🔴 MÙA ĐÔNG,,0,False,False,0,0,0,0,0,False,False,False,False,False,False,False,NOT_PROVABLY_PIT_SAFE,HIGH_ELITE_SUBSET,ELITE_SUBSET_ONLY,True,False,False,False
2026-06-29,True,buy_elite|hist_core,1.3,hist_core,6.0,,🟡 TRUNG TÍNH,,0,False,False,0,0,0,0,0,False,False,False,False,False,False,False,NOT_PROVABLY_PIT_SAFE,HIGH_ELITE_SUBSET,ELITE_SUBSET_ONLY,True,False,False,False
2026-06-30,True,buy_elite|hist_core,1.5,hist_core,6.5,,🟡 TRUNG TÍNH,,0,False,False,0,0,0,0,0,False,False,False,False,False,False,False,NOT_PROVABLY_PIT_SAFE,HIGH_ELITE_SUBSET,ELITE_SUBSET_ONLY,True,False,False,False
2026-07-01,True,buy_elite|hist_core,2.3,hist_core,7.7,,🟡 TRUNG TÍNH,,0,False,False,0,0,0,0,0,False,False,False,False,False,False,False,NOT_PROVABLY_PIT_SAFE,HIGH_ELITE_SUBSET,ELITE_SUBSET_ONLY,True,False,False,False
2026-07-02,True,root_pattern_history|buy_elite|hist_core,1.4,hist_core,6.9,,,,4,False,False,109,0,109,0,0,False,False,False,False,False,False,False,LEAKAGE_RISK_SOURCE,MEDIUM_INTRADAY_MULTI_FC,MARKET_CORE_PARTIAL_UNIVERSE,True,True,False,False
2026-07-03,True,root_pattern_history|buy_elite|hist_core,1.7,hist_core,6.2,,,,4,False,False,97,0,97,0,0,False,False,False,False,False,False,False,LEAKAGE_RISK_SOURCE,MEDIUM_INTRADAY_MULTI_FC,MARKET_CORE_PARTIAL_UNIVERSE,True,True,False,False
2026-07-04,False,root_pattern_history,1.7,root_ph_last_scan,6.2,,,,4,False,False,56,0,56,0,0,False,False,False,False,False,False,False,LEAKAGE_RISK_SOURCE,MEDIUM_INTRADAY_MULTI_FC,MARKET_CORE_PARTIAL_UNIVERSE,True,True,False,False
2026-07-05,False,root_pattern_history,1.7,root_ph_last_scan,6.2,,,,4,False,False,56,0,56,0,0,False,False,False,False,False,False,False,LEAKAGE_RISK_SOURCE,MEDIUM_INTRADAY_MULTI_FC,MARKET_CORE_PARTIAL_UNIVERSE,True,True,False,False
2026-07-06,True,root_pattern_history|buy_elite|hist_core,0.0,hist_core,3.8,,,,4,False,False,80,0,80,0,0,False,False,False,False,False,False,False,LEAKAGE_RISK_SOURCE,MEDIUM_INTRADAY_MULTI_FC,MARKET_CORE_PARTIAL_UNIVERSE,True,True,False,False
2026-07-07,True,root_pattern_history|buy_elite|hist_core,0.9,hist_core,5.2,,,,3,False,False,38,0,38,0,0,False,False,False,False,False,False,False,LEAKAGE_RISK_SOURCE,MEDIUM_INTRADAY_MULTI_FC,MARKET_CORE_PARTIAL_UNIVERSE,True,False,False,False
2026-07-08,True,root_pattern_history|buy_elite|hist_core,1.2,hist_core,6.0,,,,4,False,False,64,0,64,0,0,False,False,False,False,False,False,False,LEAKAGE_RISK_SOURCE,MEDIUM_INTRADAY_MULTI_FC,MARKET_CORE_PARTIAL_UNIVERSE,True,True,False,False
2026-07-09,True,root_pattern_history|buy_elite|hist_core,0.0,hist_core,4.4,,,,3,False,False,84,0,84,0,0,False,False,False,False,False,False,False,LEAKAGE_RISK_SOURCE,MEDIUM_INTRADAY_MULTI_FC,MARKET_CORE_PARTIAL_UNIVERSE,True,True,False,False
2026-07-10,True,root_pattern_history|buy_elite|hist_core,0.0,hist_core,3.5,,,,3,False,False,66,0,66,0,0,False,False,False,False,False,False,False,LEAKAGE_RISK_SOURCE,MEDIUM_INTRADAY_MULTI_FC,MARKET_CORE_PARTIAL_UNIVERSE,True,True,False,False
2026-07-11,False,root_pattern_history,0.0,root_ph_last_scan,3.5,,,,3,False,False,27,0,27,0,0,False,False,False,False,False,False,False,LEAKAGE_RISK_SOURCE,MEDIUM_INTRADAY_MULTI_FC,MARKET_CORE_PARTIAL_UNIVERSE,True,False,False,False
2026-07-12,False,root_pattern_history,0.0,root_ph_last_scan,3.5,,,,3,False,False,27,0,27,0,0,False,False,False,False,False,False,False,LEAKAGE_RISK_SOURCE,MEDIUM_INTRADAY_MULTI_FC,MARKET_CORE_PARTIAL_UNIVERSE,True,False,False,False
2026-07-13,True,root_pattern_history|buy_elite|hist_core,0.0,hist_core,1.8,,,,3,False,False,34,0,34,0,0,False,False,False,False,False,False,False,LEAKAGE_RISK_SOURCE,MEDIUM_INTRADAY_MULTI_FC,MARKET_CORE_PARTIAL_UNIVERSE,True,False,False,False
2026-07-14,True,root_pattern_history|buy_elite|hist_core,0.0,hist_core,3.1,,,,3,False,False,48,0,48,0,0,False,False,False,False,False,False,False,LEAKAGE_RISK_SOURCE,MEDIUM_INTRADAY_MULTI_FC,MARKET_CORE_PARTIAL_UNIVERSE,True,False,False,False
2026-07-15,True,root_pattern_history|buy_elite|hist_core,0.0,hist_core,1.8,,,,2,False,False,52,0,52,0,0,False,False,False,False,False,False,False,LEAKAGE_RISK_SOURCE,MEDIUM_INTRADAY_MULTI_FC,MARKET_CORE_PARTIAL_UNIVERSE,True,True,False,False
