trade_date,n_rows,n_symbols,fc_nuniq,fc_values,fc_present,real_nuniq,real_present,live_nonnull,regime,breadth_nonnull,breadth_median,n_groups,n_times,times_sample,tech_fields,has_t3_label,has_t5_label,has_t10_label,approx_142
2026-07-02,109,109,5,"[1.4, 2.3, 2.5, 2.7, 3.0]",True,3,True,0,[],0,,4,7,"['08:30:05', '09:37:46', '09:38:30', '10:15:35', '11:10:51']",4,False,False,False,False
2026-07-03,97,97,5,"[1.0, 1.4, 1.6, 1.7, 1.9]",True,6,True,0,[],0,,4,8,"['07:16:19', '09:37:34', '09:49:20', '13:26:41', '14:10:02']",4,False,False,False,False
2026-07-04,56,56,1,[1.7],True,1,True,0,[],0,,4,1,['23:06:29'],4,False,False,False,False
2026-07-05,56,56,1,[1.7],True,1,True,0,[],0,,4,1,['15:31:27'],4,False,False,False,False
2026-07-06,80,80,4,"[0.0, 0.9, 1.5, 1.7]",True,6,True,0,[],0,,4,8,"['08:08:35', '09:38:48', '10:07:46', '10:08:34', '10:10:07']",4,False,False,False,False
2026-07-07,38,38,1,[0.9],True,1,True,0,[],0,,3,2,"['21:43:21', '21:46:31']",4,False,False,False,False
2026-07-08,64,64,4,"[0.3, 0.6, 0.9, 1.2]",True,4,True,0,[],0,,4,4,"['15:13:35', '15:32:02', '20:27:55', '21:56:32']",4,False,False,False,False
2026-07-09,84,84,4,"[0.0, 0.2, 0.3, 1.2]",True,7,True,0,[],0,,3,7,"['06:26:55', '09:46:37', '10:20:49', '12:35:39', '15:10:06']",4,False,False,False,False
2026-07-10,66,66,3,"[0.0, 0.1, 0.2]",True,6,True,0,[],0,,3,7,"['09:38:55', '09:39:36', '10:20:35', '13:30:37', '13:55:05']",4,False,False,False,False
2026-07-11,27,27,1,[0.0],True,1,True,0,[],0,,3,1,['13:55:18'],4,False,False,False,False
2026-07-12,27,27,1,[0.0],True,1,True,0,[],0,,3,1,['22:02:54'],4,False,False,False,False
2026-07-13,34,34,1,[0.0],True,3,True,0,[],0,,3,3,"['10:30:50', '15:32:11', '22:10:50']",4,False,False,False,False
2026-07-14,48,48,1,[0.0],True,4,True,0,[],0,,3,4,"['06:10:24', '12:23:32', '14:23:49', '22:31:27']",4,False,False,False,False
2026-07-15,52,52,1,[0.0],True,8,True,0,[],0,,2,9,"['09:36:00', '09:36:44', '09:56:48', '09:57:48', '10:45:40']",4,False,False,False,False
2026-07-16,51,51,1,[0.0],True,4,True,0,[],0,,3,6,"['10:29:31', '13:14:32', '14:55:25', '15:11:58', '15:20:58']",4,False,False,False,False
2026-07-17,73,73,1,[0.0],True,5,True,0,[],0,,3,14,"['09:20:38', '09:37:20', '09:38:49', '09:46:55', '09:49:55']",4,False,False,False,False
2026-07-18,24,24,1,[0.0],True,1,True,0,[],0,,3,1,['21:44:45'],4,False,False,False,False
2026-07-20,28,28,1,[0.0],True,2,True,0,[],0,,3,3,"['12:17:15', '15:22:58', '21:46:59']",4,False,False,False,False
2026-07-21,17,17,1,[0.0],True,2,True,0,[],0,,3,2,"['14:10:55', '17:37:44']",4,False,False,False,False
2026-07-22,17,17,1,[0.0],True,2,True,0,[],0,,3,3,"['08:14:16', '12:26:05', '23:59:07']",4,False,False,False,False
2026-07-23,38,38,1,[0.0],True,5,True,0,[],0,,2,6,"['00:37:48', '09:42:31', '14:09:20', '15:15:58', '15:18:17']",4,False,False,False,False
2026-07-24,22,22,1,[0.0],True,3,True,0,[],0,,2,4,"['09:53:34', '10:04:21', '10:05:55', '19:43:50']",4,False,False,False,False
2026-07-26,7,7,1,[0.0],True,1,True,0,[],0,,2,1,['10:17:15'],4,False,False,False,False
2026-07-27,13,13,1,[0.0],True,2,True,0,[],0,,2,2,"['09:00:16', '19:20:23']",4,False,False,False,False
2026-07-28,31,31,1,[0.0],True,2,True,0,[],0,,2,3,"['12:01:46', '15:16:50', '15:26:49']",4,False,False,False,False
