split,horizon,condition,n,n_symbols,n_dates,mean_ret,median_ret,win_rate,std_ret,mfe_t10_mean,mae_t10_mean,incremental_mean_ret
discovery,1,UNCONDITIONAL,101735,68,1995,0.00016722332919083102,0.0,0.3942497665503514,0.02568490277637339,0.06039302268995756,-0.05532437996530371,
discovery,1,net_pos,39486,68,1995,0.00045683405256956755,0.0,0.4041179152104543,0.025462067613961036,0.06065550778247741,-0.05440439690758316,0.0002896107233787365
discovery,1,net_neg,29001,68,1994,-6.234393566973202e-05,0.0,0.4007792834729837,0.026171001896210182,0.059497309897880345,-0.05605996065877389,-0.00022956726486056303
discovery,1,net_zero,33248,67,1990,2.351878229743577e-05,0.0,0.3768346968238691,0.025516592388844364,0.06089967957355185,-0.055807154983895844,-0.00014370454689339524
discovery,3,UNCONDITIONAL,101690,68,1995,0.0005366424264738162,0.0,0.43355295505949454,0.04657002472118652,0.06039302268995756,-0.05532437996530371,
discovery,3,net_pos,39466,68,1994,0.0008789332640411717,0.0,0.4398469568742715,0.04707981945904496,0.06065550778247741,-0.05440439690758316,0.0003422908375673555
discovery,3,net_neg,28981,68,1994,-0.00015071129243541712,0.0,0.4362513370829164,0.04706012536584655,0.059497309897880345,-0.05605996065877389,-0.0006873537189092333
discovery,3,net_zero,33243,67,1989,0.0007295055234348375,0.0,0.4237283037030352,0.04551367520644539,0.06089967957355185,-0.055807154983895844,0.0001928630969610214
discovery,5,UNCONDITIONAL,101679,68,1995,0.0008942975193569891,0.0,0.44525418227952673,0.0606848080809722,0.06039302268995756,-0.05532437996530371,
discovery,5,net_pos,39460,68,1995,0.0013886113157853992,0.0,0.4503801317790167,0.06134481687657696,0.06065550778247741,-0.05440439690758316,0.0004943137964284101
discovery,5,net_neg,28978,68,1993,-0.00018897913963297406,0.0,0.4489957899095866,0.06126159187719678,0.059497309897880345,-0.05605996065877389,-0.001083276658989963
discovery,5,net_zero,33241,67,1989,0.0012518550121263432,0.0,0.43590746367437805,0.05936564529361034,0.06089967957355185,-0.055807154983895844,0.00035755749276935407
discovery,10,UNCONDITIONAL,101663,68,1995,0.0018146626426922944,0.0,0.4561541563794104,0.08719536385413829,0.06039302268995756,-0.05532437996530371,
discovery,10,net_pos,39452,68,1995,0.0024933966386703186,0.0,0.46066105647368955,0.0874116757760238,0.06065550778247741,-0.05440439690758316,0.0006787339959780242
discovery,10,net_neg,28981,68,1993,0.0001612928938471036,0.0,0.45478071840171147,0.0879097133990317,0.059497309897880345,-0.05605996065877389,-0.0016533697488451907
discovery,10,net_zero,33230,67,1989,0.002450801525688306,0.0,0.4520012037315679,0.08628883061774535,0.06089967957355185,-0.055807154983895844,0.0006361388829960117
validation,1,UNCONDITIONAL,107002,104,1250,0.0009389364464613706,0.0,0.45129997570138874,0.024864144606707078,0.06306251885751946,-0.05248653182899841,
validation,1,net_pos,44329,104,1250,0.0009766659284286066,0.0,0.4495251415551896,0.025124231832286313,0.06327200374183757,-0.05282188279182308,3.7729481967235996e-05
validation,1,net_neg,44142,103,1250,0.0010020506431234124,0.0,0.46021929228399255,0.025693003496096968,0.06615666465526808,-0.05439868301477701,6.311419666204176e-05
validation,1,net_zero,18531,88,1250,0.000698339766563824,0.0,0.43429928228374076,0.022073377496943127,0.055048268096351875,-0.04703294454219348,-0.0002405966798975466
validation,3,UNCONDITIONAL,106993,104,1250,0.0029343868353261826,0.0,0.4943127120465825,0.04568852670704447,0.06306251885751946,-0.05248653182899841,
validation,3,net_pos,44319,104,1250,0.0027732702617115222,0.0,0.49191091856765723,0.04563322247601116,0.06327200374183757,-0.05282188279182308,-0.00016111657361466032
validation,3,net_neg,44143,103,1250,0.003436982786223475,0.0012376237623761277,0.5031601839476247,0.04746758432946578,0.06615666465526808,-0.05439868301477701,0.0005025959508972925
validation,3,net_zero,18531,88,1250,0.0021224734127137487,0.0,0.4789811666936485,0.041272374312397685,0.055048268096351875,-0.04703294454219348,-0.0008119134226124338
validation,5,UNCONDITIONAL,106996,104,1250,0.004919132598581162,0.0018239857873829646,0.5074675688810797,0.059983509000744506,0.06306251885751946,-0.05248653182899841,
validation,5,net_pos,44326,104,1250,0.005065852117609619,0.0018018018018017834,0.5070613184135722,0.059864163344768524,0.06327200374183757,-0.05282188279182308,0.00014671951902845738
validation,5,net_neg,44136,103,1250,0.0053418110039252535,0.002538071065989911,0.5142287475077034,0.062418927466028076,0.06615666465526808,-0.05439868301477701,0.00042267840534409174
validation,5,net_zero,18534,89,1250,0.0035616909508676534,0.0,0.492338405093342,0.05403726009078696,0.055048268096351875,-0.04703294454219348,-0.0013574416477135083
validation,10,UNCONDITIONAL,106993,104,1250,0.009749447114236021,0.0039215686274509665,0.519734935930388,0.0878471286828908,0.06306251885751946,-0.05248653182899841,
validation,10,net_pos,44324,104,1250,0.009514975473054958,0.003831417624521105,0.5184550130854616,0.08701319678350537,0.06327200374183757,-0.05282188279182308,-0.0002344716411810631
validation,10,net_neg,44137,103,1250,0.011050230632561109,0.004901960784313708,0.5262025058341074,0.09204204049916666,0.06615666465526808,-0.05439868301477701,0.0013007835183250875
validation,10,net_zero,18532,89,1250,0.007212216317527361,0.002188183807439792,0.5073926181739693,0.07910776916941714,0.055048268096351875,-0.04703294454219348,-0.0025372307967086605
holdout,1,UNCONDITIONAL,127327,117,1154,-0.00020865903158223334,0.0,0.45653317835180285,0.026838428459999817,0.060403525519022,-0.060893945770663115,
holdout,1,net_pos,55633,117,1154,0.0003136566592220489,0.0,0.46190210846080565,0.028494310404078058,0.06347892050437927,-0.06272606422735595,0.0005223156908042822
holdout,1,net_neg,66315,117,1154,-0.0006853233844305467,0.0,0.4511648948201764,0.02550882030467477,0.058071566392860714,-0.06003944208261083,-0.00047666435284831335
holdout,1,net_zero,5379,71,1121,0.00026578003378702875,0.0,0.46718720951849785,0.024997906799932374,0.057255019317973506,-0.0524602307676774,0.0004744390653692621
holdout,3,UNCONDITIONAL,127093,117,1152,-0.0005841154741477706,0.0,0.4846687071671925,0.04817454616121259,0.060403525519022,-0.060893945770663115,
holdout,3,net_pos,55541,117,1152,-6.713802016572515e-05,0.0,0.4891161484308889,0.05038898207246312,0.06347892050437927,-0.06272606422735595,0.0005169774539820455
holdout,3,net_neg,66178,117,1152,-0.0011891004888773345,0.0,0.47944936383692466,0.04648590622063736,0.058071566392860714,-0.06003944208261083,-0.0006049850147295639
holdout,3,net_zero,5374,71,1119,0.0015229283541284269,0.0013680300180595184,0.5029772981019724,0.044963788549673867,0.057255019317973506,-0.0524602307676774,0.0021070438282761975
holdout,5,UNCONDITIONAL,126859,117,1150,-0.0009681708148024937,0.0,0.4845773654214522,0.06250454332798203,0.060403525519022,-0.060893945770663115,
holdout,5,net_pos,55476,117,1150,-0.00013736269480996247,0.0,0.49042829331602855,0.06537872592334588,0.06347892050437927,-0.06272606422735595,0.0008308081199925313
holdout,5,net_neg,66014,117,1150,-0.0019405082163212167,0.0,0.47755021662071684,0.06029043092198966,0.058071566392860714,-0.06003944208261083,-0.000972337401518723
holdout,5,net_zero,5369,71,1117,0.002402656147229786,0.0020000000000000018,0.5105233749301545,0.05849553444302258,0.057255019317973506,-0.0524602307676774,0.0033708269620322797
holdout,10,UNCONDITIONAL,126274,117,1145,-0.001675497091818183,-0.0011273957158962622,0.48371002740073177,0.0889637866849616,0.060403525519022,-0.060893945770663115,
holdout,10,net_pos,55262,117,1145,-0.00045658190550015723,0.0,0.4903912272447613,0.09261896234277184,0.06347892050437927,-0.06272606422735595,0.0012189151863180258
