split,h,feat,n,mean,base,incr,wr,symbols
discovery,1,agree_pos,17678,0.0024260825807255445,0.00016722332919083102,0.0022588592515347134,0.43076139834822946,68
discovery,1,px_pos,39967,0.001997720397612933,0.00016722332919083102,0.0018304970684221021,0.4186453824405134,68
discovery,1,agree_neg,13997,-0.0017678735953120582,0.00016722332919083102,-0.0019350969245028893,0.3953704365221119,66
discovery,1,px_neg,42291,-0.0011689553402735304,0.00016722332919083102,-0.0013361786694643615,0.39973043910051786,67
discovery,1,abn_abs_z20,5947,0.0024551213015837274,0.00016722332919083102,0.0022878979723928963,0.4375315285017656,64
discovery,1,net_pos,39486,0.00045683405256956755,0.00016722332919083102,0.0002896107233787365,0.4041179152104543,68
discovery,1,net_neg,29001,-6.234393566973202e-05,0.00016722332919083102,-0.00022956726486056303,0.4007792834729837,68
discovery,1,diverge_sell_up,10202,0.0024082852801605953,0.00016722332919083102,0.0022410619509697642,0.4308959027641639,66
discovery,1,diverge_buy_down,15094,-0.0016310219407690753,0.00016722332919083102,-0.0017982452699599064,0.3975089439512389,67
discovery,1,abn_buy_z15_px_up,2713,0.003832599113252004,0.00016722332919083102,0.003665375784061173,0.4522668632510136,64
discovery,3,agree_pos,17659,0.002530832193008319,0.0005366424264738162,0.001994189766534503,0.44079506200804125,68
discovery,3,px_pos,39941,0.0024102228032423295,0.0005366424264738162,0.0018735803767685132,0.4365939761147693,68
discovery,3,agree_neg,13984,-0.0023389811742249964,0.0005366424264738162,-0.0028756236006988126,0.43835812356979403,66
discovery,3,px_neg,42254,-0.0007443163484254784,0.0005366424264738162,-0.0012809587748992945,0.4462062763288683,67
discovery,3,abn_abs_z20,5944,0.002723929807194009,0.0005366424264738162,0.002187287380720193,0.45524899057873486,64
discovery,3,net_pos,39466,0.0008789332640411717,0.0005366424264738162,0.0003422908375673555,0.4398469568742715,68
discovery,3,net_neg,28981,-0.00015071129243541712,0.0005366424264738162,-0.0006873537189092333,0.4362513370829164,68
discovery,3,diverge_sell_up,10190,0.002890496178469302,0.0005366424264738162,0.0023538537519954858,0.44759568204121686,66
discovery,3,diverge_buy_down,15091,-0.0008157466487665838,0.0005366424264738162,-0.0013523890752404,0.44702140348552116,67
discovery,3,abn_buy_z15_px_up,2710,0.0050263367450498865,0.0005366424264738162,0.004489694318576071,0.45387453874538747,64
discovery,5,agree_pos,17655,0.003800779500948259,0.0008942975193569891,0.00290648198159127,0.45295950155763237,68
discovery,5,px_pos,39942,0.0031930764810169905,0.0008942975193569891,0.002298778961660001,0.4482249261429072,68
discovery,5,agree_neg,13984,-0.002694919244423552,0.0008942975193569891,-0.0035892167637805415,0.4464387871853547,66
discovery,5,px_neg,42252,-0.0008387960150160012,0.0008942975193569891,-0.0017330935343729903,0.45344599072233266,67
discovery,5,abn_abs_z20,5938,0.0023244490276415316,0.0008942975193569891,0.0014301515082845424,0.4533512967329067,64
discovery,5,net_pos,39460,0.0013886113157853992,0.0008942975193569891,0.0004943137964284101,0.4503801317790167,68
discovery,5,net_neg,28978,-0.00018897913963297406,0.0008942975193569891,-0.001083276658989963,0.4489957899095866,68
