symbol,page_size,http,elapsed,n_rows,total_field,meta_keys,first_date,last_date,n_unique_dates,sample_row_keys,url,note
VIX,1000,200,17.032050848007202,1000,,"['object', 'paging']",2022-08-19,2026-08-24,1000,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/VIX?pageSize=1000,
SHB,1000,200,8.686121940612793,1000,,"['object', 'paging']",2022-08-19,2026-08-24,1000,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/SHB?pageSize=1000,
MSB,1000,200,11.566741228103638,1000,,"['object', 'paging']",2022-08-19,2026-08-24,1000,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/MSB?pageSize=1000,
SSI,1000,200,15.652145624160768,1000,,"['object', 'paging']",2022-08-19,2026-08-24,1000,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/SSI?pageSize=1000,
HPG,1000,200,19.691522121429443,1000,,"['object', 'paging']",2022-08-19,2026-08-24,1000,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/HPG?pageSize=1000,
DXG,1000,200,16.3180673122406,1000,,"['object', 'paging']",2022-08-19,2026-08-24,1000,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/DXG?pageSize=1000,
CII,1000,200,19.75052118301392,1000,,"['object', 'paging']",2022-08-19,2026-08-24,1000,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/CII?pageSize=1000,
CEO,1000,200,1.5540003776550293,0,,"['object', 'paging']",,,0,[],https://api.hsx.vn/mk/api/v1/market/securities/foreign/CEO?pageSize=1000,
HHS,1000,200,13.434168100357056,1000,,"['object', 'paging']",2022-08-19,2026-08-24,1000,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/HHS?pageSize=1000,
NAB,1000,200,6.332964181900024,615,,"['object', 'paging']",2024-03-07,2026-08-24,615,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/NAB?pageSize=1000,
KBC,1000,200,24.715917110443115,1000,,"['object', 'paging']",2022-08-19,2026-08-24,1000,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/KBC?pageSize=1000,
PVT,1000,200,12.456907749176024,1000,,"['object', 'paging']",2022-08-19,2026-08-24,1000,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/PVT?pageSize=1000,
BID,1000,200,12.72627592086792,1000,,"['object', 'paging']",2022-08-19,2026-08-24,1000,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/BID?pageSize=1000,
DCM,1000,200,25.57141637802124,1000,,"['object', 'paging']",2022-08-19,2026-08-24,1000,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/DCM?pageSize=1000,
GIL,1000,200,13.839293956756592,1000,,"['object', 'paging']",2022-08-19,2026-08-24,1000,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/GIL?pageSize=1000,
MSH,1000,200,13.934677362442017,1000,,"['object', 'paging']",2022-08-19,2026-08-24,1000,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/MSH?pageSize=1000,
BFC,1000,200,10.260532855987549,1000,,"['object', 'paging']",2022-08-19,2026-08-24,1000,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/BFC?pageSize=1000,
FOX,1000,200,3.6732828617095943,0,,"['object', 'paging']",,,0,[],https://api.hsx.vn/mk/api/v1/market/securities/foreign/FOX?pageSize=1000,
BMP,1000,200,7.8815295696258545,1000,,"['object', 'paging']",2022-08-19,2026-08-24,1000,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/BMP?pageSize=1000,
VTO,1000,200,15.622340202331545,1000,,"['object', 'paging']",2022-08-19,2026-08-24,1000,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/VTO?pageSize=1000,
SIP,1000,200,12.17251706123352,760,,"['object', 'paging']",2023-08-07,2026-08-24,760,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/SIP?pageSize=1000,
MML,1000,200,2.9347641468048096,0,,"['object', 'paging']",,,0,[],https://api.hsx.vn/mk/api/v1/market/securities/foreign/MML?pageSize=1000,
