symbol,page_size,http,elapsed,n_rows,total_field,meta_keys,meta,first_date,last_date,n_unique_dates,sample_row_keys,url,page_index
VNM,5,200,2.229980707168579,5,,"['object', 'paging']","{'object': None, 'paging': {'pageIndex': 1, 'pageSize': 5, 'totalCount': 4402, 'totalPages': 881}}",2026-08-18,2026-08-24,5,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/VNM?pageSize=5,
VNM,20,200,2.9973506927490234,20,,"['object', 'paging']","{'object': None, 'paging': {'pageIndex': 1, 'pageSize': 20, 'totalCount': 4402, 'totalPages': 221}}",2026-07-28,2026-08-24,20,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/VNM?pageSize=20,
VNM,50,200,4.0463409423828125,50,,"['object', 'paging']","{'object': None, 'paging': {'pageIndex': 1, 'pageSize': 50, 'totalCount': 4402, 'totalPages': 89}}",2026-06-16,2026-08-24,50,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/VNM?pageSize=50,
VNM,100,200,2.812636613845825,100,,"['object', 'paging']","{'object': None, 'paging': {'pageIndex': 1, 'pageSize': 100, 'totalCount': 4402, 'totalPages': 45}}",2026-04-02,2026-08-24,100,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/VNM?pageSize=100,
VNM,200,200,5.216327905654907,200,,"['object', 'paging']","{'object': None, 'paging': {'pageIndex': 1, 'pageSize': 200, 'totalCount': 4402, 'totalPages': 23}}",2025-11-04,2026-08-24,200,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/VNM?pageSize=200,
VNM,500,200,6.402881622314453,500,,"['object', 'paging']","{'object': None, 'paging': {'pageIndex': 1, 'pageSize': 500, 'totalCount': 4402, 'totalPages': 9}}",2024-08-21,2026-08-24,500,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/VNM?pageSize=500,
VNM,1000,200,16.697359800338745,1000,,"['object', 'paging']","{'object': None, 'paging': {'pageIndex': 1, 'pageSize': 1000, 'totalCount': 4402, 'totalPages': 5}}",2022-08-19,2026-08-24,1000,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/VNM?pageSize=1000,
VNM,2000,200,35.8743371963501,2000,,"['object', 'paging']","{'object': None, 'paging': {'pageIndex': 1, 'pageSize': 2000, 'totalCount': 4402, 'totalPages': 3}}",2018-08-21,2026-08-24,2000,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/VNM?pageSize=2000,
VNM,100,200,5.777145862579346,100,,"['object', 'paging']","{'object': None, 'paging': {'pageIndex': 0, 'pageSize': 100, 'totalCount': 4402, 'totalPages': 45}}",2026-04-02,2026-08-24,100,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/VNM?pageSize=100&pageIndex=0,0.0
VNM,100,200,3.9541993141174316,100,,"['object', 'paging']","{'object': None, 'paging': {'pageIndex': 1, 'pageSize': 100, 'totalCount': 4402, 'totalPages': 45}}",2026-04-02,2026-08-24,100,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/VNM?pageSize=100&pageIndex=1,1.0
