trade_date,ticker,health_group,health_score,action_group,close,state_streak,state_l1,state_l2,state_l3,state_l4,state_l5,n_state_changes_5,n_prior5_healthy,n_prior5_rat_yeu,n_prior5_yeu_dan,prev_was_dang_hoi,prev_was_healthy,traj3,rs5,rs10,rsi14,rs5_chg_1,rs5_chg_3,rs5_chg_5,rs10_chg_1,rs10_chg_3,rs10_chg_5,rsi14_chg_1,rsi14_chg_3,rsi14_chg_5,rs5_pct,rs10_pct,rsi14_pct,rs10_minus_rs5_pct,rs5_rank_drop_3,rs5_rank_drop_5,rs10_rank_drop_3,rs10_rank_drop_5,dd5,dd10,dist_ema9,dist_ma20,volume,volume_ratio20,vol_vs_prior,obv,obv_chg_1,obv_chg_3,obv_chg_5,obv_dir_1,market_real,market_regime,vnindex_daily_return_pct,episode_id,iso_week,mature_T3,mature_T5,mature_T10,ret_T3,ret_T5,ret_T10,t5_label_eligible,n_mature_T5_date,T5_TOP10,T5_TOP20,T5_BOTTOM20,clean_T3_status,clean_T5_status,clean_T10_status,pct_DANG_HOI,pct_TRUNG_TINH,pct_YEU,pct_YEU_DAN,pct_RAT_YEU,pct_weak3,pct_YEU_DAN_chg_d1,pct_weak3_chg_d1,hhi,dominant_state
2026-07-23,ACB,⚠️ YẾU DẦN,33.9,THEO DÕI,22350.0,1,,,,,,,,,,0.0,0.0,?>?>?,-5.89,-1.97,46.73,,,,,,,,,,0.602112676056338,0.9154929577464789,0.9154929577464789,0.31338028169014087,,,,,,,-1.8017942811298204,-1.7798286090969009,27165000.0,1.6403698244414802,,,,,,,,🔴 Forecast rủi ro,,1,2026-W30,True,True,True,0.0,-1.342281879194629,0.2237136465324418,True,142,False,False,False,MATURE,MATURE,MATURE,2.8169014084507045,2.8169014084507045,1.4084507042253522,38.732394366197184,54.22535211267606,94.36619718309859,,,0.4458440785558421,⛔ RẤT YẾU
2026-07-24,ACB,🟡 TRUNG TÍNH,56.7,TÍCH LŨY,22500.0,1,⚠️ YẾU DẦN,,,,,,0.0,0.0,1.0,0.0,0.0,?>?>⚠️ YẾU DẦN,-4.46,-0.22,48.78,1.4299999999999997,,,1.75,,,2.0500000000000043,,,0.6901408450704225,0.9577464788732394,0.9295774647887324,0.2676056338028169,-0.0880281690140845,-0.0880281690140845,-0.04225352112676051,-0.04225352112676051,0.6711409395973256,0.6711409395973256,-1.020892510008986,-1.1314951115017011,13447000.0,0.805502359240754,0.49501196392416713,,,,,,,🔴 Forecast rủi ro,,1,2026-W30,True,True,True,0.0,-2.6666666666666616,0.6666666666666599,True,142,False,False,True,MATURE,MATURE,MATURE,2.112676056338028,8.450704225352112,3.5211267605633805,28.87323943661972,57.04225352112676,89.43661971830986,-9.859154929577464,-4.929577464788736,0.41757587780202343,⛔ RẤT YẾU
2026-07-27,ACB,⚠️ YẾU DẦN,42.3,THEO DÕI,22300.0,1,🟡 TRUNG TÍNH,⚠️ YẾU DẦN,,,,1.0,1.0,0.0,1.0,0.0,1.0,?>⚠️ YẾU DẦN>🟡 TRUNG TÍNH,-2.41,-0.67,45.93,2.05,,,-0.45000000000000007,,,-2.8500000000000014,,,0.7676056338028169,0.9154929577464789,0.9225352112676056,0.147887323943662,-0.07746478873239437,-0.07746478873239437,0.04225352112676051,0.04225352112676051,-0.8888888888888835,-0.8888888888888835,-1.5263851881552548,-1.8809811901881024,18914800.0,1.113660189038677,1.4066185766341934,,,,,,,🔴 Forecast rủi ro,,1,2026-W31,True,True,True,-1.1210762331838595,0.6726457399103047,1.5695067264573923,True,142,False,False,True,MATURE,MATURE,MATURE,2.112676056338028,5.633802816901409,2.8169014084507045,38.028169014084504,51.40845070422535,92.25352112676056,9.154929577464785,2.816901408450704,0.4133108510216227,⛔ RẤT YẾU
2026-07-28,ACB,🟡 TRUNG TÍNH,60.2,MUA EARLY,22350.0,1,⚠️ YẾU DẦN,🟡 TRUNG TÍNH,⚠️ YẾU DẦN,,,2.0,1.0,0.0,2.0,0.0,0.0,⚠️ YẾU DẦN>🟡 TRUNG TÍNH>⚠️ YẾU DẦN,-2.19,-2.19,46.77,0.2200000000000002,3.6999999999999997,,-1.52,-0.21999999999999997,,0.8400000000000034,0.04000000000000625,,0.6197183098591549,0.8943661971830986,0.9014084507042254,0.27464788732394374,0.147887323943662,0.147887323943662,0.06338028169014076,0.06338028169014076,-0.666666666666671,-0.666666666666671,-1.0472170802686365,-1.5960374243258135,15653800.0,0.8982101554014083,0.8275953221815721,,,,,,,🔴 Forecast rủi ro,,1,2026-W31,True,True,True,-2.0134228187919434,0.0,1.7897091722595126,True,142,False,False,True,MATURE,MATURE,MATURE,2.112676056338028,7.042253521126761,7.042253521126761,44.36619718309859,39.436619718309856,90.8450704225352,6.338028169014088,-1.4084507042253591,0.362725649672684,⚠️ YẾU DẦN
2026-07-29,ACB,🟡 TRUNG TÍNH,63.5,THEO DÕI,22500.0,2,🟡 TRUNG TÍNH,⚠️ YẾU DẦN,🟡 TRUNG TÍNH,⚠️ YẾU DẦN,,3.0,2.0,0.0,2.0,0.0,1.0,🟡 TRUNG TÍNH>⚠️ YẾU DẦN>🟡 TRUNG TÍNH,0.45,-2.6,49.13,2.64,4.91,,-0.41000000000000014,-2.38,,2.3599999999999994,0.3500000000000014,,0.47183098591549294,0.7605633802816901,0.852112676056338,0.2887323943661972,0.29577464788732394,0.29577464788732394,0.19718309859154926,0.19718309859154926,0.0,0.0,-0.4126016566031842,-0.935608145294442,11700900.0,0.6694175514074565,0.7474798451494206,,,,,,,🔴 Forecast rủi ro,,1,2026-W31,True,True,True,-0.2222222222222236,-1.3333333333333308,1.1111111111111072,True,142,False,False,True,MATURE,MATURE,MATURE,10.56338028169014,28.169014084507044,14.084507042253522,38.732394366197184,8.450704225352112,61.267605633802816,-5.633802816901408,-29.577464788732385,0.26750644713350524,⚠️ YẾU DẦN
2026-07-30,ACB,⚠️ YẾU DẦN,38.5,THEO DÕI,22050.0,1,🟡 TRUNG TÍNH,🟡 TRUNG TÍNH,⚠️ YẾU DẦN,🟡 TRUNG TÍNH,⚠️ YẾU DẦN,3.0,3.0,0.0,2.0,0.0,1.0,⚠️ YẾU DẦN>🟡 TRUNG TÍNH>🟡 TRUNG TÍNH,-2.0,-7.16,42.74,-2.45,0.41000000000000014,3.8899999999999997,-4.5600000000000005,-6.49,-5.19,-6.390000000000001,-3.1899999999999977,-3.989999999999995,0.2746478873239437,0.4014084507042254,0.6267605633802817,0.1267605633802817,0.4929577464788732,0.4929577464788732,0.5140845070422535,0.556338028169014,-2.0000000000000018,-2.0000000000000018,-1.7930233407474905,-2.7456169368177297,12071600.0,0.6869437105180645,1.0316813236588638,,,,,,,🔴 Forecast rủi ro,,1,2026-W31,True,True,True,1.3605442176870763,1.5873015873015817,0.6802721088435382,True,142,False,False,False,MATURE,MATURE,MATURE,12.676056338028168,38.732394366197184,17.6056338028169,28.87323943661972,2.112676056338028,48.591549295774655,-9.859154929577464,-12.676056338028161,0.28089664749057724,🟡 TRUNG TÍNH
2026-07-31,ACB,⚠️ YẾU DẦN,36.9,THEO DÕI,21900.0,2,⚠️ YẾU DẦN,🟡 TRUNG TÍNH,🟡 TRUNG TÍNH,⚠️ YẾU DẦN,🟡 TRUNG TÍNH,3.0,3.0,0.0,2.0,0.0,0.0,🟡 TRUNG TÍNH>🟡 TRUNG TÍNH>⚠️ YẾU DẦN,-2.67,-7.01,40.76,-0.6699999999999999,-0.48,1.79,0.15000000000000036,-4.82,-6.79,-1.980000000000004,-6.010000000000005,-8.020000000000003,0.1056338028169014,0.3873239436619718,0.5352112676056338,0.2816901408450704,0.5140845070422535,0.6619718309859155,0.5070422535211268,0.5704225352112675,-2.6666666666666616,-2.6666666666666616,-2.188739110122984,-3.31125827814569,15165000.0,0.8521087091803264,1.2562543490506644,-23197600.0,,,,,,🔴 Forecast rủi ro,,1,2026-W31,True,True,True,1.3698630136986356,3.424657534246567,1.1415525114155225,True,142,False,False,False,MATURE,MATURE,MATURE,17.6056338028169,24.647887323943664,21.830985915492956,34.50704225352113,1.4084507042253522,57.74647887323943,5.633802816901408,9.154929577464777,0.25867883356476884,⚠️ YẾU DẦN
2026-08-03,ACB,🟡 TRUNG TÍNH,63.5,MUA EARLY,22450.0,1,⚠️ YẾU DẦN,⚠️ YẾU DẦN,🟡 TRUNG TÍNH,🟡 TRUNG TÍNH,⚠️ YẾU DẦN,2.0,2.0,0.0,3.0,0.0,0.0,🟡 TRUNG TÍNH>⚠️ YẾU DẦN>⚠️ YẾU DẦN,0.67,-1.75,49.61,3.34,0.22000000000000003,3.08,5.26,0.8500000000000001,-1.08,8.850000000000001,0.4799999999999969,3.6799999999999997,0.11267605633802817,0.3380281690140845,0.6901408450704225,0.22535211267605632,0.35915492957746475,0.6549295774647887,0.4225352112676056,0.5774647887323944,-0.22222222222222365,-0.22222222222222365,0.2140429112514219,-0.9376723662437914,9511900.0,0.5394260994920427,0.6272271678206396,-13685700.0,9511900.0,,,1.0,,🔴 Forecast rủi ro,,1,2026-W32,True,True,True,-0.222717149220486,0.8908685968819663,-2.6726057906458767,True,142,False,False,False,MATURE,MATURE,MATURE,45.07042253521127,35.91549295774648,11.267605633802818,7.042253521126761,0.7042253521126761,19.014084507042256,-27.464788732394368,-38.73239436619718,0.3498313826621703,🌱 ĐANG HỒI
2026-08-04,ACB,⚠️ YẾU DẦN,43.2,THEO DÕI,22350.0,1,🟡 TRUNG TÍNH,⚠️ YẾU DẦN,⚠️ YẾU DẦN,🟡 TRUNG TÍNH,🟡 TRUNG TÍNH,2.0,3.0,0.0,2.0,0.0,1.0,⚠️ YẾU DẦN>⚠️ YẾU DẦN>🟡 TRUNG TÍNH,-0.67,-2.19,48.2,-1.34,1.33,1.52,-0.43999999999999995,4.970000000000001,0.0,-1.4099999999999966,5.460000000000001,1.4299999999999997,0.06338028169014084,0.09859154929577464,0.5880281690140845,0.0352112676056338,0.21126760563380284,0.556338028169014,0.30281690140845074,0.795774647887324,-0.666666666666671,-0.666666666666671,-0.2572336935081076,-1.3462811741337457,10497900.0,0.5964034789208732,1.1036596263627667,-24183600.0,-10497900.0,,,-1.0,,🔴 Forecast rủi ro,,1,2026-W32,True,True,True,1.342281879194629,1.7897091722595126,-3.1319910514541416,True,142,False,False,False,MATURE,MATURE,MATURE,50.0,26.056338028169012,13.380281690140844,9.859154929577464,0.7042253521126761,23.943661971830984,2.816901408450703,4.9295774647887285,0.3455663558817695,🌱 ĐANG HỒI
2026-08-05,ACB,🔴 YẾU,44.8,THEO DÕI,22200.0,1,⚠️ YẾU DẦN,🟡 TRUNG TÍNH,⚠️ YẾU DẦN,⚠️ YẾU DẦN,🟡 TRUNG TÍNH,3.0,2.0,0.0,3.0,0.0,0.0,⚠️ YẾU DẦN>🟡 TRUNG TÍNH>⚠️ YẾU DẦN,-0.45,-0.89,46.1,0.22000000000000003,2.2199999999999998,-0.9,1.2999999999999998,6.12,1.71,-2.1000000000000014,5.340000000000003,-3.030000000000001,0.11971830985915492,0.2112676056338028,0.5809859154929577,0.09154929577464789,-0.007042253521126751,0.352112676056338,0.176056338028169,0.5492957746478873,-1.3333333333333308,-1.3333333333333308,-0.8136408944465101,-1.921802518223992,11224100.0,0.6341412290670709,1.0691757399098867,-35407700.0,-11224100.0,-12210100.0,,-1.0,,🔴 Forecast rủi ro,,1,2026-W32,True,True,True,2.027027027027017,2.477477477477485,-1.8018018018018056,True,142,False,False,False,MATURE,MATURE,MATURE,40.845070422535215,21.12676056338028,25.352112676056336,11.971830985915492,0.7042253521126761,38.028169014084504,2.112676056338028,14.08450704225352,0.2901210077365603,🌱 ĐANG HỒI
