setup,source,N_rows,T3_N,T3_winrate,T3_avg,T3_median,T3_avg_MFE,T3_avg_MAE,T5_N,T5_winrate,T5_avg,T5_median,T5_avg_MFE,T5_avg_MAE,T10_N,T10_winrate,T10_avg,T10_median,T10_avg_MFE,T10_avg_MAE,evidence_quality
ALL_FREEZE_JOIN,t0_freeze ⨝ lifecycle (EOD group),2276,2276,37.65377855887522,-0.5442951197628441,-0.6803035912624988,0.8822462355619676,-1.6325729229480104,1992,42.21887550200803,-0.5210484086410834,-0.7169287696577265,1.8101506035456658,-2.314768888010398,1282,40.17160686427457,-1.0393666843808795,-0.937646507266765,3.708566728225721,-3.4220402042858677,ADEQUATE_FOR_SETUP_BASELINE_ONLY
CP MẠNH,"t0_freeze ⨝ lifecycle (EOD group, QUARANTINE)",38,38,39.473684210526315,-0.22861083946414357,-0.6048936750272627,1.0194946280053103,-1.207540176430709,33,36.36363636363637,-1.2231467649909231,-0.9508716323296308,1.1843324170358738,-2.1053998767524615,23,21.73913043478261,-4.474671223369228,-3.041825095057038,0.8291102232695091,-5.357283363749991,PROVISIONAL
PULL ĐẸP,"t0_freeze ⨝ lifecycle (EOD group, QUARANTINE)",5,5,40.0,0.7716381461441936,-0.5610098176718092,1.3440824596561596,-0.7650048798605357,4,25.0,-1.189694107011291,-0.7680727518510566,0.7876100623254639,-1.939383169966122,0,,,,,,INSUFFICIENT
PULL VỪA,"t0_freeze ⨝ lifecycle (EOD group, QUARANTINE)",180,180,36.11111111111111,-0.8243979099304172,-0.38496108411362745,0.7173325795812935,-1.8228109485919168,157,34.394904458598724,-1.7020408108173855,-0.8274231678486954,1.2646919859455097,-3.124253674368674,72,38.88888888888889,-1.673589351999232,-1.8426865755110045,2.536325109141308,-3.8850406212719486,PROVISIONAL
MUA EARLY,"t0_freeze ⨝ lifecycle (EOD group, QUARANTINE)",801,801,37.32833957553059,-0.4999302367700252,-0.727272727272732,0.9309422580615123,-1.5767661878550858,752,41.48936170212766,-0.47556950870883785,-0.7791078578072597,1.8187403293230706,-2.352408674308747,520,35.96153846153846,-1.7363943798974661,-1.641524681796752,3.4515610256302622,-3.957434460008864,ADEQUATE_FOR_SETUP_BASELINE_ONLY
MUA BREAK,"t0_freeze ⨝ lifecycle (EOD group, QUARANTINE)",17,17,29.411764705882355,-1.750987404906832,-3.645833333333337,0.7843961960859817,-3.0733088854280144,14,28.57142857142857,-2.0711967257741244,-4.597512372443391,1.3579298926834882,-4.075579750213988,12,16.666666666666664,-2.2241421998921607,-6.401960784313726,3.234623453976649,-6.3041782577456145,INSUFFICIENT
TÍCH LŨY,"t0_freeze ⨝ lifecycle (EOD group, QUARANTINE)",289,289,44.29065743944637,-0.08644427122931464,-0.1085776330076004,1.3449309035163635,-1.2555361273028816,263,50.57034220532319,0.17936506300567692,0.1546875000000058,2.3525735265821437,-1.7566921995863127,176,48.29545454545455,0.023937504721707355,0.0,4.543756045387479,-2.1591777997627757,ADEQUATE_FOR_SETUP_BASELINE_ONLY
ALL_OBS_JOIN,observations ⨝ lifecycle (UNSAFE T+1 group clock),4974,4974,46.24045034177724,0.06672527123186625,0.0,1.3049661549235057,-1.2076330886489541,4690,52.87846481876333,0.3958789121692784,0.4063686904827501,2.300234820367992,-1.7506809077447683,3980,55.45226130653267,1.0519363604099585,0.8298898071625316,4.2653965271640715,-2.567503283576189,ADEQUATE_FOR_SETUP_BASELINE_ONLY
CP MẠNH,observations ⨝ lifecycle (UNSAFE T+1 group clock),85,85,35.294117647058826,-1.068948698741277,-0.4405286343612369,0.8541007592920367,-2.1134854774952023,80,38.75,-1.5666109552058898,-0.7000164890599292,1.4176578362275156,-2.9736472111961967,69,39.130434782608695,-2.419031414849023,-0.5681818181818232,1.8739133947285778,-4.908031766815326,PROVISIONAL
PULL ĐẸP,observations ⨝ lifecycle (UNSAFE T+1 group clock),5,5,40.0,0.7716381461441936,-0.5610098176718092,1.3440824596561596,-0.7650048798605357,4,25.0,-1.189694107011291,-0.7680727518510566,0.7876100623254639,-1.939383169966122,0,,,,,,INSUFFICIENT
